arm,changed_charging_actions,moved_charging_kwh,moved_pre_day_kwh,moved_between_trip_kwh,charging_emissions_immediate_kg,charging_emissions_low_carbon_kg,charging_emissions_reduction_kg,charging_emissions_reduction_pct,total_operational_emissions_reduction_kg,total_operational_emissions_reduction_pct,pre_day_emissions_reduction_kg,between_trip_emissions_reduction_kg
ownership_fixed,1,130.7054876107771,130.7054876107771,0,99.53204341874714,99.52995781545339,0.0020856032937501823,0.0020954088975906155,0.0020856032938354474,0.00015534184399345886,0.002085603293743077,0.0
reassignment_allowed,3,362.44718706464937,362.44718706464937,0,73.62928692717817,73.56497533802248,0.06431158915569313,0.08734512018199965,0.0643115891555226,0.005120196865312075,0.06431158915569313,0.0
