arm,timing_rule,action_index,vehicle_trip,station,charge_scope,charge_day_offset,charge_start_second,charge_end_second,energy_kwh,earliest_start_second,latest_start_second,timing_slack_hours,emissions_kg
ownership_fixed,immediate,1,EV_D0_1#T1,D0,pre_day_first_trip,-1,0.0,29548.703825164153,180.57541226489207,0.0,56851.29617483585,15.792026715232181,10.601284072333389
ownership_fixed,immediate,2,EV_D0_1#T2,D0,same_day_between_trip,0,9689.999940627406,20238.293329001717,64.46179292895413,9689.999940627406,9689.999940627406,0.0,3.313575854341466
ownership_fixed,immediate,3,EV_D0_1#T3,D0,same_day_between_trip,0,39089.52251805697,48934.17012013746,60.16173534604745,39089.52251805697,39089.52251805697,0.0,6.146958756173769
ownership_fixed,immediate,4,EV_D0_2#T1,D0,pre_day_first_trip,-1,0.0,21388.170699945345,130.7054876107771,0.0,65011.829300054655,18.058841472237404,7.016431594551819
ownership_fixed,immediate,5,EV_D0_2#T2,D0,same_day_between_trip,0,14446.203358178047,39298.748075908334,151.8766621639073,14446.203358178047,23029.014081683934,2.3841140898627464,10.517034793567019
ownership_fixed,immediate,6,EV_D0_3#T1,D0,pre_day_first_trip,-1,0.0,25528.5217527609,156.00763293353882,0.0,60871.4782472391,16.90874395756642,8.685399018518934
ownership_fixed,immediate,7,EV_D0_3#T2,D0,same_day_between_trip,0,6961.966796391645,15372.767864898018,51.3993398630945,6961.966796391645,6961.966796391645,0.0,2.5702329809797075
ownership_fixed,immediate,8,EV_D0_3#T3,D0,same_day_between_trip,0,45337.9034761395,62235.14343939426,103.26091088655683,45337.9034761395,45337.9034761395,0.0,16.94408828093161
ownership_fixed,immediate,9,EV_D1_1#T1,D1,pre_day_first_trip,-1,0.0,26544.505210618685,162.21642073155863,0.0,59855.494789381315,16.626526330383697,9.14553918088329
ownership_fixed,immediate,10,EV_D1_1#T2,D1,same_day_between_trip,0,15861.042441208516,41936.296661580884,159.34877579116448,15861.042441208516,21419.71426116435,1.5440755055432873,11.457733096173842
ownership_fixed,immediate,11,EV_D1_2#T1,D1,pre_day_first_trip,-1,0.0,28953.936119651175,176.94072073120162,0.0,57446.063880348825,15.957239966763563,10.313133804634708
ownership_fixed,immediate,12,EV_D1_2#T2,D1,same_day_between_trip,0,10522.897653032971,19542.531156621037,55.11998252192706,10522.897653032971,10522.897653032973,5.052748343182935e-16,2.820631985657589
ownership_fixed,low_carbon,1,EV_D0_1#T1,D0,pre_day_first_trip,-1,0.0,29548.703825164153,180.57541226489207,0.0,56851.29617483585,15.792026715232181,10.601284072333389
ownership_fixed,low_carbon,2,EV_D0_1#T2,D0,same_day_between_trip,0,9689.999940627406,20238.293329001717,64.46179292895413,9689.999940627406,9689.999940627406,0.0,3.313575854341466
ownership_fixed,low_carbon,3,EV_D0_1#T3,D0,same_day_between_trip,0,39089.52251805697,48934.17012013746,60.16173534604745,39089.52251805697,39089.52251805697,0.0,6.146958756173769
ownership_fixed,low_carbon,4,EV_D0_2#T1,D0,pre_day_first_trip,-1,211.8293000546546,21600.0,130.7054876107771,0.0,65011.829300054655,18.058841472237404,7.014345991258072
ownership_fixed,low_carbon,5,EV_D0_2#T2,D0,same_day_between_trip,0,14446.203358178047,39298.748075908334,151.8766621639073,14446.203358178047,23029.014081683934,2.3841140898627464,10.517034793567019
ownership_fixed,low_carbon,6,EV_D0_3#T1,D0,pre_day_first_trip,-1,0.0,25528.5217527609,156.00763293353882,0.0,60871.4782472391,16.90874395756642,8.685399018518934
ownership_fixed,low_carbon,7,EV_D0_3#T2,D0,same_day_between_trip,0,6961.966796391645,15372.767864898018,51.3993398630945,6961.966796391645,6961.966796391645,0.0,2.5702329809797075
ownership_fixed,low_carbon,8,EV_D0_3#T3,D0,same_day_between_trip,0,45337.9034761395,62235.14343939426,103.26091088655683,45337.9034761395,45337.9034761395,0.0,16.94408828093161
ownership_fixed,low_carbon,9,EV_D1_1#T1,D1,pre_day_first_trip,-1,0.0,26544.505210618685,162.21642073155863,0.0,59855.494789381315,16.626526330383697,9.14553918088329
ownership_fixed,low_carbon,10,EV_D1_1#T2,D1,same_day_between_trip,0,15861.042441208516,41936.296661580884,159.34877579116448,15861.042441208516,21419.71426116435,1.5440755055432873,11.457733096173842
ownership_fixed,low_carbon,11,EV_D1_2#T1,D1,pre_day_first_trip,-1,0.0,28953.936119651175,176.94072073120162,0.0,57446.063880348825,15.957239966763563,10.313133804634708
ownership_fixed,low_carbon,12,EV_D1_2#T2,D1,same_day_between_trip,0,10522.897653032971,19542.531156621037,55.11998252192706,10522.897653032971,10522.897653032973,5.052748343182935e-16,2.820631985657589
reassignment_allowed,immediate,1,EV_D0_1#T1,D0,pre_day_first_trip,-1,0.0,20329.350646151546,124.23492061537056,0.0,66070.64935384845,18.352958153846792,6.645092944204321
reassignment_allowed,immediate,2,EV_D0_1#T2,D0,same_day_between_trip,0,6961.966796391645,14694.335409696978,47.25336374797703,6961.966796391645,6961.966796391645,0.0,2.3567152110511587
reassignment_allowed,immediate,3,EV_D0_2#T1,D0,pre_day_first_trip,-1,0.0,42252.47773691277,258.2095861700225,0.0,44147.52226308723,12.263200628635342,16.790321506247587
reassignment_allowed,immediate,4,EV_D0_2#T2,D0,same_day_between_trip,0,47304.54612390917,50621.72987725639,20.271678492677466,47304.54612390917,47304.54612390917,0.0,2.7376655143598185
reassignment_allowed,immediate,5,EV_D0_3#T1,D0,pre_day_first_trip,-1,0.0,34965.29993631336,213.67683294413717,0.0,51434.70006368664,14.287416684357401,13.156475211205077
reassignment_allowed,immediate,6,EV_D0_3#T2,D0,same_day_between_trip,0,49457.15452463483,49614.96260472409,0.9643827116565546,49457.15452463483,49457.15452463483,0.0,0.13506715644923387
reassignment_allowed,immediate,7,EV_D1_1#T1,D1,pre_day_first_trip,-1,0.0,20221.689536274476,123.57699161056625,0.0,66178.31046372553,18.382864017701536,6.60733512965083
reassignment_allowed,immediate,8,EV_D1_1#T2,D1,same_day_between_trip,0,8943.910663982952,16481.560848167377,46.063417792238155,8943.910663982952,8943.910663982952,0.0,2.2843643743777178
reassignment_allowed,immediate,9,EV_D1_1#T3,D1,same_day_between_trip,0,45629.16624769266,60633.34680175815,91.69221449706689,45629.16624769266,48447.931878239615,0.7829904529297104,14.92465909811691
reassignment_allowed,immediate,10,EV_D1_2#T1,D1,pre_day_first_trip,-1,0.0,18758.49951906206,114.6352748387126,0.0,67641.50048093795,18.78930568914943,6.108677368889049
reassignment_allowed,immediate,11,EV_D1_2#T2,D1,same_day_between_trip,0,14689.646589206055,20406.910220824684,34.93883330433607,14689.646589206055,14689.646589206055,0.0,1.8829134126264429
reassignment_allowed,low_carbon,1,EV_D0_1#T1,D0,pre_day_first_trip,-1,1270.6493538484538,21600.0,124.23492061537056,0.0,66070.64935384845,18.352958153846792,6.632582538529084
reassignment_allowed,low_carbon,2,EV_D0_1#T2,D0,same_day_between_trip,0,6961.966796391645,14694.335409696978,47.25336374797703,6961.966796391645,6961.966796391645,0.0,2.3567152110511587
reassignment_allowed,low_carbon,3,EV_D0_2#T1,D0,pre_day_first_trip,-1,0.0,42252.47773691277,258.2095861700225,0.0,44147.52226308723,12.263200628635342,16.790321506247587
reassignment_allowed,low_carbon,4,EV_D0_2#T2,D0,same_day_between_trip,0,47304.54612390917,50621.72987725639,20.271678492677466,47304.54612390917,47304.54612390917,0.0,2.7376655143598185
