arm,stream_seed,target_stage,status,completed_stage_count,evaluations_per_stage,initial_continuation_feasible_at_target,executable_candidates_at_target,accepted_candidates_at_target,error
independent,2,11,HALT,10,400,,0,0,"stage search found no executable continuation (initial_feasible=False, changed=400, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S11_OPEN_014', 76), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S11_OPEN_003', 48), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S11_OPEN_004', 46)])"
cooperative,3,24,HALT,23,400,,0,0,"stage search found no executable continuation (initial_feasible=False, changed=400, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S24_OPEN_005', 56), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S24_OPEN_011', 49), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S24_OPEN_012', 41)])"
independent,3,24,PASS,24,400,True,104,104,
independent,5,20,HALT,19,400,,0,0,"stage search found no executable continuation (initial_feasible=False, changed=400, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S20_OPEN_011', 90), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S20_OPEN_004', 58), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S20_OPEN_002', 41)])"
