task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,11,487,6487,1909963,1876849,33114,0.017337508632366178,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,12,537,6537,1876849,1836622,40227,0.021433263943982706,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,13,1952,7952,1836622,1833360,3262,0.0017760867505670736,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,14,3322,9322,1833360,1829568,3792,0.002068333551511978,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,naive_ev,15,3377,9377,1829568,1828716,852,0.0004656837023822017,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,1,2,12002,9223372036854775807,2395215,9223372036852380592,0.9999999999997403,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,2,4,12004,2395215,2141155,254060,0.10606981001705483,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,3,8,12008,2141155,2077365,63790,0.029792331708820705,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,4,60,12060,2077365,1905904,171461,0.08253773410065154,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,5,112,12112,1905904,1874075,31829,0.016700211553152728,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,6,196,12196,1874075,1860363,13712,0.007316676226938623,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,7,199,12199,1860363,1829135,31228,0.016785971340001923,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,8,233,12233,1829135,1817157,11978,0.0065484504970928885,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,9,364,12364,1817157,1799906,17251,0.009493400955448539,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,10,372,12372,1799906,1791487,8419,0.004677466489916696,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,11,485,12485,1791487,1789536,1951,0.001089039440420165,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,12,487,12487,1789536,1781055,8481,0.004739217316667561,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,13,627,12627,1781055,1745636,35419,0.019886527928671488,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,14,776,12776,1745636,1744329,1307,0.0007487242472084673,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,15,1227,13227,1744329,1720941,23388,0.013408021078592399,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,16,1661,13661,1720941,1707784,13157,0.0076452359494021006,PyVRP integer proxy objective
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,17,3048,15048,1707784,1707311,473,0.0002769671105947825,PyVRP integer proxy objective
