accepted,accepted_worse,actual_evals_added,best_improved,better_current,candidate_backend,candidate_obj,candidate_route_count,candidate_route_count_delta,changed,destroy_id,eval,hard_violation_count,local_search_attempted,local_search_improved,local_search_obj_after,local_search_obj_before,local_search_route_count_after,local_search_route_count_before,local_search_route_count_delta,move,operator_base_id,outcome_candidate_obj,outcome_hard_violation_count,previous_best_obj,previous_obj,previous_route_count,raw_action,raw_candidate_obj,raw_candidate_route_count,raw_candidate_route_count_delta,raw_changed,raw_hard_violation_count,raw_removed_count,remove_count_q,remove_fraction,removed_count,repair_id,revert_reason,seed,selector_epsilon,selector_iter,selector_pair_times,selector_phase,selector_probability,selector_sample,selector_temperature,selector_type,selector_value,strong_bridge_backend_changed,strong_bridge_backend_destroy,strong_bridge_backend_detail,strong_bridge_backend_feasible,strong_bridge_backend_produced,strong_bridge_backend_removed_count,strong_bridge_backend_repair,temperature,winner_operator_module
False,False,1,False,False,winner_operator_set,7320.111795906428,28,0,False,random_customer_removal,2,0,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,winner_kernel_v1,7320.111795906428,0,7320.111795906428,7320.111795906428,28,"[0, 0, -1, -1]",7320.111795906428,28,0,False,0,0,,,0,greedy_insert_repair,unchanged,2,nan,0,0,exploit,nan,nan,nan,alpha_ucb,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
False,False,1,False,False,winner_operator_set,7320.111795906428,28,0,False,random_customer_removal,3,0,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2,winner_kernel_v1,7320.111795906428,0,7320.111795906428,7320.111795906428,28,"[0, 1, -1, -1]",7320.111795906428,28,0,False,0,0,,,0,regret2_insert_repair,unchanged,2,nan,1,0,exploit,nan,nan,nan,alpha_ucb,1.235482004503095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
False,False,1,False,False,winner_operator_set,7320.111795906428,28,0,False,random_customer_removal,4,0,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3,winner_kernel_v1,7320.111795906428,0,7320.111795906428,7320.111795906428,28,"[0, 2, -1, -1]",7320.111795906428,28,0,False,0,0,,,0,regret3_insert_repair,unchanged,2,nan,2,0,exploit,nan,nan,nan,alpha_ucb,1.2964607614735022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
False,False,1,False,False,winner_operator_set,7320.111795906428,28,0,False,worst_customer_removal,5,0,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4,winner_kernel_v1,7320.111795906428,0,7320.111795906428,7320.111795906428,28,"[1, 0, -1, -1]",7320.111795906428,28,0,False,0,0,,,0,greedy_insert_repair,unchanged,2,nan,3,0,exploit,nan,nan,nan,alpha_ucb,1.333021844463079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
False,False,1,False,False,winner_operator_set,7320.111795906428,28,0,False,worst_customer_removal,6,0,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,winner_kernel_v1,7320.111795906428,0,7320.111795906428,7320.111795906428,28,"[1, 1, -1, -1]",7320.111795906428,28,0,False,0,0,,,0,regret2_insert_repair,unchanged,2,nan,4,0,exploit,nan,nan,nan,alpha_ucb,1.3588245155988203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
True,False,1,True,True,winner_operator_set,6757.708292647758,34,6,True,worst_customer_removal,7,0,True,False,6757.708292647758,6757.708292647758,34,34,0,6,winner_kernel_v1,6757.708292647758,0,7320.111795906428,7320.111795906428,28,"[1, 2, -1, -1]",6757.708292647758,34,6,True,0,0,,,0,regret3_insert_repair,candidate_usable,2,nan,5,0,exploit,nan,nan,nan,alpha_ucb,1.3786036945649691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
True,False,1,True,True,winner_operator_set,6203.656642017278,32,-2,True,worst_customer_removal,8,0,True,False,6203.656642017278,6203.656642017278,32,32,0,7,winner_kernel_v1,6203.656642017278,0,6757.708292647758,6757.708292647758,34,"[1, 2, -1, -1]",6203.656642017278,32,-2,True,0,0,,,0,regret3_insert_repair,candidate_usable,2,nan,6,1,exploit,nan,nan,nan,alpha_ucb,20.27899176683589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
True,False,1,True,True,winner_operator_set,5964.823002769077,31,-1,True,worst_customer_removal,9,0,True,False,5964.823002769077,5964.823002769077,31,31,0,8,winner_kernel_v1,5964.823002769077,0,6203.656642017278,6203.656642017278,32,"[1, 2, -1, -1]",5964.823002769077,31,-1,True,0,0,,,0,regret3_insert_repair,candidate_usable,2,nan,7,2,exploit,nan,nan,nan,alpha_ucb,20.235482004503094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
True,False,1,True,True,winner_operator_set,5802.365656357598,30,-1,True,worst_customer_removal,10,0,True,False,5802.365656357598,5802.365656357598,30,30,0,9,winner_kernel_v1,5802.365656357598,0,5964.823002769077,5964.823002769077,31,"[1, 2, -1, -1]",5802.365656357598,30,-1,True,0,0,,,0,regret3_insert_repair,candidate_usable,2,nan,8,3,exploit,nan,nan,nan,alpha_ucb,20.209629414793643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
True,True,1,False,False,winner_operator_set,5889.304782384947,31,1,True,worst_customer_removal,11,0,True,False,5889.304782384947,5889.304782384947,31,31,0,10,winner_kernel_v1,5889.304782384947,0,5802.365656357598,5802.365656357598,30,"[1, 2, -1, -1]",5889.304782384947,31,1,True,0,0,,,0,regret3_insert_repair,candidate_usable,2,nan,9,4,exploit,nan,nan,nan,alpha_ucb,20.191941036487524,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,setp_solver.algorithms.resetp_alns.kernel.winner
