task_id,instance_id,seed,candidate_signature,action_type,source_route,target_route,source_pos,target_pos,aux,proxy_score,proxy_feasible,exact_status,exact_objective,exact_improvement,exact_violation_count,exact_completion_seconds,error
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,eb9b84fd1c0ef2715c128d3104f27baaeb49d62d27f1df6787d237a111779edd,relocate,4,16,3,2,0,6322105,False,INFEASIBLE_OR_ERROR,,,,0.0024878750555217266,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0017:C008:late by 7457.335 s (due l=52684.744, start=60142.079); TIME_WINDOW:CH81-0017:C065:late by 22357.382 s (due l=51411.697, start=73769.079)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,4b2f1c508567bba548c8ee5658dfff121db8932a3f30caa1109a55b5f7f48273,relocate,6,2,1,5,0,5285588,False,INFEASIBLE_OR_ERROR,,,,0.0014295420260168612,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0003:D_chengdu:initial load 1805.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0003:C033:late by 2952.483 s (due l=48292.779, start=51245.263)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,9e39f18766c274e6290b1f5930bfeb21de6804880adcf528c7e8d744c3a8ab42,relocate,8,12,0,5,0,5627103,False,INFEASIBLE_OR_ERROR,,,,0.0021331249736249447,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0013:D_chongqing:initial load 1875.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0013:C061:late by 16862.828 s (due l=42496.487, start=59359.315)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,6175c81a535d3fcc3f4d51870a84a34702e60fe910c466c63ecd41a3bd50aeef,relocate,13,17,0,5,0,5270047,False,INFEASIBLE_OR_ERROR,,,,0.0011086249724030495,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0018:C049:late by 1502.550 s (due l=49968.117, start=51470.668)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,92ae035b68d3a0eb040d1c00f11b1473a1e724fd98ca194744517c54e6df42e2,relocate,12,9,2,5,0,5359618,False,INFEASIBLE_OR_ERROR,,,,0.0018127499497495592,China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0010:D_chongqing:initial load 2085.000000 exceeds Q=1735.000000
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,c6b43b31d339d66746e510dd541f327076a9235e85062d1f5fa818975435b635,relocate,10,17,1,0,0,5271339,False,PASS,5281.637356280496,-104.84408571510176,0,0.2627697499701753,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,c01ad24a4df7eb466efda02d1514628230701efb91839b7ce52a6527142495a0,relocate,3,17,0,5,0,6007990,False,INFEASIBLE_OR_ERROR,,,,0.0013716249959543347,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0018:C028:late by 11711.446 s (due l=51937.522, start=63648.968)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,7989f28b3f4c1498b34d9a8f3c33f779d00f55e12fbc46bb6fea04ef08afa08c,relocate,2,14,0,4,0,6741611,False,INFEASIBLE_OR_ERROR,,,,0.0016963750240392983,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0015:D_chongqing:initial load 2014.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0015:C031:late by 13626.117 s (due l=48955.960, start=62582.078); TIME_WINDOW:CH81-0015:C086:late by 15213.389 s (due l=61005.889, start=76219.278); TIME_WINDOW:CH81-0015:C096:late by 15726.582 s (due l=61739.095, start=77465.678); TIME_WINDOW:CH81-0015:D_chongqing:late by 597.778 s (due l=79200.000, start=79797.778)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,195343ffd4530856ed22689217618bc9fd3800c87565d2b9b87a3c1816c6df63,relocate,10,8,5,2,0,5612149,False,INFEASIBLE_OR_ERROR,,,,0.001259583979845047,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0009:D_chongqing:initial load 1944.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0009:C093:late by 14469.234 s (due l=48634.504, start=63103.738); TIME_WINDOW:CH81-0009:C087:late by 12544.018 s (due l=51665.920, start=64209.938); TIME_WINDOW:CH81-0009:C079:late by 7673.673 s (due l=57914.865, start=65588.538); TIME_WINDOW:CH81-0009:C052:late by 5078.233 s (due l=61402.505, start=66480.738)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,6b2879d51ac78bed3e7756e82231edc3d3c9749c0d1814ce5590c09f084ce4da,relocate,1,8,0,2,0,6712876,False,INFEASIBLE_OR_ERROR,,,,0.0020600409479811788,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0009:D_chongqing:initial load 1875.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0009:C017:late by 7023.428 s (due l=48186.107, start=55209.535); TIME_WINDOW:CH81-0009:C093:late by 19583.431 s (due l=48634.504, start=68217.935); TIME_WINDOW:CH81-0009:C087:late by 17658.215 s (due l=51665.920, start=69324.135); TIME_WINDOW:CH81-0009:C079:late by 12787.869 s (due l=57914.865, start=70702.735); TIME_WINDOW:CH81-0009:C052:late by 10192.430 s (due l=61402.505, start=71594.935)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,ac13b7f8825d612cd971ea9209e47dddfba31d2ed097ba371e8cdd160be4e2a3,relocate,14,1,2,5,0,6947517,False,INFEASIBLE_OR_ERROR,,,,0.0018299579969607294,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0002:D_chengdu:initial load 2014.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0002:C090:late by 20031.428 s (due l=50166.385, start=70197.813); TIME_WINDOW:CH81-0002:C018:late by 24648.119 s (due l=59387.294, start=84035.413); TIME_WINDOW:CH81-0002:C011:late by 24777.410 s (due l=59908.903, start=84686.313); TIME_WINDOW:CH81-0002:D_chengdu:late by 7815.613 s (due l=79200.000, start=87015.613)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,b7586620a64d66c17310a18ebadd933794c055c7c2f6b776cca9e4c0998dd72e,relocate,4,8,0,3,0,6770169,False,INFEASIBLE_OR_ERROR,,,,0.001266416977159679,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0009:D_chongqing:initial load 1944.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0009:C029:late by 13269.125 s (due l=46104.356, start=59373.481); TIME_WINDOW:CH81-0009:C087:late by 20783.861 s (due l=51665.920, start=72449.781); TIME_WINDOW:CH81-0009:C079:late by 15913.515 s (due l=57914.865, start=73828.381); TIME_WINDOW:CH81-0009:C052:late by 13318.076 s (due l=61402.505, start=74720.581)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,29d661c6f51f0ff540ab40bd7eed27d777e2367e7e7ccf7563fca14b0060031a,relocate,2,8,2,4,0,6619217,False,INFEASIBLE_OR_ERROR,,,,0.0013541670050472021,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0009:D_chongqing:initial load 1805.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0009:C024:late by 10282.818 s (due l=51677.764, start=61960.582); TIME_WINDOW:CH81-0009:C079:late by 16941.217 s (due l=57914.865, start=74856.082); TIME_WINDOW:CH81-0009:C052:late by 14345.777 s (due l=61402.505, start=75748.282)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,d7e68416b59325bcf420331ae2fcdbdc01f61c8db91e6d6fe186cedc792d5814,relocate,15,5,3,0,0,6610395,False,INFEASIBLE_OR_ERROR,,,,0.0011371659929864109,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0006:D_chengdu:initial load 1944.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0006:C019:late by 11541.132 s (due l=49193.238, start=60734.370); TIME_WINDOW:CH81-0006:C015:late by 11216.507 s (due l=50440.963, start=61657.470); TIME_WINDOW:CH81-0006:C004:late by 13029.155 s (due l=49760.515, start=62789.670); TIME_WINDOW:CH81-0006:C032:late by 12117.239 s (due l=51860.430, start=63977.670); TIME_WINDOW:CH81-0006:C002:late by 12790.236 s (due l=52149.734, start=64939.970)"
