E_cv_direct,E_ev_indirect,E_total,algorithm,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,carbon_price,carbon_quota_kg,charge_action_count,checkpoint_best_cost,checkpoint_cost_diff,checkpoint_eval,checkpoint_operator,checkpoint_path,checkpoint_time_seconds,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,csv_best_cost,csv_cost_diff,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,error,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,fuel_liters,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,route_count,seed,status,total_cost,violation_count
1975.2969786513233,0.0,1975.2969786513233,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,4945.0376991632365,0.0,7972,lns_shaw_related_removal_regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__LNS__seed1.json,255.0805932499934,99.43644990530763,0.0,2320.0,1101.1265277635973,1424.4747214943318,0.0,0.0,4945.0376991632365,0.0,29,0,0.0,0.0,0.0,,0.0,0,0,0,768.3528907707748,e2-threeshift-100c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,29,1,OK,4945.0376991632365,0
1972.0264583513504,0.0,1972.0264583513504,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,4941.366750118891,0.0,857,lns_random_customer_removal_regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__LNS__seed2.json,28.312739833985688,99.27181191340698,0.0,2320.0,1099.3033808136395,1422.7915573918447,0.0,0.0,4941.366750118891,0.0,29,0,0.0,0.0,0.0,,0.0,0,0,0,767.0807206849762,e2-threeshift-100c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,29,2,OK,4941.366750118891,0
1923.8076398009728,0.0,1923.8076398009728,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,4958.344723229885,0.0,1965,lns_shaw_related_removal_greedy_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__LNS__seed3.json,64.22006325001712,96.84447658758097,0.0,2400.0,1072.4238681038635,1389.0763785384406,0.0,0.0,4958.344723229885,0.0,30,0,0.0,0.0,0.0,,0.0,0,0,0,748.3245189476404,e2-threeshift-100c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,30,3,OK,4958.344723229885,0
1924.8285759062933,0.0,1924.8285759062933,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,4958.937270537301,0.0,6930,lns_random_customer_removal_greedy_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__LNS__seed4.json,226.95013574999757,96.89587051112281,0.0,2400.0,1072.9929875025514,1389.0484125236267,0.0,0.0,4958.937270537301,0.0,30,0,0.0,0.0,0.0,,0.0,0,0,0,748.7216436414426,e2-threeshift-100c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,30,4,OK,4958.937270537301,0
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,4918.752359570978,0.0,4830,lns_shaw_related_removal_regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__LNS__seed5.json,161.38786358298967,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,4918.752359570978,0.0,29,0,0.0,0.0,0.0,,0.0,0,0,0,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,29,5,OK,4918.752359570978,0
977.6450300997138,118.33341157098148,1095.9784416706952,alns_e2_throughput,95100.66088953285,59.85225876039197,0.7481532345048996,80.0,0.05034,0.0,25,4874.971895490413,0.0,1004,random_customer_removal+regret2_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__alns_e2_throughput__seed1.json,45.20358866700553,55.1715547537028,262.51893777453074,2560.0,544.9868495794727,1437.7008715551372,14.593681827569583,0.0,4874.971895490413,0.0,10,22,238.58529957731662,1287.5623290734843,0.0,,2616.6345110343827,22,3,3,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.1918046364239714,reference_audit,3,23.933638197214115,29.187363655139166,14.593681827569583,mixed,32,1,OK,4874.971895490413,0
949.0595416288638,117.81414065109996,1066.8736822799638,alns_e2_throughput,100413.50792668723,63.02207621248962,0.7877759526561203,80.0,0.05034,0.0,28,5186.520656410425,0.0,11629,random_customer_removal+greedy_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__alns_e2_throughput__seed2.json,92.76946108299308,53.70642116597338,321.59716159699457,2720.0,529.0519091606277,1529.610111497376,32.555052989452236,0.0,5186.520656410425,0.0,10,24,268.2068746942929,1447.4197231208468,0.0,,2616.6345110343827,24,4,4,369.1660799390326,e2-threeshift-100c-01,156794.27342748008,98.51142399622546,1.2313927999528183,reference_audit,4,53.39028690270166,65.11010597890447,32.555052989452236,mixed,34,2,OK,5186.520656410425,0
1119.3718294946573,99.82962882729178,1219.201458321949,alns_e2_throughput,92071.25678620374,58.01433263610602,0.7251791579513253,80.0,0.05034,0.0,23,4962.492327226075,0.0,2878,route_segment_removal+greedy_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__alns_e2_throughput__seed3.json,100.25495087497984,61.37460141192692,244.3386690040897,2560.0,623.9922549415336,1453.5547795515467,19.2320223169778,0.0,4962.492327226075,0.0,12,20,212.7981524042461,1148.3980162128769,0.0,,2616.634511034412,20,3,3,435.41431508026903,e2-threeshift-100c-01,153606.65152674657,97.8887158159796,1.223608947699745,reference_audit,3,31.540516599843592,38.4640446339556,19.2320223169778,mixed,32,3,OK,4962.492327226075,0
1033.6859927474993,110.60010030563222,1144.2860930531315,alns_e2_throughput,96383.46107547669,60.97743645955571,0.7622179557444464,80.0,0.05034,0.0,24,4939.258835078201,0.0,3458,route_segment_removal+regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__alns_e2_throughput__seed4.json,70.53071445800015,57.60336192429464,264.2748093950501,2560.0,576.2268055353707,1459.8892364336778,21.264621789806952,0.0,4939.258835078201,0.0,11,21,229.40082965976674,1237.9969220710561,0.0,,12295.409754315013,21,3,3,402.0841570967627,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.1918046364239714,reference_audit,3,34.8739797352834,42.529243579613905,21.264621789806952,mixed,32,4,OK,4939.258835078201,0
932.7350484888154,112.61965505688397,1045.3547035456995,alns_e2_throughput,93993.2199091678,59.09353814364534,0.7386692267955668,80.0,0.05034,0.0,28,5087.693874064841,0.0,4707,route_segment_removal+regret2_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__alns_e2_throughput__seed5.json,111.87880945799407,52.62315577649051,300.7427795285121,2720.0,519.9518433765575,1464.4863863112057,29.889709072075334,0.0,5087.693874064841,0.0,10,24,251.72365665030856,1358.4654973033378,0.0,,2616.6345110343827,24,4,4,362.8161631264793,e2-threeshift-100c-01,156794.27342748008,98.51142399622546,1.2313927999528183,reference_audit,4,49.019122878203554,59.779418144150675,29.889709072075334,mixed,34,5,OK,5087.693874064841,0
2725.018624842288,0.0,2725.018624842288,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,7464.210178857276,0.0,8898,lns_random_customer_removal_greedy_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-150c-01__LNS__seed1.json,537.2060985839926,137.17743757456077,0.0,3840.0,1519.0578069493326,1967.974934333382,0.0,0.0,7464.210178857276,0.0,48,0,0.0,0.0,0.0,,0.0,0,0,0,1059.9803272272225,e2-threeshift-150c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,48,1,OK,7464.210178857276,0
2706.4687055542954,0.0,2706.4687055542954,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,7439.741686861522,0.0,10998,lns_shaw_related_removal_regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-150c-01__LNS__seed2.json,652.9524039170064,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,7439.741686861522,0.0,48,0,0.0,0.0,0.0,,0.0,0,0,0,1052.7647620425762,e2-threeshift-150c-01,0.0,0.0,0.0,reference_audit,0,0.0,0.0,0.0,allcv,48,2,OK,7439.741686861522,0
