E_cv_direct,E_ev_indirect,E_total,algorithm,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,best_reference,carbon_price,carbon_quota_kg,charge_action_count,checkpoint_best_cost,checkpoint_cost_diff,checkpoint_eval,checkpoint_operator,checkpoint_path,checkpoint_time_seconds,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,csv_best_cost,csv_cost_diff,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,error,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,fuel_liters,gap_pct_vs_best_allcv,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,role_label,route_count,seed,status,total_cost,violation_count
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,80.0,True,0.05034,0.0,0,4918.752359570978,0.0,4830,lns_shaw_related_removal_regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__LNS__seed5.json,161.38786358298967,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,4918.752359570978,0.0,29,0,0.0,0.0,0.0,,0.0,0,0,0,759.8586952028462,0.0,e2-threeshift-100c-01,0.0,0.0,0.0,phase1,0,0.0,0.0,0.0,allcv,LNS/all-CV,29,5,OK,4918.752359570978,0
977.6450300997138,118.33341157098148,1095.9784416706952,alns_e2_throughput,95100.66088953285,59.85225876039197,0.7481532345048996,80.0,True,0.05034,0.0,25,4874.971895490413,0.0,1004,random_customer_removal+regret2_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-100c-01__alns_e2_throughput__seed1.json,45.20358866700553,55.1715547537028,262.51893777453074,2560.0,544.9868495794727,1437.7008715551372,14.593681827569583,0.0,4874.971895490413,0.0,10,22,238.58529957731662,1287.5623290734843,0.0,,2616.6345110343827,22,3,3,380.2852903352681,-0.8900725403541938,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.1918046364239714,phase1,3,23.933638197214115,29.187363655139166,14.593681827569583,mixed,ALNS/mixed,32,1,OK,4874.971895490413,0
2706.4687055542954,0.0,2706.4687055542954,LNS,0.0,0.0,0.0,80.0,True,0.05034,0.0,0,7439.741686861522,0.0,10998,lns_shaw_related_removal_regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-150c-01__LNS__seed2.json,652.9524039170064,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,7439.741686861522,0.0,48,0,0.0,0.0,0.0,,0.0,0,0,0,1052.7647620425762,0.0,e2-threeshift-150c-01,0.0,0.0,0.0,phase1,0,0.0,0.0,0.0,allcv,LNS/all-CV,48,2,OK,7439.741686861522,0
1385.765958564771,139.810340147239,1525.57629871201,alns_e2_throughput,81622.26747309242,51.53635951693401,0.6442044939616751,80.0,True,0.05034,0.0,41,7256.330133131847,0.0,3894,route_segment_removal+regret2_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-150c-01__alns_e2_throughput__seed2.json,327.4809397920035,76.79751087716258,371.8020956461558,4000.0,772.4932882190014,2005.6460646073617,29.591173782165058,0.0,7256.330133131847,0.0,15,35,323.27257064340523,1744.5902355283606,0.0,,7905.335561355198,35,6,6,539.0365558711893,-2.4652946493233356,e2-threeshift-150c-01,152328.60900393798,96.02331462973127,1.200291432871641,phase1,6,48.52952500275069,59.182347564330115,29.591173782165058,mixed,ALNS/mixed,50,2,OK,7256.330133131847,0
3021.7224013441783,0.0,3021.7224013441783,LNS,0.0,0.0,0.0,80.0,True,0.05034,0.0,0,8979.132837679645,0.0,9547,lns_random_customer_removal_greedy_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-200c-01__LNS__seed1.json,889.8337116670155,152.11350568366595,0.0,4960.0,1684.4549106379839,2182.5644213579935,0.0,0.0,8979.132837679645,0.0,62,0,0.0,0.0,0.0,,0.0,0,0,0,1175.3924434010075,0.0,e2-threeshift-200c-01,0.0,0.0,0.0,phase1,0,0.0,0.0,0.0,allcv,LNS/all-CV,62,1,OK,8979.132837679645,0
1203.729306139963,193.05400660083635,1396.7833127407994,alns_e2_throughput,76885.92300633778,48.421785630328365,0.6052723203791046,80.0,True,0.05034,0.0,60,9093.841324328952,0.0,2572,route_segment_removal+regret3_insert_repair,baselines/e2_alns/checkpoints/e2-threeshift-200c-01__alns_e2_throughput__seed5.json,201.99475066701416,70.31407196337184,527.8404753790986,5440.0,671.0172118737138,2357.609657181772,27.059907930996374,0.0,9093.841324328952,0.0,13,55,483.46222637226447,2609.0783938060686,0.0,,16961.300027466976,55,5,5,468.2277662924526,1.2775007199798858,e2-threeshift-200c-01,153518.26983322966,98.2756310412746,1.2284453880159325,phase1,5,44.378249006834054,54.11981586199275,27.059907930996374,mixed,ALNS/mixed,68,5,OK,9093.841324328952,0
