E_cv_direct,E_ev_indirect,E_total,algorithm,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,carbon_price,carbon_quota_kg,charge_action_count,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,field,fuel_liters,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,route_count,scan_name,source_seed,status,total_cost,value,violation_count
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,B_battery_kwh,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,phase2_fixed_replay,0,0.0,0.0,0.0,allcv,29,battery_kwh,5,OK,4918.752359570978,80.0,0
977.6450300997138,118.33341157098148,1095.9784416706952,alns_e2_throughput,95100.66088953285,59.85225876039197,0.7481532345048996,80.0,0.05034,0.0,25,55.1715547537028,262.5189377745308,2560.0,544.9868495794727,1437.7008715551372,14.593681827569583,0.0,10,22,238.58529957731662,1287.5623290734843,0.0,2616.6345110343827,22,3,3,B_battery_kwh,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.1918046364239714,phase2_fixed_replay,3,23.933638197214115,29.187363655139166,14.593681827569583,mixed,32,battery_kwh,1,OK,4874.971895490413,80.0,0
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,160.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,B_battery_kwh,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,phase2_fixed_replay,0,0.0,0.0,0.0,allcv,29,battery_kwh,5,OK,4918.752359570978,160.0,0
977.6450300997138,119.89941596417708,1097.544446063891,alns_e2_throughput,95100.66088953285,59.77390797967717,0.3735869248729823,160.0,0.05034,0.0,22,55.25038741485628,243.67431326995188,2560.0,544.9868495794727,1436.785049476275,0.0,0.0,10,22,243.67431326995188,1315.0259755528978,0.0,0.0,22,0,0,B_battery_kwh,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,94.83424432014912,0.592714027000932,phase2_fixed_replay,0,0.0,0.0,0.0,mixed,32,battery_kwh,1,OK,4840.696599740556,160.0,0
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,320.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,B_battery_kwh,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,phase2_fixed_replay,0,0.0,0.0,0.0,allcv,29,battery_kwh,5,OK,4918.752359570978,320.0,0
977.6450300997138,119.89941596417708,1097.544446063891,alns_e2_throughput,95100.66088953285,59.77390797967717,0.18679346243649114,320.0,0.05034,0.0,22,55.25038741485628,243.67431326995188,2560.0,544.9868495794727,1436.785049476275,0.0,0.0,10,22,243.67431326995188,1315.0259755528978,0.0,0.0,22,0,0,B_battery_kwh,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,94.83424432014912,0.296357013500466,phase2_fixed_replay,0,0.0,0.0,0.0,mixed,32,battery_kwh,1,OK,4840.696599740556,320.0,0
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,480.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,B_battery_kwh,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,phase2_fixed_replay,0,0.0,0.0,0.0,allcv,29,battery_kwh,5,OK,4918.752359570978,480.0,0
977.6450300997138,119.89941596417708,1097.544446063891,alns_e2_throughput,95100.66088953285,59.77390797967717,0.12452897495766077,480.0,0.05034,0.0,22,55.25038741485628,243.67431326995188,2560.0,544.9868495794727,1436.785049476275,0.0,0.0,10,22,243.67431326995188,1315.0259755528978,0.0,0.0,22,0,0,B_battery_kwh,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,94.83424432014912,0.197571342333644,phase2_fixed_replay,0,0.0,0.0,0.0,mixed,32,battery_kwh,1,OK,4840.696599740556,480.0,0
1953.459930801381,0.0,1953.459930801381,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,98.33717291654152,0.0,2320.0,1088.953496095199,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,v_speed_ms,759.8586952028462,e2-threeshift-100c-01,0.0,0.0,0.0,phase2_fixed_replay,0,0.0,0.0,0.0,allcv,29,speed_ms,5,OK,4918.752359570978,25.0,0
977.6450300997138,118.33341157098148,1095.9784416706952,alns_e2_throughput,95100.66088953285,59.85225876039197,0.7481532345048996,80.0,0.05034,0.0,25,55.1715547537028,262.5189377745308,2560.0,544.9868495794727,1437.7008715551372,14.593681827569583,0.0,10,22,238.58529957731662,1287.5623290734843,0.0,2616.6345110343827,22,3,3,v_speed_ms,380.2852903352681,e2-threeshift-100c-01,150041.72066097596,95.34437091391771,1.1918046364239714,phase2_fixed_replay,3,23.933638197214115,29.187363655139166,14.593681827569583,mixed,32,speed_ms,1,OK,4874.971895490413,25.0,0
1656.4533621470193,0.0,1656.4533621470193,LNS,0.0,0.0,0.0,80.0,0.05034,0.0,0,83.38586225048095,0.0,2320.0,923.3876013462217,1411.4616905592372,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0,0,0,v_speed_ms,644.3287986506326,e2-threeshift-100c-01,0.0,0.0,0.0,phase2_fixed_replay,0,0.0,0.0,0.0,allcv,29,speed_ms,5,OK,4738.23515415594,16.7,0
