best_cost,bundle,charging_event_count,group,status,strategy,violation_count
779.245927152743,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_02__curric_d2_s3_seed24000_24h,1,0,OK,naive,0
779.2434993127418,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_02__curric_d2_s3_seed24000_24h,1,0,OK,aware,0
667.0152818956363,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_03__curric_d2_s3_seed24001_24h,1,1,OK,naive,0
667.0139043907378,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_03__curric_d2_s3_seed24001_24h,1,1,OK,aware,0
611.3909820179656,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_04__curric_d2_s3_seed24002_24h,1,2,OK,naive,0
611.3902332009933,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_04__curric_d2_s3_seed24002_24h,1,2,OK,aware,0
745.8816245841597,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_05__curric_d2_s3_seed24003_24h,1,3,OK,naive,0
745.8787630488183,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_05__curric_d2_s3_seed24003_24h,1,3,OK,aware,0
722.3292344543918,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_06__curric_d2_s3_seed24004_24h,1,4,OK,naive,0
722.3253624967052,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_06__curric_d2_s3_seed24004_24h,1,4,OK,aware,0
797.603677602728,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_07__curric_d2_s3_seed24005_24h,1,5,OK,naive,0
797.6036961858631,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_07__curric_d2_s3_seed24005_24h,1,5,OK,aware,0
689.9602140032786,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_08__curric_d2_s3_seed24006_24h,1,6,OK,naive,0
689.9577838618708,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_08__curric_d2_s3_seed24006_24h,1,6,OK,aware,0
669.9427150695592,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_09__curric_d2_s3_seed24007_24h,1,7,OK,naive,0
669.9423318418848,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_09__curric_d2_s3_seed24007_24h,1,7,OK,aware,0
884.2962079881322,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_10__curric_d2_s3_seed24008_24h,1,8,OK,naive,0
884.2946891594972,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_10__curric_d2_s3_seed24008_24h,1,8,OK,aware,0
912.5129295324971,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24009_24h,1,9,OK,naive,0
912.5123248781531,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24009_24h,1,9,OK,aware,0
780.2329595898166,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_12__curric_d2_s3_seed24010_24h,1,10,OK,naive,0
780.2302681378616,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_12__curric_d2_s3_seed24010_24h,1,10,OK,aware,0
705.4180822899704,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24011_24h,1,11,OK,naive,0
705.4174795809114,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24011_24h,1,11,OK,aware,0
716.8868307128503,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_14__curric_d2_s3_seed24012_24h,1,12,OK,naive,0
716.8855849602131,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_14__curric_d2_s3_seed24012_24h,1,12,OK,aware,0
610.2952462648861,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_15__curric_d2_s3_seed24013_24h,1,13,OK,naive,0
610.2950419840043,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_15__curric_d2_s3_seed24013_24h,1,13,OK,aware,0
842.2351223123874,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_16__curric_d2_s3_seed24014_24h,1,14,OK,naive,0
842.2322980653893,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_16__curric_d2_s3_seed24014_24h,1,14,OK,aware,0
838.5125939059832,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_17__curric_d2_s3_seed24015_24h,1,15,OK,naive,0
838.511212926383,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_17__curric_d2_s3_seed24015_24h,1,15,OK,aware,0
670.6462934368129,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_18__curric_d2_s3_seed24016_24h,1,16,OK,naive,0
670.6460859556927,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_18__curric_d2_s3_seed24016_24h,1,16,OK,aware,0
797.1580581533094,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_19__curric_d2_s3_seed24017_24h,1,17,OK,naive,0
797.155649101993,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_19__curric_d2_s3_seed24017_24h,1,17,OK,aware,0
935.2766578649129,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_20__curric_d2_s3_seed24018_24h,1,18,OK,naive,0
935.2758433675101,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_20__curric_d2_s3_seed24018_24h,1,18,OK,aware,0
760.5126409662034,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_02__curric_d2_s3_seed24019_24h,1,19,OK,naive,0
760.5120104892857,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_02__curric_d2_s3_seed24019_24h,1,19,OK,aware,0
729.8523424746924,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_03__curric_d2_s3_seed24020_24h,1,20,OK,naive,0
729.8518352605771,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_03__curric_d2_s3_seed24020_24h,1,20,OK,aware,0
530.885512134211,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_04__curric_d2_s3_seed24021_24h,1,21,OK,naive,0
530.8846613688605,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_04__curric_d2_s3_seed24021_24h,1,21,OK,aware,0
814.576622973589,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_05__curric_d2_s3_seed24022_24h,1,22,OK,naive,0
814.5754656264054,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_05__curric_d2_s3_seed24022_24h,1,22,OK,aware,0
834.7709883755363,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_06__curric_d2_s3_seed24023_24h,1,23,OK,naive,0
834.7681688124471,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_06__curric_d2_s3_seed24023_24h,1,23,OK,aware,0
832.0594235340154,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_07__curric_d2_s3_seed24024_24h,1,24,OK,naive,0
832.0580268694818,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_07__curric_d2_s3_seed24024_24h,1,24,OK,aware,0
740.1987518683696,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_08__curric_d2_s3_seed24025_24h,1,25,OK,naive,0
740.1969067659074,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_08__curric_d2_s3_seed24025_24h,1,25,OK,aware,0
756.6089558409158,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_09__curric_d2_s3_seed24026_24h,1,26,OK,naive,0
756.606608357898,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_09__curric_d2_s3_seed24026_24h,1,26,OK,aware,0
705.2893128347721,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_10__curric_d2_s3_seed24027_24h,1,27,OK,naive,0
705.2887841597187,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_10__curric_d2_s3_seed24027_24h,1,27,OK,aware,0
703.4722562166321,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24028_24h,1,28,OK,naive,0
703.4684432676393,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24028_24h,1,28,OK,aware,0
739.02684461382,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_12__curric_d2_s3_seed24029_24h,1,29,OK,naive,0
739.0245574493562,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_12__curric_d2_s3_seed24029_24h,1,29,OK,aware,0
781.6425498700271,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,1,30,OK,naive,0
781.6407141375487,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,1,30,OK,aware,0
798.8421001592823,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_14__curric_d2_s3_seed24031_24h,1,31,OK,naive,0
798.8385242677662,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_14__curric_d2_s3_seed24031_24h,1,31,OK,aware,0
790.6243763413921,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_16__curric_d2_s3_seed24033_24h,1,32,OK,naive,0
790.6233157908507,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_16__curric_d2_s3_seed24033_24h,1,32,OK,aware,0
857.6734776564788,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_17__curric_d2_s3_seed24034_24h,1,33,OK,naive,0
857.6725921936091,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_17__curric_d2_s3_seed24034_24h,1,33,OK,aware,0
768.9956981957449,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_18__curric_d2_s3_seed24035_24h,1,34,OK,naive,0
768.9920014123209,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_18__curric_d2_s3_seed24035_24h,1,34,OK,aware,0
648.6111194872328,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_19__curric_d2_s3_seed24036_24h,1,35,OK,naive,0
648.6088741209185,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_19__curric_d2_s3_seed24036_24h,1,35,OK,aware,0
891.2810017283639,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_20__curric_d2_s3_seed24037_24h,1,36,OK,naive,0
891.2807378379185,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_20__curric_d2_s3_seed24037_24h,1,36,OK,aware,0
749.1032088332234,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_02__curric_d2_s3_seed24038_24h,1,37,OK,naive,0
749.102631400526,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_02__curric_d2_s3_seed24038_24h,1,37,OK,aware,0
741.2965679380654,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_03__curric_d2_s3_seed24039_24h,1,38,OK,naive,0
741.2938760601697,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_03__curric_d2_s3_seed24039_24h,1,38,OK,aware,0
730.0022672559966,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_04__curric_d2_s3_seed24040_24h,1,39,OK,naive,0
730.0014172453189,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_04__curric_d2_s3_seed24040_24h,1,39,OK,aware,0
