control_official_evaluations,current_effective_to_official_ratio,current_hidden_full_solution_scores,current_minus_control,current_official_evaluations,current_t3_cost,no_local_search_cost,scale,seed
100,22.64,2164,109.58669118990747,100,5765.304143075041,5655.717451885133,large,1
100,16.5,1550,0.0,100,6838.158443607322,6838.158443607322,large,2
100,11.33,1033,-1.1372806207573376,100,5858.848391207209,5859.985671827966,large,3
100,17.78,1678,-5.675006068120638,100,2826.795844058303,2832.4708501264236,medium,1
100,14.0,1300,-37.512720731878744,100,2818.757064564066,2856.2697852959445,medium,2
101,8.6,760,-26.359986508354723,100,2884.5300471964006,2910.8900337047553,medium,3
100,12.61,1161,-29.745416935403227,100,1297.0786144940996,1326.8240314295028,small,1
100,11.56,1056,24.336886589246433,100,1433.2460688168494,1408.909182227603,small,2
100,9.45,845,-49.75741522556086,100,1365.056516711448,1414.8139319370089,small,3
