stage,trigger_second,trigger_cause,revealed_in_batch,active_customers,committed_customers,future_customers,iterations,runtime_seconds,population_size,initial_feasible_candidates,best_cost,best_emissions_kg,history_preserved,completed_customers,total_active_customers,termination_status,readiness_charging_kwh_cumulative
1,25200.0,fixed_interval,1,41,0,41,11,5.132055249996483,25,11,1712.4697530496167,126.97681681315662,True,41,41,INTEGRATED_HGS_STOPPED_BY_CALLER,0
2,32400.0,fixed_interval,1,42,0,42,5,5.446566583006643,25,15,1664.313351665044,106.12589104143582,True,42,42,INTEGRATED_HGS_STOPPED_BY_CALLER,0
3,34200.0,fixed_interval,3,45,0,45,0,5.218194290995598,11,8,1690.1319839721004,111.63090876026055,True,45,45,INTEGRATED_HGS_STOPPED_BY_CALLER,0
4,37800.0,fixed_interval,1,46,0,46,48,5.1759424160118215,25,13,1764.1876710087124,126.87209105155557,True,46,46,INTEGRATED_HGS_STOPPED_BY_CALLER,0
5,43200.0,fixed_interval,1,47,5,42,16,5.548551292042248,25,18,1769.4123760827783,126.90687053980477,True,47,47,INTEGRATED_HGS_STOPPED_BY_CALLER,0
6,45000.0,fixed_interval,1,48,12,36,7,5.232255499984603,25,11,1783.267804689277,129.40795422779257,True,48,48,INTEGRATED_HGS_STOPPED_BY_CALLER,0
7,48600.0,fixed_interval,1,49,24,25,11,5.622120166954119,25,22,1788.123526394182,128.5749457140943,True,49,49,INTEGRATED_HGS_STOPPED_BY_CALLER,0
8,55800.0,fixed_interval,1,50,38,12,15,5.04562737501692,25,6,2071.3500330675597,150.810770193772,True,50,50,INTEGRATED_HGS_STOPPED_BY_CALLER,0
