stream_seed,depot_id,cooperative_revenue,cooperative_cost,cooperative_profit,independent_revenue,independent_cost,independent_profit,profit_ratio,participation_slack,no_worse,cooperative_cost_closure_error,independent_cost_closure_error
1,D0,8629.928688637767,4492.381366427739,4137.547322210028,10170.260151466971,5333.456924159927,4836.803227307044,0.8554301524715249,-699.2559050970158,False,0.0,1.8189894035458565e-12
1,D1,10891.787200981924,5512.991390646606,5378.795810335318,9262.83525815272,4613.590295245509,4649.244962907211,1.156918134718355,729.5508474281069,True,0.0,1.8189894035458565e-12
2,D0,9976.239618949296,4623.590654177847,5352.648964771449,10148.776645142287,4902.397713855612,5246.378931286675,1.0202558821763779,106.2700334847741,True,1.8189894035458565e-12,0.0
2,D1,9628.574145144008,4445.969955073595,5182.604190070413,9298.357630763823,3966.47284022692,5331.884790536903,0.9720022831829684,-149.2806004664899,False,1.8189894035458565e-12,0.0
3,D0,10059.74614326902,5055.296183007874,5004.449960261146,10576.109905440717,5390.667704681848,5185.442200758869,0.9650960837108095,-180.9922404977233,False,0.0,1.8189894035458565e-12
3,D1,9532.265042304369,4042.568692497552,5489.696349806816,9014.208844121853,3763.911019717507,5250.297824404346,1.0455971324692672,239.3985254024701,True,0.0,1.8189894035458565e-12
4,D0,9790.468089509932,4574.700608738685,5215.7674807712465,10366.434392766454,5310.1765490748885,5056.2578436915655,1.0315469744642658,159.50963707968094,True,1.8189894035458565e-12,0.0
4,D1,9608.141522019989,4539.94212468655,5068.199397333438,9141.475153570434,4163.535708103639,4977.939445466795,1.018131990727376,90.25995186664295,True,1.8189894035458565e-12,0.0
5,D0,9746.454016326452,4048.7464359681444,5697.7075803583075,10221.074726916633,4654.999430558729,5566.075296357904,1.0236490304194295,131.63228400040316,True,0.0,0.0
5,D1,10086.758232477698,4176.050288201096,5910.707944276602,9620.921840886562,3875.7563602849314,5745.16548060163,1.0288142202751027,165.54246367497126,True,0.0,0.0
