instance_id,n,seed,arm,status,cost,cpu_seconds,emissions_kg,joint_complete_candidate_attempts,mip_status_class,mip_gap,witness_file,witness_key,source_scope
cn-prd-50c-01-V2-LOCATIONS,50,4,MV-HGS-SP,PASS,2434.337297406912,74.24730229200213,142.4261907321694,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed4/solution_witnesses.json,MV-HGS-SP,corrected_full_gate
cn-prd-50c-01-V2-LOCATIONS,50,5,HGS-F,PASS,2496.7665369605616,25.498995999994804,172.77894961445884,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed5/solution_witnesses.json,HGS-F,corrected_full_gate
cn-prd-50c-01-V2-LOCATIONS,50,5,HGS-E,PASS,2439.1480701101877,25.20219787499809,144.08067257088246,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed5/solution_witnesses.json,HGS-E,corrected_full_gate
cn-prd-50c-01-V2-LOCATIONS,50,5,HGS-M,PASS,2435.457999418578,24.30823379200592,142.3728084274674,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed5/solution_witnesses.json,HGS-M,corrected_full_gate
cn-prd-50c-01-V2-LOCATIONS,50,5,MV-HGS-SP,PASS,2434.5852089862865,75.42952004200197,141.58237814731532,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed5/solution_witnesses.json,MV-HGS-SP,corrected_full_gate
cn-prd-50c-01-V2-LOCATIONS,50,6,HGS-F,PASS,2497.310911404511,20.633523167009116,174.4054189138149,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/representative_gate/extra_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed6/solution_witnesses.json,HGS-F,corrected_representative_extra_gate
cn-prd-50c-01-V2-LOCATIONS,50,6,HGS-E,PASS,2438.875777490123,20.85955208299856,141.68043117416357,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/representative_gate/extra_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed6/solution_witnesses.json,HGS-E,corrected_representative_extra_gate
cn-prd-50c-01-V2-LOCATIONS,50,6,HGS-M,PASS,2434.9467414726355,22.030450000005658,141.45875574396587,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/representative_gate/extra_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed6/solution_witnesses.json,HGS-M,corrected_representative_extra_gate
cn-prd-50c-01-V2-LOCATIONS,50,6,MV-HGS-SP,PASS,2434.5852089862865,63.929894333996344,141.58237814731532,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/representative_gate/extra_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed6/solution_witnesses.json,MV-HGS-SP,corrected_representative_extra_gate
cn-prd-50c-01-V2-LOCATIONS,50,7,HGS-F,PASS,2497.4965249429174,20.660036542001762,171.11078410032863,80,OPTIMAL,0.0,baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/representative_gate/extra_gate/tasks/D6-E2__cn-prd-50c-01-V2-LOCATIONS__seed7/solution_witnesses.json,HGS-F,corrected_representative_extra_gate
