run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-150c-02,1,3569.1826736217563,0.0,1489.8188208639604,471.48414153608746,26,4
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-150c-02,2,3644.490490676978,0.0,1414.5110038087387,232.60515505248168,32,5
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-150c-02,3,3520.7588689481563,0.0,1538.2426255375603,269.6735309978035,37,7
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-02,1,3511.288783892367,0.0,1547.7127105933496,0,95,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed2,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-02,2,3454.81396231612,0.0,1604.1875321695966,0,55,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed3,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-02,3,3464.1699469960395,0.0,1594.8315474896772,0,66,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-150c-03,1,3339.4143840199094,0.0,1761.8909170601482,575.9985304971701,43,5
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-150c-03,2,3490.466618241119,0.0,1610.838682838939,310.52798612638753,44,8
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-150c-03,3,3411.148986313485,0.0,1690.156314766573,256.9571430373858,78,4
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-03,1,3334.2266748857483,0.0,1767.0786261943094,0,77,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__t3_main_alns__seed2,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-03,2,3494.9946381038567,0.0,1606.310662976201,0,66,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__t3_main_alns__seed3,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-03,3,3532.4019278296505,0.0,1568.9033732504072,0,29,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-01,1,4705.894816645696,0.0,1927.5396796723007,644.9338426454697,22,7
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-01,2,4679.636189902825,0.0,1953.7983064151713,805.5183744130691,29,7
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-01,3,4637.702904342669,0.0,1995.7315919753273,643.6081391879707,47,8
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-01,1,4971.083898738266,0.0,1662.3505975797307,0,114,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__t3_main_alns__seed2,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-01,2,4260.6146707620055,0.0,2372.819825555991,0,84,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__t3_main_alns__seed3,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-01,3,4580.21213502562,0.0,2053.2223612923763,0,124,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-02,1,4519.726438871364,0.0,1847.7090394001834,1025.7929461219683,42,5
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-02,2,4693.299414427581,0.0,1674.1360638439664,912.4054060285698,25,4
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-02,3,4624.080169732944,0.0,1743.355308538603,921.6293672844367,32,5
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-02,1,4616.77828975893,0.0,1750.6571885126168,0,68,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__t3_main_alns__seed2,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-02,2,4432.720057068517,0.0,1934.71542120303,0,79,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__t3_main_alns__seed3,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-02,3,4354.629889573324,0.0,2012.805588698223,0,81,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-03,1,4954.267138328688,0.0,1694.4247596761088,464.91281310082104,20,6
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-03,2,5247.306514674012,0.0,1401.3853833307849,299.5148539945503,22,6
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-200c-03,3,5091.012910426813,0.0,1557.6789875779841,213.29598886945678,16,5
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-03,1,4519.484229201583,0.0,2129.207668803214,0,85,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__t3_main_alns__seed2,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-03,2,4825.630018724047,0.0,1823.06187928075,0,90,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__t3_main_alns__seed3,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-200c-03,3,4442.9042081624875,0.0,2205.787689842309,0,94,1
