scope,algorithm,seed,run_id,verdict,flags,native_best_updates,route_count_unique
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,78,4
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed2,BASELINE_LIVENESS_PASS,,59,7
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed3,BASELINE_LIVENESS_PASS,,76,6
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,54,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,48,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,37,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__LNS__seed1,BASELINE_LIVENESS_PASS,,52,5
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__LNS__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,48,4
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__LNS__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,51,4
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,84,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,67,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,47,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-03__LNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,48,4
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-03__LNS__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,54,3
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-03__LNS__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,56,4
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-03__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,46,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-03__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,51,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-03__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,64,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-01__LNS__seed1,BASELINE_LIVENESS_PASS,,45,5
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-01__LNS__seed2,BASELINE_LIVENESS_PASS,,65,5
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-01__LNS__seed3,BASELINE_LIVENESS_PASS,,40,7
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-01__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,75,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-01__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,126,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-01__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,103,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__LNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,26,4
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__LNS__seed2,BASELINE_LIVENESS_PASS,,32,5
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__LNS__seed3,BASELINE_LIVENESS_PASS,,37,7
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,95,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,55,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-02__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,66,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__LNS__seed1,BASELINE_LIVENESS_PASS,,43,5
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__LNS__seed2,BASELINE_LIVENESS_PASS,,44,8
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__LNS__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,78,4
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,77,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,66,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-150c-03__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,29,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__LNS__seed1,BASELINE_LIVENESS_PASS,,22,7
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__LNS__seed2,BASELINE_LIVENESS_PASS,,29,7
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__LNS__seed3,BASELINE_LIVENESS_PASS,,47,8
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,114,1
