size_bucket,instances,mean_gap_fraction,min_gap_fraction,max_gap_fraction,nonnegative_gap_instances
100c,3,-0.009381257515328938,-0.021702123576003575,0.014095572789459488,1
150c,3,0.0041769255831723045,-0.01177550035292185,0.028334926254161955,1
200c,3,0.048248675808523496,0.015069505914835643,0.0983854563190377,3
