region,quarter,selection_rule,date,day_index,daily_mean_tCO2_per_MWh,intraday_range_tCO2_per_MWh,daily_min_tCO2_per_MWh,daily_max_tCO2_per_MWh,result_blind_selection
Beijing,1,median_daily_mean,2025-01-05,5,0.35145417,0.38360000,0.09970000,0.48330000,1
Beijing,1,maximum_intraday_range,2025-02-16,47,0.43137500,0.57860000,0.07830000,0.65690000,1
Beijing,1,minimum_intraday_range,2025-02-08,39,0.23670833,0.30410000,0.05950000,0.36360000,1
Beijing,2,median_daily_mean,2025-05-27,147,0.33219583,0.45430000,0.10320000,0.55750000,1
Beijing,2,maximum_intraday_range,2025-06-02,153,0.38502083,0.56980000,0.09780000,0.66760000,1
Beijing,2,minimum_intraday_range,2025-06-09,160,0.36620417,0.27420000,0.20570000,0.47990000,1
Beijing,3,median_daily_mean,2025-07-03,184,0.43360417,0.49690000,0.16200000,0.65890000,1
Beijing,3,maximum_intraday_range,2025-09-27,270,0.45419583,0.57820000,0.11660000,0.69480000,1
Beijing,3,minimum_intraday_range,2025-09-03,246,0.38227917,0.34060000,0.16370000,0.50430000,1
Beijing,4,median_daily_mean,2025-11-17,321,0.40860833,0.50810000,0.09540000,0.60350000,1
Beijing,4,maximum_intraday_range,2025-10-14,287,0.44248333,0.56320000,0.10630000,0.66950000,1
Beijing,4,minimum_intraday_range,2025-11-10,314,0.54261667,0.25700000,0.38960000,0.64660000,1
Guangdong,1,median_daily_mean,2025-01-16,16,0.33459167,0.39150000,0.09580000,0.48730000,1
Guangdong,1,maximum_intraday_range,2025-02-27,58,0.33706667,0.41930000,0.09640000,0.51570000,1
Guangdong,1,minimum_intraday_range,2025-01-14,14,0.39947917,0.13570000,0.33120000,0.46690000,1
Guangdong,2,median_daily_mean,2025-04-30,120,0.36069583,0.23990000,0.24130000,0.48120000,1
Guangdong,2,maximum_intraday_range,2025-05-07,127,0.32549583,0.39910000,0.09390000,0.49300000,1
Guangdong,2,minimum_intraday_range,2025-06-16,167,0.41607500,0.16500000,0.33270000,0.49770000,1
Guangdong,3,median_daily_mean,2025-07-27,208,0.40545417,0.24670000,0.26620000,0.51290000,1
Guangdong,3,maximum_intraday_range,2025-09-23,266,0.33760833,0.36010000,0.12980000,0.48990000,1
Guangdong,3,minimum_intraday_range,2025-07-18,199,0.43251667,0.17750000,0.34820000,0.52570000,1
Guangdong,4,median_daily_mean,2025-12-12,346,0.35436667,0.34430000,0.14570000,0.49000000,1
Guangdong,4,maximum_intraday_range,2025-11-22,326,0.35122917,0.41580000,0.10070000,0.51650000,1
Guangdong,4,minimum_intraday_range,2025-11-12,316,0.46010833,0.13230000,0.39930000,0.53160000,1
Chongqing,1,median_daily_mean,2025-01-20,20,0.18360833,0.28750000,0.01250000,0.30000000,1
Chongqing,1,maximum_intraday_range,2025-01-07,7,0.32842500,0.36880000,0.11960000,0.48840000,1
Chongqing,1,minimum_intraday_range,2025-03-17,76,0.08920000,0.22500000,0.00510000,0.23010000,1
Chongqing,2,median_daily_mean,2025-05-17,137,0.19979167,0.26800000,0.04930000,0.31730000,1
Chongqing,2,maximum_intraday_range,2025-05-03,123,0.18346667,0.30960000,0.01290000,0.32250000,1
Chongqing,2,minimum_intraday_range,2025-05-05,125,0.19562500,0.23700000,0.06880000,0.30580000,1
Chongqing,3,median_daily_mean,2025-08-21,233,0.21521667,0.24840000,0.05890000,0.30730000,1
Chongqing,3,maximum_intraday_range,2025-09-29,272,0.20498333,0.31850000,0.02410000,0.34260000,1
Chongqing,3,minimum_intraday_range,2025-08-09,221,0.26958333,0.18220000,0.17000000,0.35220000,1
Chongqing,4,median_daily_mean,2025-11-04,308,0.18947917,0.29180000,0.00800000,0.29980000,1
Chongqing,4,maximum_intraday_range,2025-10-13,286,0.22267500,0.32500000,0.02500000,0.35000000,1
Chongqing,4,minimum_intraday_range,2025-12-05,339,0.13964583,0.24570000,0.00690000,0.25260000,1
