category,instance,seed,profile,display_algorithm,best_cost,route_count,native_best_updates,scan_restart_attempts,scan_restart_accepts,scan_rebuild_attempts,scan_rebuild_accepts,scan_infeasible,route_elimination_selected_count,route_elimination_best_improve_count,route_elimination_objective_improve_count,route_elimination_accepted_non_improve_count,route_elimination_rejected_or_reverted_count,route_elimination_route_count_drop_count,route_elimination_reverted_reason,local_search_call_count,local_search_seconds,local_search_improve_count,local_search_route_count_delta,best_update_operator_distribution,best_update_operator_route_counts,history_route_count_available,destroy_operator_counts,repair_operator_counts
multidepot,e2-multidepot-100c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2483.1514638588815,14,70,1,0,54,0,55,0,0,0,0,0,UNKNOWN,UNKNOWN,7774,430.3638460615766,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:58|route_segment_removal+regret2_insert_repair:5|vehicle_type_swap+greedy_insert_repair:7,random_customer_removal+regret2_insert_repair:UNKNOWN|route_segment_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:58,6,1151,3932|route_segment_removal:5,0,3690,6869|shaw_related_removal:0,0,0,3|vehicle_type_swap:7,0,0,218|whole_route_removal:0,0,0,3|worst_customer_removal:0,0,0,3","greedy_insert_repair:7,0,0,221|regret2_insert_repair:63,6,4839,10794|regret3_insert_repair:0,0,2,13"
multidepot,e2-multidepot-100c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2519.202563257162,14,95,1,0,56,0,57,0,0,0,0,0,UNKNOWN,UNKNOWN,13530,509.9632665805693,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:84|route_segment_removal+greedy_insert_repair:4|route_segment_removal+regret3_insert_repair:2|vehicle_type_swap+greedy_insert_repair:4|whole_route_removal+regret2_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|route_segment_removal+greedy_insert_repair:UNKNOWN|route_segment_removal+regret3_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN|whole_route_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:84,15,3336,10984|route_segment_removal:6,0,248,1018|shaw_related_removal:0,0,0,6|vehicle_type_swap:4,0,0,180|whole_route_removal:1,0,0,55|worst_customer_removal:0,0,0,6","greedy_insert_repair:92,15,3502,11826|regret2_insert_repair:1,0,9,96|regret3_insert_repair:2,0,73,327"
multidepot,e2-multidepot-100c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2515.9644958493736,14,60,1,0,58,0,59,0,0,0,0,0,UNKNOWN,UNKNOWN,13296,562.3190869962564,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:53|route_segment_removal+regret3_insert_repair:2|vehicle_type_swap+greedy_insert_repair:5,random_customer_removal+regret2_insert_repair:UNKNOWN|route_segment_removal+regret3_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:53,15,4165,10121|route_segment_removal:2,0,318,1028|shaw_related_removal:0,0,0,6|vehicle_type_swap:5,0,0,216|whole_route_removal:0,0,0,6|worst_customer_removal:0,0,0,6","greedy_insert_repair:5,0,8,253|regret2_insert_repair:53,15,4165,10127|regret3_insert_repair:2,0,310,1003"
multidepot,e2-multidepot-10c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,371.9993673208387,2,4,1,0,63,0,64,0,0,0,0,0,UNKNOWN,UNKNOWN,3622,13.810516099940287,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:4,random_customer_removal+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:4,17,19,8794|route_segment_removal:0,0,0,1338|shaw_related_removal:0,0,0,1338|vehicle_type_swap:0,0,0,1338|whole_route_removal:0,1,1,1747|worst_customer_removal:0,0,0,1339","greedy_insert_repair:4,18,20,10540|regret2_insert_repair:0,0,0,2677|regret3_insert_repair:0,0,0,2677"
multidepot,e2-multidepot-10c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,387.9007343319535,2,7,1,0,63,0,64,0,0,0,0,0,UNKNOWN,UNKNOWN,11693,43.535924895317294,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:6|whole_route_removal+regret3_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|whole_route_removal+regret3_insert_repair:UNKNOWN,False,"random_customer_removal:6,14,14,248|route_segment_removal:0,0,0,3|shaw_related_removal:0,1,1,14|vehicle_type_swap:0,0,0,3|whole_route_removal:1,0,7789,7839|worst_customer_removal:0,0,0,3","greedy_insert_repair:6,14,14,251|regret2_insert_repair:0,0,0,6|regret3_insert_repair:1,1,7790,7853"
multidepot,e2-multidepot-10c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,387.9007343319535,2,5,1,0,63,0,64,0,0,0,0,0,UNKNOWN,UNKNOWN,11915,44.47657556150807,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:4|whole_route_removal+regret3_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|whole_route_removal+regret3_insert_repair:UNKNOWN,False,"random_customer_removal:4,5,5,134|route_segment_removal:0,0,0,3|shaw_related_removal:0,8,13,81|vehicle_type_swap:0,0,0,3|whole_route_removal:1,0,7934,7742|worst_customer_removal:0,0,0,3","greedy_insert_repair:4,1,5,104|regret2_insert_repair:0,4,0,39|regret3_insert_repair:1,8,7947,7823"
multidepot,e2-multidepot-150c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,3542.002005623657,22,98,1,0,51,0,52,0,0,0,0,0,UNKNOWN,UNKNOWN,5943,407.68849953159224,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:88|route_segment_removal+regret3_insert_repair:8|vehicle_type_swap+greedy_insert_repair:2,random_customer_removal+greedy_insert_repair:UNKNOWN|route_segment_removal+regret3_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:88,1,192,3204|route_segment_removal:8,0,3865,8503|shaw_related_removal:0,0,0,3|vehicle_type_swap:2,0,0,76|whole_route_removal:0,0,0,3|worst_customer_removal:0,0,0,3","greedy_insert_repair:90,1,192,3280|regret2_insert_repair:0,0,0,6|regret3_insert_repair:8,0,3865,8506"
multidepot,e2-multidepot-150c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,3447.553709950097,21,91,1,0,54,0,55,0,0,0,0,0,UNKNOWN,UNKNOWN,5299,369.7302367910743,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:75|random_customer_removal+regret2_insert_repair:7|vehicle_type_swap+greedy_insert_repair:4|whole_route_removal+greedy_insert_repair:5,random_customer_removal+greedy_insert_repair:UNKNOWN|random_customer_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN|whole_route_removal+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:82,19,85,3582|route_segment_removal:0,0,3190,8431|shaw_related_removal:0,0,0,6|vehicle_type_swap:4,0,0,170|whole_route_removal:5,0,41,324|worst_customer_removal:0,0,0,6","greedy_insert_repair:84,19,111,3749|regret2_insert_repair:7,0,3204,8753|regret3_insert_repair:0,0,1,17"
multidepot,e2-multidepot-150c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,3576.214255561352,22,92,1,0,51,0,52,0,0,0,0,0,UNKNOWN,UNKNOWN,6588,437.9606057765486,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:80|route_segment_removal+greedy_insert_repair:5|vehicle_type_swap+greedy_insert_repair:7,random_customer_removal+greedy_insert_repair:UNKNOWN|route_segment_removal+greedy_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:80,10,132,3361|route_segment_removal:5,0,3360,8700|shaw_related_removal:0,0,0,6|vehicle_type_swap:7,0,0,275|whole_route_removal:0,0,0,6|worst_customer_removal:0,0,0,6","greedy_insert_repair:92,10,3486,12306|regret2_insert_repair:0,0,1,17|regret3_insert_repair:0,0,5,31"
multidepot,e2-multidepot-15c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,649.8601526479185,3,5,1,0,62,0,63,0,0,0,0,0,UNKNOWN,UNKNOWN,1474,3.7550505940744188,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:5,random_customer_removal+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:5,28,26,10538|route_segment_removal:0,0,0,1068|shaw_related_removal:0,0,0,1068|vehicle_type_swap:0,0,0,1068|whole_route_removal:0,0,0,1068|worst_customer_removal:0,0,0,1068","greedy_insert_repair:5,28,26,11606|regret2_insert_repair:0,0,0,2136|regret3_insert_repair:0,0,0,2136"
