arm,stream_seed,stages,evaluations_per_stage,total_evaluations,final_total_cost,final_total_emissions,final_cross_site_customer_count,final_dynamic_added_cross_site_customer_count,final_dynamic_added_cross_site_customer_ids,customer_accounting_pass,event_path,event_sha256,owner_path,owner_sha256,initial_solution_path,initial_solution_sha256,initial_certificate_path,initial_certificate_sha256,initial_total_cost,initial_total_emissions,initial_route_count,initial_charging_action_count,initial_cross_site_customer_count,trigger_mode,final_solution_path,final_solution_sha256,final_certificate_path,final_certificate_sha256,stage_evidence_path,stage_evidence_sha256
cooperative,1,7,400,2800,10005.372757074345,3204.439221177142,9,8,N_S1_001;N_S1_004;N_S1_007;N_S1_008;N_S1_011;N_S1_015;N_S1_016;N_S1_018,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.events.json,ae08f81e5b8efd93b6c2d95abc405623ae355926c4c23fd31681c0fa8824d6a9,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.owners.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream1__cooperative.json,de102bfa83cdd74b043855005ecd1335d9c092d8306e47ade4a805c47f6dd2fe,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream1__cooperative.json,84f7a214f32cbf9b062a62a719cb975cc7b9b6578eb8a9e326c60b1c95365720,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream1__cooperative.json,7376ecdb2236b0427c353b95d8cb5080bf1b8ac8eac8c0c34e05460e9dea94f9
independent,1,7,400,2800,9947.047219405435,2646.153407130363,0,0,,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.events.json,ae08f81e5b8efd93b6c2d95abc405623ae355926c4c23fd31681c0fa8824d6a9,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed1.owners.csv,66a6b7211192e69725d6fa76a3c747e8a855744570f9389229ca24fa804eebe1,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream1__independent.json,ea78bb4a3ee3a6a05efe90e890d76b96815138bc1a7869378a738e87b682ea17,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream1__independent.json,1fa3737caadd9007f42dbcc23a63abd004a85e667a2ec24141c8fe826c533af6,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream1__independent.json,ac5b5ce5b8f77b2bea8497e4c4393283f1e63d56dfbaf321faac91f346aec853
cooperative,2,8,400,3200,9069.56060925144,2873.3405321658734,1,3,N_S2_009;N_S2_011;N_S2_012,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.events.json,53c96b92df0f7a6d06c8b8a0450b6e6fdc5e692b57a5a852e929b675d62b8c67,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.owners.csv,d50c8b3a67d9be1ea298b16ba15bb627afd6592dc2ded9942e73421e0a393451,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream2__cooperative.json,602566d9954cddda74e0cb630b49414c5dee9c41a699c6bc85dfc841fabe9c26,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream2__cooperative.json,0daa86b10f33668a94d798675c422b45eaaf3428f6d07486897958b82fd9361f,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream2__cooperative.json,546f97e9fbb459c997a5aadf80e2c5fd0899d4538318e2d7436d212e29397397
independent,2,8,400,3200,8868.870554082532,2233.905448943663,0,0,,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.events.json,53c96b92df0f7a6d06c8b8a0450b6e6fdc5e692b57a5a852e929b675d62b8c67,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed2.owners.csv,d50c8b3a67d9be1ea298b16ba15bb627afd6592dc2ded9942e73421e0a393451,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream2__independent.json,f18c65ee67af2ff2e19f18fb0e51628bfa23494405341ef3a086f11e631553ba,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream2__independent.json,654e35ea5315e8d91c247ffd8a461b6239699285adffd6f159648f2a5ae50f7e,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream2__independent.json,521b43864924485b94881dfe1719ffceb92e4543e1913f0c59bf4b10e5fe166a
cooperative,3,7,400,2800,9097.864875505426,2899.70212231151,1,4,N_S3_005;N_S3_006;N_S3_007;N_S3_012,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.events.json,4b12a0ecbe422562a58e6df0bf5111022035e107e2682d24103118a4dace9980,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.owners.csv,1e54dc314b43747ea01e8c40d71be58a02c6a5cc286eabdfaaa73b4e67b27855,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream3__cooperative.json,bea56cea33d4cc7c458569e86ed81fc3a689f5166a8d45a752e0d19ca6aac311,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream3__cooperative.json,5fc39d0a77aa18e4bf586f830c00e9d00409842122d6c76bcfa08185c0da0013,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream3__cooperative.json,1ca9d283fe3b00b60570d3d182ea91a49a9dd5b3c0ad4b25231bda1a23de173a
independent,3,7,400,2800,9154.578724399353,2689.798900013624,0,0,,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.events.json,4b12a0ecbe422562a58e6df0bf5111022035e107e2682d24103118a4dace9980,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed3.owners.csv,1e54dc314b43747ea01e8c40d71be58a02c6a5cc286eabdfaaa73b4e67b27855,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream3__independent.json,b165e7464134dbb2aaee1507012a3331c2e0f93d5195c45e3e1eaa3cefdf5bbd,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream3__independent.json,127268231150bb952d66eb2a533a62d1913437255bb596d2518777ba7b38b7b6,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream3__independent.json,47fc3d07a86ef46d7a0a7e508519911ca45c2370a71ae8719bca87644daf5cf3
cooperative,4,7,400,2800,9114.642733425235,2988.3502180837736,1,6,N_S4_001;N_S4_002;N_S4_006;N_S4_008;N_S4_012;N_S4_021,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.events.json,b1ea854fe37d07411de97bea8e32a8c16d0828eae33e2d9a44a2cfafdf3c0350,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.owners.csv,e8069e607643fdb52869f37bd90881a3ce5a73de67cb87495b8e067502ecd13a,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream4__cooperative.json,fa229854352db691f07124105fd25a2792ffd452c6979c2b17f623fd08c8eae0,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream4__cooperative.json,e79c267494f7be7c588229f00bf40dd802582a2813ba5fedae9f5a7ec8f712c6,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream4__cooperative.json,86801ed13832907097eb0379d4748a1dbb0b0a2921735cb1755c64e184b1930a
independent,4,7,400,2800,9473.712257178528,2562.0145732618407,0,0,,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.events.json,b1ea854fe37d07411de97bea8e32a8c16d0828eae33e2d9a44a2cfafdf3c0350,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed4.owners.csv,e8069e607643fdb52869f37bd90881a3ce5a73de67cb87495b8e067502ecd13a,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream4__independent.json,2615531eb5fe57899d88e8854058a5996a79421c8f0d1c46d85d4fb6a630ef20,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream4__independent.json,0c5d7e66d7a28b32170586ea2baa91d497ca7df6a65fc58b92c4d520c581346e,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream4__independent.json,127bd86cde48b50c18d687f4f4c5c3cb79413df6bed8bf967b2f3695384824a4
cooperative,5,7,400,2800,8224.79672416924,2490.96634221247,2,4,N_S5_001;N_S5_007;N_S5_013;N_S5_018,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.events.json,cfb5da999e4c52edc18282174d0479643d5a56900c7215681fa8bcd736922303,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.owners.csv,9d1b1aeee60c71c7fcfb127820e91be9cc0094a8a7ce0894689c869eeeb4f5f4,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream5__cooperative.json,d4afc8f15e289222347e8f9003c964287fc9c2406e232271edac4e052cefd9f6,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream5__cooperative.json,d4b02299535e1751f4844d1ee4c8665d06938a02af6f60aec639de3ae2a4b2fa,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream5__cooperative.json,3161bf2d642ea1e784742782313f0437635f16802aaa42eb00149e7859ef98db
independent,5,7,400,2800,8530.755790843661,2413.908167605485,0,0,,True,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.events.json,cfb5da999e4c52edc18282174d0479643d5a56900c7215681fa8bcd736922303,baselines/e7_dynamic/e7_v2_20260714/event_streams/stream_seed5.owners.csv,9d1b1aeee60c71c7fcfb127820e91be9cc0094a8a7ce0894689c869eeeb4f5f4,baselines/e6_fairness/e6_participation_formal_20260714/solutions/L-main-threeshift-100c-01__geographic__seed1__independent.json,47884212a50d96e09b335f2ceb4f72a7314f52c9852c95f8cc0a5eb2a5e505a6,baselines/e6_fairness/e6_participation_formal_20260714/certificates/L-main-threeshift-100c-01__geographic__seed1__independent.json,97e019daafc6e0f8e6d7642db7fce674a3dd15a2627ac6f08332f2bef80d01be,6058.818401851069,1666.3475643684983,34,21,0,batched,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/solutions/stream5__independent.json,566c8722f0c8f156dbab828d1734051e71c778dc0514fed2eb1cad8c404fbe39,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/certificates/stream5__independent.json,8a952019883b940b82f2414d83bae5335a49e7c3fe8a237040d87a8ffc1f2838,baselines/e7_dynamic/e7_v2_20260714/formal_shared_start_400_route_fix/stage_evidence/stream5__independent.json,67512b227a6af727a574d8a580d5bcff617a4c043334bf5f9b9c467d0d5dbf44
