category,instance,size,battery_kwh,attempt_order,route_id,route_customer_count,ev_physical_vehicle_count_before,ev_fleet_limit,accepted,failure_reason,failure_detail,cost_before,cost_after
threeshift,e2-threeshift-100c-01,100,280.0,1,CV2#T2,10,1,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_1 at D1,4086.253616024695,inf
threeshift,e2-threeshift-100c-01,100,280.0,2,CV3#T2,9,1,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_2 at D1,4086.253616024695,inf
threeshift,e2-threeshift-100c-01,100,280.0,3,CV2#T1,12,1,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_3 at D0,4086.253616024695,inf
threeshift,e2-threeshift-100c-01,100,280.0,4,CV1#T1,8,1,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_4 at D0,4086.253616024695,inf
threeshift,e2-threeshift-100c-01,100,280.0,5,CV5#T1,7,1,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_5 at D0,4086.253616024695,inf
threeshift,e2-threeshift-100c-01,100,280.0,6,CV4#T2,10,1,7,True,ACCEPTED,,4086.253616024695,4035.076129150274
threeshift,e2-threeshift-100c-01,100,280.0,7,CV3#T1,7,2,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_7 at D0,4035.076129150274,inf
threeshift,e2-threeshift-100c-01,100,280.0,8,CV4#T1,8,2,7,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_8 at D0,4035.076129150274,inf
threeshift,e2-threeshift-100c-01,100,280.0,9,CV5#T2,5,2,7,True,ACCEPTED,,4035.076129150274,4011.673404040272
threeshift,e2-threeshift-100c-01,100,280.0,10,CV1#T2,8,3,7,False,CHARGING_TIME_WINDOW_DETOUR,"TIME_WINDOW:EV1#T1:C054:late by 409.409 s (due l=53869.000, start=54278.409)",4011.673404040272,inf
threeshift,e2-threeshift-100c-01,100,280.0,11,CV6#T1,5,3,7,True,ACCEPTED,,4011.673404040272,3961.9885525301747
threeshift,e2-threeshift-100c-01,100,280.0,14,CV7#T1,8,4,7,False,CHARGING_TIME_WINDOW_DETOUR,"TIME_WINDOW:EV2#T1:C054:late by 409.409 s (due l=53869.000, start=54278.409)",3961.9885525301747,inf
threeshift,e2-threeshift-100c-02,100,280.0,1,CV2#T1,12,1,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_1 at D0,3583.539854977179,inf
threeshift,e2-threeshift-100c-02,100,280.0,2,CV3#T2,8,1,6,True,ACCEPTED,,3583.539854977179,3545.132590727274
threeshift,e2-threeshift-100c-02,100,280.0,3,CV4#T1,9,2,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_3 at D0,3545.132590727274,inf
threeshift,e2-threeshift-100c-02,100,280.0,4,CV5#T1,10,2,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_4 at D0,3545.132590727274,inf
threeshift,e2-threeshift-100c-02,100,280.0,5,CV5#T2,4,2,6,True,ACCEPTED,,3545.132590727274,3517.8762581749647
threeshift,e2-threeshift-100c-02,100,280.0,6,CV1#T1,9,3,6,True,ACCEPTED,,3517.8762581749647,3478.199103483768
threeshift,e2-threeshift-100c-02,100,280.0,7,CV6#T1,8,4,6,True,ACCEPTED,,3478.199103483768,3435.7025459094675
threeshift,e2-threeshift-100c-02,100,280.0,9,CV3#T1,9,5,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_9 at D0,3435.7025459094675,inf
threeshift,e2-threeshift-100c-02,100,280.0,10,CV7#T1,8,5,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_10 at D1,3435.7025459094675,inf
threeshift,e2-threeshift-100c-02,100,280.0,11,CV2#T2,6,5,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_11 at D1,3435.7025459094675,inf
threeshift,e2-threeshift-100c-02,100,280.0,12,CV1#T2,6,5,6,True,ACCEPTED,,3435.7025459094675,3404.8016386259405
threeshift,e2-threeshift-100c-03,100,280.0,1,CV2#T1,8,1,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_1 at D0,3414.0823618162362,inf
threeshift,e2-threeshift-100c-03,100,280.0,2,CV2#T2,9,1,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_2 at D1,3414.0823618162362,inf
threeshift,e2-threeshift-100c-03,100,280.0,3,CV3#T2,7,1,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_3 at D1,3414.0823618162362,inf
threeshift,e2-threeshift-100c-03,100,280.0,4,CV4#T1,10,1,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_4 at D0,3414.0823618162362,inf
threeshift,e2-threeshift-100c-03,100,280.0,5,CV4#T2,7,1,6,True,ACCEPTED,,3414.0823618162362,3361.9502675023855
threeshift,e2-threeshift-100c-03,100,280.0,6,CV1#T2,9,2,6,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_6 at D1,3361.9502675023855,inf
threeshift,e2-threeshift-100c-03,100,280.0,7,CV3#T1,8,2,6,True,ACCEPTED,,3361.9502675023855,3306.7535440032166
threeshift,e2-threeshift-100c-03,100,280.0,8,CV6#T1,4,3,6,True,ACCEPTED,,3306.7535440032166,3258.793055858989
threeshift,e2-threeshift-100c-03,100,280.0,10,CV5#T1,8,4,6,True,ACCEPTED,,3258.793055858989,3202.3018718303915
threeshift,e2-threeshift-100c-03,100,280.0,12,CV1#T1,6,5,6,True,ACCEPTED,,3202.3018718303915,3148.4636856200623
threeshift,e2-threeshift-100c-03,100,280.0,14,CV7#T1,7,6,6,True,ACCEPTED,,3148.4636856200623,3129.6101031181024
threeshift,e2-threeshift-150c-01,150,280.0,1,CV2#T1,9,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_1 at D0,5803.553350198798,inf
threeshift,e2-threeshift-150c-01,150,280.0,2,CV3#T2,6,1,10,True,ACCEPTED,,5803.553350198798,5765.447311608856
threeshift,e2-threeshift-150c-01,150,280.0,3,CV10#T1,7,2,10,True,ACCEPTED,,5765.447311608856,5734.401709731259
threeshift,e2-threeshift-150c-01,150,280.0,4,CV2#T2,9,3,10,True,ACCEPTED,,5734.401709731259,5691.734528758952
threeshift,e2-threeshift-150c-01,150,280.0,5,CV4#T1,9,4,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_5 at D0,5691.734528758952,inf
threeshift,e2-threeshift-150c-01,150,280.0,6,CV5#T2,6,4,10,True,ACCEPTED,,5691.734528758952,5643.980599694443
threeshift,e2-threeshift-150c-01,150,280.0,7,CV3#T1,9,5,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_7 at D0,5643.980599694443,inf
threeshift,e2-threeshift-150c-01,150,280.0,8,CV5#T1,8,5,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_8 at D0,5643.980599694443,inf
threeshift,e2-threeshift-150c-01,150,280.0,9,CV4#T2,6,5,10,True,ACCEPTED,,5643.980599694443,5602.484692303553
threeshift,e2-threeshift-150c-01,150,280.0,10,CV1#T2,9,6,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_10 at D1,5602.484692303553,inf
threeshift,e2-threeshift-150c-01,150,280.0,11,CV6#T2,1,6,10,True,ACCEPTED,,5602.484692303553,5579.16361592783
threeshift,e2-threeshift-150c-01,150,280.0,13,CV8#T1,8,7,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_13 at D0,5579.16361592783,inf
threeshift,e2-threeshift-150c-01,150,280.0,14,CV6#T1,8,7,10,True,ACCEPTED,,5579.16361592783,5509.99665984261
threeshift,e2-threeshift-150c-01,150,280.0,15,CV7#T1,8,8,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_15 at D0,5509.99665984261,inf
threeshift,e2-threeshift-150c-01,150,280.0,17,CV9#T1,5,8,10,True,ACCEPTED,,5509.99665984261,5467.081531567088
threeshift,e2-threeshift-150c-01,150,280.0,20,CV1#T1,8,9,10,True,ACCEPTED,,5467.081531567088,5411.442347477969
threeshift,e2-threeshift-150c-02,150,280.0,1,CV3#T2,7,1,10,True,ACCEPTED,,5059.001494485717,5020.0716422133255
threeshift,e2-threeshift-150c-02,150,280.0,2,CV10#T1,6,2,10,True,ACCEPTED,,5020.0716422133255,4988.36684856633
