algorithm,best_total_cost,instance,mean_route_count,mean_total_cost,median_route_count,median_total_cost,n,std_total_cost,variant,zero_violation_count
scikit-opt-SA,5670.4808069655355,Scale-150,49.8,5754.712075312877,50.0,5745.034953614895,10,55.47609147043493,fair_sa,10
scikit-opt-SA,7461.505018913264,Scale-200,61.9,7601.90753348803,62.0,7603.50949208766,10,105.65229067230214,fair_sa,10
