algorithm,all_cv_flag,charging_actions,cost_carbon,cost_carbon_share_pct,cost_elec,cost_elec_share_pct,cost_fix,cost_fix_share_pct,cost_fuel,cost_fuel_share_pct,cost_km,cost_km_share_pct,cost_occ,cost_occ_share_pct,cost_transship,cost_transship_share_pct,cv_routes,ev_routes,evaluations,feasible,instance,route_count,run_elapsed_seconds,seed,total_cost,violation_count
scikit-opt-SA,False,47,15.66668222027748,0.27558415472142184,388.74384761602784,6.838183295104762,3920.0,68.95460514988604,84.40492171026867,1.4847214411323009,1276.0840435330206,22.446905959155465,0.0,0.0,0.0,0.0,2,47,16000,True,Scale-150,49,352.032354917028,1,5684.899495079595,0
scikit-opt-SA,False,49,11.454049518838088,0.1994016741953392,412.6806158920813,7.184289327674585,4000.0,69.63534560153245,35.20546272056654,0.6128861409021293,1284.869174553404,22.3680772556955,0.0,0.0,0.0,0.0,1,49,16000,True,Scale-150,50,356.8409845411079,2,5744.20930268489,0
scikit-opt-SA,False,49,12.489213416422725,0.21785026385824072,398.9182268120609,6.958359831900522,4000.0,69.77229280805722,53.49499964940366,0.9331171948262775,1268.0322810778284,22.118379901357738,0.0,0.0,0.0,0.0,1,49,16000,True,Scale-150,50,354.21785079094116,3,5732.934720955716,0
scikit-opt-SA,False,51,9.897937540323657,0.17040911817811943,453.49671846916436,7.8076847399942455,4000.0,68.86651587116286,0.0,0.0,1339.3240098961555,23.058644546035765,5.619318672081864,0.09674572462901186,0.0,0.0,0,50,16000,True,Scale-150,50,359.3475580830127,4,5808.337984577725,0
scikit-opt-SA,False,50,12.553902284995695,0.2161625725237557,429.54652582690665,7.396256553021102,4000.0,68.87502152445815,43.18624166164351,0.7436133310015368,1314.5047871440283,22.634136377137054,7.829232652104011,0.13480964185841357,0.0,0.0,1,49,16000,True,Scale-150,50,347.0864156250609,5,5807.620689569678,0
scikit-opt-SA,False,50,10.972949294635123,0.18901603625651023,430.83764012698146,7.421452594037412,4000.0,68.90254613640604,36.062487649056756,0.6211993047581766,1323.6493801463098,22.8007031209891,3.7782526888872465,0.06508280755276344,0.0,0.0,1,49,16000,True,Scale-150,50,349.7524496249389,6,5805.30070990587,0
scikit-opt-SA,False,50,8.491602730734979,0.14849423619760727,427.0979163897273,7.468740694419266,4000.0,69.94874390915109,0.0,0.0,1282.8834318665777,22.43402116023203,0.0,0.0,0.0,0.0,0,50,16000,True,Scale-150,50,368.8002977090655,7,5718.47295098704,0
scikit-opt-SA,False,49,12.949516816928378,0.2221566146581152,429.8329089856769,7.374037601470754,4000.0,68.62236415422045,42.551620275020134,0.7299981954661355,1343.6694417801873,23.05144343418453,0.0,0.0,0.0,0.0,1,49,16000,True,Scale-150,50,359.19455562497023,8,5829.0034878578135,0
scikit-opt-SA,False,49,13.23781856216023,0.230388787219956,402.4760614905578,7.004626272558796,4000.0,69.61533311191106,53.62141117620063,0.9332181002404895,1276.5253133159824,22.21643372806969,0.0,0.0,0.0,0.0,1,49,16000,True,Scale-150,50,363.3019148330204,9,5745.860604544901,0
scikit-opt-SA,False,50,9.13945978212776,0.16117609940414546,435.25677194942887,7.675835379158075,3920.0,69.12994036034351,0.0,0.0,1305.8315486526003,23.028585989543178,0.2530265813778385,0.004462171551079484,0.0,0.0,0,49,16000,True,Scale-150,49,363.16165554104373,10,5670.4808069655355,0
