instance_id,cost_effect_pct_joint_vs_zone,distance_reduction_pct_joint_vs_zone,carbon_reduction_pct_joint_vs_zone,vehicle_count_change_joint_minus_zone,time_window_satisfied_change_joint_minus_zone,IND_ZONE_mapping_identical,interpretation
cn-prd-50c-01-V2-LOCATIONS,2.2727594138817997,-28.035661535620736,-4.0448938635579434,-1.0,0.0,True,ZONE_IS_ALREADY_GEOGRAPHICALLY_OPTIMAL_BY_INPUT_IDENTITY
cn-prd-100c-02-V2-LOCATIONS,0.693114675203723,-12.176610581442924,-1.1825313114505251,-0.8000000000000007,0.0,True,ZONE_IS_ALREADY_GEOGRAPHICALLY_OPTIMAL_BY_INPUT_IDENTITY
