instance_id,sample_role,seed,arm,hard_home_depot_lock,total_cost_cny,vehicle_count,route_count,cross_site_service_count,distance_total_m,carbon_emissions_kg,time_window_satisfied_customer_count,wallclock_seconds,complete_candidate_budget_cap,complete_candidate_evaluations_consumed,termination_reason,feasible_candidates,infeasible_candidates,constraint_filtered_candidates,error_candidates,violation_count,solution_sha256,status
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,1,JOINT,False,4693.673432887224,17,17,4,1327322.127269172,313.2231041499162,100,114.1068027089932,400,352,CANDIDATES_EXHAUSTED,142,210,0,0,0,03a4a55674030f530f647b423ad0c1a754052ba8776f4bdc29f8a9515b0279c8,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,1,ZONE,True,4739.027502132682,18,18,0,1151604.083950737,310.9233549831297,100,115.837684291997,400,342,CANDIDATES_EXHAUSTED,142,200,0,0,0,38db8137c0268ce7750717b87394574afab2528f15b4af209ee0000b6f502e82,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,2,JOINT,False,4699.033142717446,17,17,3,1330808.715338194,316.2455063451541,100,113.51873712497763,400,326,CANDIDATES_EXHAUSTED,152,174,0,0,0,a2e052b4c5f9933cc80c641c92587236a18be540420a82de4cd9ac0e98ac57d2,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,2,ZONE,True,4739.258936162315,18,18,0,1151846.666606766,310.70317863048297,100,118.31532833300298,400,358,CANDIDATES_EXHAUSTED,168,190,0,0,0,1693702a7939ff1f7e7fd9a0368624cad12d9eef740a1784f43b13107365c0e9,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,3,JOINT,False,4692.9228951636105,17,17,2,1321438.129356445,316.48910377476346,100,112.95045070798369,400,352,CANDIDATES_EXHAUSTED,157,195,0,0,0,ea8463f35b2b3f54095fbb7b3ae55052cd6edc0afb87b4b4b0a417cf9c721527,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,3,ZONE,True,4739.882537462597,18,18,0,1150943.979281615,311.35401643698265,100,116.08016866701655,400,340,CANDIDATES_EXHAUSTED,124,216,0,0,0,e5678186fd3ce3193e3b6ea47670ca6a37802364d695e1506bcbd34ea69f73c8,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4,JOINT,False,4741.091706036299,18,18,0,1149514.611920304,311.3027834537282,100,118.80882549996022,400,388,CANDIDATES_EXHAUSTED,166,222,0,0,0,739351dece62fa8303cfc587edd8b3c0787655209d96dc67e70eaf9470a36095,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4,ZONE,True,4739.956328619759,18,18,0,1153334.867306153,310.50766261722873,100,115.87398154201219,400,334,CANDIDATES_EXHAUSTED,151,183,0,0,0,05c93c65e0b946daf18d9235648985edbb83e38c1842c8c467f1e2646b4fae35,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,5,JOINT,False,4710.635724956914,17,17,3,1311738.7581396839,322.52005448901264,100,115.00917737500276,400,396,CANDIDATES_EXHAUSTED,170,226,0,0,0,1396f181c1288680632430d9821a3bd1ea6d9bf7d399f076139f6a102ed24659,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,5,ZONE,True,4740.019957717126,18,18,0,1145783.206385316,312.0110767651614,100,113.8550150829833,400,326,CANDIDATES_EXHAUSTED,134,192,0,0,0,15620fd6749f6033b5123617bf185bea5ca6d9217d268cb6c94123a38a9d869e,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,6,JOINT,False,4696.591688616317,17,17,3,1326182.043505818,314.5727923034921,100,108.0040117080207,400,313,CANDIDATES_EXHAUSTED,107,206,0,0,0,67eff6c47fbc774740ccacaa2fc5edd0e81fbca5193ffb89ad88b9c68a4d9145,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,6,ZONE,True,4741.0149252814035,18,18,0,1148787.072126135,311.94347116894727,100,115.38815770897781,400,346,CANDIDATES_EXHAUSTED,152,194,0,0,0,8b8f3178880b9d7cc6ce02eb831dbb0408b1b8a798ed1710aa58d83432fa207f,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,7,JOINT,False,4699.834435688238,17,17,3,1326726.663509606,315.542909014848,100,114.4700989999692,400,356,CANDIDATES_EXHAUSTED,167,189,0,0,0,a62922c5664a712925afbbbd5f144d4a07f42f93afc524d4c38606a432b0d1e4,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,7,ZONE,True,4739.791127781742,18,18,0,1148053.141793334,311.2842698091199,100,115.11320395901566,400,354,CANDIDATES_EXHAUSTED,147,207,0,0,0,d5c2fb570f9bed0e22908f9d87d34d65c77bc41cef5320a28a3a0f8940d150a3,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,8,JOINT,False,4698.540433212127,17,17,4,1323554.961884876,315.0775266437329,100,112.20988691702951,400,380,CANDIDATES_EXHAUSTED,147,233,0,0,0,b46e67a3adb10fb96a51839333ca4545a4a0c230127b5f21166035f3f3de9b67,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,8,ZONE,True,4738.978549480866,18,18,0,1147636.891933874,311.11160220297273,100,115.58493979100604,400,302,CANDIDATES_EXHAUSTED,128,174,0,0,0,3f4613f6fd7f67fd9fe34eec18121a697570b112a7a048bf70687a7cb57a6a9a,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,9,JOINT,False,4696.195276193338,17,17,4,1328928.56682675,313.0170384320663,100,113.78558679198613,400,349,CANDIDATES_EXHAUSTED,143,206,0,0,0,fdbed0550f0e34c8ecfc6487b7925f23563a588299ccb38a4ad25d5e21996183,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,9,ZONE,True,4738.774788867248,18,18,0,1149543.811246592,310.9053602185031,100,114.17923954199068,400,303,CANDIDATES_EXHAUSTED,109,194,0,0,0,475b56bd3263ba701f1a39b0d1b68c808e8b1ed7448b9ef1b5e7fd81b4104492,PASS
