instance_id,seed,resource_label,customer_count,original_route_count,original_partition_enumerable,dp_route_count,dp_proxy_cost,dp_cuts_json,states_considered,feasible_segments
cn-prd-50c-02-V2-LOCATIONS,3,D_guangzhou|cv,19,3,True,3,223809.85733495298,"[7, 13, 19]",190,70
cn-prd-50c-02-V2-LOCATIONS,3,D_guangzhou|ev,4,1,True,1,81149.578181709,[4],10,10
cn-prd-50c-02-V2-LOCATIONS,3,D_shenzhen|cv,23,4,True,4,232312.79509424698,"[5, 11, 18, 23]",276,79
cn-prd-50c-02-V2-LOCATIONS,3,D_shenzhen|ev,4,1,True,1,64852.977907629,[4],10,10
cn-prd-50c-02-V2-LOCATIONS,4,D_guangzhou|cv,19,3,True,3,223809.85733495298,"[7, 13, 19]",190,70
cn-prd-50c-02-V2-LOCATIONS,4,D_guangzhou|ev,4,1,True,1,81149.578181709,[4],10,10
cn-prd-50c-02-V2-LOCATIONS,4,D_shenzhen|cv,23,4,True,4,232312.79509424698,"[5, 11, 18, 23]",276,79
cn-prd-50c-02-V2-LOCATIONS,4,D_shenzhen|ev,4,1,True,1,64852.977907629,[4],10,10
cn-jjj-100c-02-V2-LOCATIONS,3,D_beijing|cv,68,11,True,11,869590.742007234,"[5, 11, 18, 23, 29, 34, 40, 46, 54, 60, 68]",2346,250
cn-jjj-100c-02-V2-LOCATIONS,3,D_beijing|ev,5,1,True,1,93617.57521213099,[5],15,15
cn-jjj-100c-02-V2-LOCATIONS,3,D_tianjin|cv,27,5,True,5,260028.941576924,"[6, 12, 18, 23, 27]",378,88
cn-jjj-100c-02-V2-LOCATIONS,4,D_beijing|cv,68,11,True,11,861459.984726216,"[5, 11, 17, 22, 28, 34, 40, 47, 55, 61, 68]",2346,248
cn-jjj-100c-02-V2-LOCATIONS,4,D_beijing|ev,5,1,True,1,102820.10099491899,[5],15,15
cn-jjj-100c-02-V2-LOCATIONS,4,D_tianjin|cv,27,5,True,5,260028.941576924,"[6, 12, 18, 23, 27]",378,88
cn-prd-200c-01-V2-LOCATIONS,3,D_dongguan|cv,21,4,True,4,260341.41085022,"[6, 11, 16, 21]",231,66
cn-prd-200c-01-V2-LOCATIONS,3,D_dongguan|ev,5,1,True,1,81716.340281632,[5],15,15
cn-prd-200c-01-V2-LOCATIONS,3,D_foshan|cv,30,5,True,5,464494.94591586496,"[7, 12, 19, 24, 30]",465,107
cn-prd-200c-01-V2-LOCATIONS,3,D_guangzhou|cv,65,10,True,10,724946.041000105,"[9, 14, 20, 25, 31, 38, 45, 51, 58, 65]",2145,250
cn-prd-200c-01-V2-LOCATIONS,3,D_shenzhen|cv,79,13,True,13,740067.970086807,"[7, 12, 18, 25, 31, 37, 43, 50, 55, 62, 68, 73, 79]",3160,283
cn-prd-200c-01-V2-LOCATIONS,4,D_dongguan|cv,17,3,True,3,191484.21454190701,"[6, 12, 17]",153,57
cn-prd-200c-01-V2-LOCATIONS,4,D_foshan|cv,31,5,True,5,459974.474842449,"[7, 14, 19, 25, 31]",496,113
cn-prd-200c-01-V2-LOCATIONS,4,D_guangzhou|cv,69,11,True,11,806314.868322343,"[5, 14, 19, 25, 32, 37, 44, 50, 57, 63, 69]",2415,258
cn-prd-200c-01-V2-LOCATIONS,4,D_guangzhou|ev,4,1,True,1,73191.20864465501,[4],10,10
cn-prd-200c-01-V2-LOCATIONS,4,D_shenzhen|cv,79,13,True,13,740682.683935682,"[7, 12, 18, 25, 31, 37, 44, 50, 57, 62, 67, 73, 79]",3160,283
