instance_id,region,customer_count,replicate,route_index,source_vehicle_id,arc_count,ev_road_distance_m,ev_road_distance_km,reference_range_km,exceeds_reference_range,excess_km,formal_six_instance
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,1,FLEET-CV-0002,6,65075.516409569005,65.075516409569,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,2,FLEET-CV-0003,7,81879.308393812,81.879308393812,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,3,FLEET-CV-0004,11,110891.192870289,110.891192870289,95.0,True,15.891192870289004,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,4,FLEET-CV-0005,7,72701.050197219,72.70105019721899,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,5,FLEET-CV-0006,5,58806.299367361,58.80629936736101,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,6,FLEET-CV-0007,6,61948.036535116,61.948036535116,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,7,FLEET-CV-0008,8,146344.959201367,146.34495920136698,95.0,True,51.344959201366976,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,8,FLEET-CV-0009,8,145351.309539065,145.351309539065,95.0,True,50.351309539065,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,9,FLEET-CV-0010,7,116905.061975345,116.905061975345,95.0,True,21.905061975345006,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,10,FLEET-CV-0011,8,145375.321298482,145.37532129848202,95.0,True,50.37532129848202,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,11,FLEET-CV-0012,8,114091.07819452499,114.091078194525,95.0,True,19.091078194524997,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,12,FLEET-CV-0013,7,101913.37509018599,101.913375090186,95.0,True,6.913375090185994,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,13,FLEET-CV-0014,8,118575.90389417601,118.57590389417601,95.0,True,23.575903894176008,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,14,FLEET-CV-0015,7,123954.992021008,123.954992021008,95.0,True,28.954992021007996,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,15,FLEET-CV-0016,4,86288.798221666,86.288798221666,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,16,FLEET-CV-0017,3,97865.353747856,97.865353747856,95.0,True,2.8653537478560054,False
cn-cy-10c-01-V2-LOCATIONS,cy,10,1,0,FLEET-CV-0001,8,129287.634763031,129.287634763031,95.0,True,34.28763476303101,False
cn-cy-10c-01-V2-LOCATIONS,cy,10,1,1,FLEET-CV-0002,4,70180.641333488,70.18064133348801,95.0,False,0.0,False
cn-cy-10c-02-V2-LOCATIONS,cy,10,2,0,FLEET-CV-0001,6,111936.74211435,111.93674211435,95.0,True,16.936742114349997,False
cn-cy-10c-02-V2-LOCATIONS,cy,10,2,1,FLEET-CV-0002,6,102151.47061061,102.15147061061,95.0,True,7.151470610610005,False
cn-cy-10c-03-V2-LOCATIONS,cy,10,3,0,FLEET-CV-0001,7,107692.068439344,107.692068439344,95.0,True,12.692068439343998,False
cn-cy-10c-03-V2-LOCATIONS,cy,10,3,1,FLEET-CV-0002,5,86322.621130331,86.322621130331,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,0,FLEET-CV-0001,7,76686.075165331,76.686075165331,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,1,FLEET-CV-0002,6,73412.927185578,73.412927185578,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,2,FLEET-CV-0003,8,69933.044753249,69.933044753249,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,3,FLEET-CV-0004,8,102220.324874772,102.220324874772,95.0,True,7.220324874772004,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,4,FLEET-CV-0005,6,71530.781545853,71.53078154585299,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,5,FLEET-CV-0006,8,80526.61870365,80.52661870365,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,6,FLEET-CV-0007,6,69265.368930465,69.265368930465,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,7,FLEET-CV-0008,8,75121.731391635,75.121731391635,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,8,FLEET-CV-0009,8,82267.075472162,82.267075472162,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,9,FLEET-CV-0010,6,68202.723976267,68.20272397626701,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,10,FLEET-CV-0011,3,60005.339730854,60.005339730854004,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,11,FLEET-CV-0012,7,117574.879453081,117.574879453081,95.0,True,22.574879453080996,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,12,FLEET-CV-0013,6,100472.104557935,100.472104557935,95.0,True,5.472104557934998,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,13,FLEET-CV-0014,9,127240.109385467,127.24010938546701,95.0,True,32.24010938546701,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,14,FLEET-CV-0015,9,125539.32898152301,125.53932898152301,95.0,True,30.539328981523013,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,15,FLEET-CV-0016,6,98950.725982827,98.95072598282701,95.0,True,3.9507259828270094,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,16,FLEET-CV-0017,8,131837.050363664,131.837050363664,95.0,True,36.83705036366399,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,17,FLEET-CV-0018,8,113575.784840146,113.57578484014601,95.0,True,18.575784840146014,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,18,FLEET-CV-0019,6,106578.529088251,106.578529088251,95.0,True,11.578529088251003,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,19,FLEET-CV-0020,6,107205.17179508599,107.20517179508599,95.0,True,12.205171795085988,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,20,FLEET-CV-0021,6,128564.121956658,128.564121956658,95.0,True,33.564121956658,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,21,FLEET-CV-0022,6,136396.082686255,136.396082686255,95.0,True,41.396082686255,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,22,FLEET-CV-0023,7,116852.00245902501,116.85200245902502,95.0,True,21.852002459025016,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,23,FLEET-CV-0024,8,113746.339093508,113.746339093508,95.0,True,18.746339093508,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,24,FLEET-CV-0025,6,97902.550664153,97.902550664153,95.0,True,2.9025506641529972,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,25,FLEET-CV-0026,3,81883.25222880399,81.883252228804,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,26,FLEET-CV-0027,2,86231.44883067699,86.231448830677,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,0,FLEET-CV-0001,6,61901.459569097,61.901459569097,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,1,FLEET-CV-0002,6,82879.644531995,82.879644531995,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,2,FLEET-CV-0003,7,87469.425221975,87.469425221975,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,3,FLEET-CV-0004,9,82924.319056772,82.924319056772,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,4,FLEET-CV-0005,6,76266.920380248,76.26692038024801,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,5,FLEET-CV-0006,6,75212.639440063,75.212639440063,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,6,FLEET-CV-0007,7,77173.715048133,77.173715048133,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,7,FLEET-CV-0008,7,66671.369480605,66.67136948060501,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,8,FLEET-CV-0009,7,85248.709167961,85.248709167961,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,9,FLEET-CV-0010,7,67115.23173161701,67.115231731617,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,10,FLEET-CV-0011,6,67455.042027324,67.455042027324,95.0,False,0.0,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,11,FLEET-CV-0012,9,126225.12941111,126.22512941111,95.0,True,31.225129411110004,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,12,FLEET-CV-0013,6,116098.640542353,116.098640542353,95.0,True,21.098640542352996,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,13,FLEET-CV-0014,6,131185.87865722302,131.18587865722301,95.0,True,36.185878657223014,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,14,FLEET-CV-0015,7,100640.015846208,100.640015846208,95.0,True,5.6400158462080014,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,15,FLEET-CV-0016,8,113186.91798864599,113.18691798864599,95.0,True,18.186917988645988,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,16,FLEET-CV-0017,7,101265.809011635,101.26580901163501,95.0,True,6.265809011635014,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,17,FLEET-CV-0018,7,121936.441275725,121.936441275725,95.0,True,26.936441275725002,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,18,FLEET-CV-0019,7,102215.56549235701,102.21556549235702,95.0,True,7.215565492357015,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,19,FLEET-CV-0020,6,107138.57229899,107.13857229899,95.0,True,12.138572298989999,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,20,FLEET-CV-0021,7,122903.417446147,122.90341744614699,95.0,True,27.90341744614699,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,21,FLEET-CV-0022,7,119325.46552116901,119.32546552116901,95.0,True,24.325465521169008,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,22,FLEET-CV-0023,7,137406.080251395,137.406080251395,95.0,True,42.406080251395,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,23,FLEET-CV-0024,7,144037.795670076,144.037795670076,95.0,True,49.03779567007601,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,24,FLEET-CV-0025,6,119771.89744748501,119.77189744748502,95.0,True,24.771897447485017,False
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,25,FLEET-CV-0026,5,86712.301328113,86.712301328113,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,0,FLEET-CV-0001,7,71721.215692656,71.721215692656,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,1,FLEET-CV-0002,8,75132.092428296,75.132092428296,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,2,FLEET-CV-0003,8,91464.678141179,91.464678141179,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,3,FLEET-CV-0004,8,101971.607374249,101.971607374249,95.0,True,6.971607374249004,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,4,FLEET-CV-0005,7,93990.829718341,93.990829718341,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,5,FLEET-CV-0006,7,79441.829461766,79.441829461766,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,6,FLEET-CV-0007,6,74960.741678802,74.96074167880201,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,7,FLEET-CV-0008,6,79618.637677109,79.618637677109,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,8,FLEET-CV-0009,7,70511.766821945,70.511766821945,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,9,FLEET-CV-0010,6,67513.461140814,67.513461140814,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,10,FLEET-CV-0011,4,59236.469388287,59.236469388287,95.0,False,0.0,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,11,FLEET-CV-0012,8,101825.54453319,101.82554453319,95.0,True,6.825544533189998,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,12,FLEET-CV-0013,8,113077.870621995,113.07787062199499,95.0,True,18.07787062199499,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,13,FLEET-CV-0014,7,125698.073776518,125.698073776518,95.0,True,30.698073776518,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,14,FLEET-CV-0015,9,161704.02632153,161.70402632153,95.0,True,66.70402632153,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,15,FLEET-CV-0016,6,95968.90385561,95.96890385561,95.0,True,0.9689038556099945,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,16,FLEET-CV-0017,6,103996.058988762,103.996058988762,95.0,True,8.996058988762002,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,17,FLEET-CV-0018,6,125272.938464063,125.272938464063,95.0,True,30.272938464063003,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,18,FLEET-CV-0019,6,100599.04223891199,100.59904223891199,95.0,True,5.599042238911991,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,19,FLEET-CV-0020,6,126561.012427434,126.56101242743401,95.0,True,31.561012427434008,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,20,FLEET-CV-0021,9,139404.539831508,139.404539831508,95.0,True,44.404539831508,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,21,FLEET-CV-0022,6,117935.141020771,117.935141020771,95.0,True,22.935141020771,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,22,FLEET-CV-0023,7,112543.837450084,112.543837450084,95.0,True,17.543837450084,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,23,FLEET-CV-0024,8,109840.403688861,109.840403688861,95.0,True,14.840403688861002,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,24,FLEET-CV-0025,6,103364.540121561,103.364540121561,95.0,True,8.364540121561006,False
cn-cy-150c-03-V2-LOCATIONS,cy,150,3,25,FLEET-CV-0026,4,75793.41135460901,75.793411354609,95.0,False,0.0,False
cn-cy-15c-01-V2-LOCATIONS,cy,15,1,0,FLEET-CV-0001,7,111172.194022724,111.172194022724,95.0,True,16.172194022724,False
cn-cy-15c-01-V2-LOCATIONS,cy,15,1,1,FLEET-CV-0002,9,151670.599362167,151.670599362167,95.0,True,56.670599362166996,False
cn-cy-15c-01-V2-LOCATIONS,cy,15,1,2,FLEET-CV-0003,2,72528.08762096899,72.52808762096899,95.0,False,0.0,False
cn-cy-15c-02-V2-LOCATIONS,cy,15,2,0,FLEET-CV-0001,8,115891.140144666,115.891140144666,95.0,True,20.891140144665997,False
cn-cy-15c-02-V2-LOCATIONS,cy,15,2,1,FLEET-CV-0002,8,135883.681836143,135.88368183614298,95.0,True,40.88368183614298,False
cn-cy-15c-02-V2-LOCATIONS,cy,15,2,2,FLEET-CV-0003,2,68228.250423908,68.228250423908,95.0,False,0.0,False
cn-cy-15c-03-V2-LOCATIONS,cy,15,3,0,FLEET-CV-0001,9,162541.266385623,162.541266385623,95.0,True,67.541266385623,False
cn-cy-15c-03-V2-LOCATIONS,cy,15,3,1,FLEET-CV-0002,6,121640.699245773,121.64069924577299,95.0,True,26.640699245772993,False
cn-cy-15c-03-V2-LOCATIONS,cy,15,3,2,FLEET-CV-0003,3,95683.340443905,95.68334044390501,95.0,True,0.6833404439050099,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,0,FLEET-CV-0001,8,74625.09852972701,74.62509852972701,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,1,FLEET-CV-0002,7,73977.669292392,73.97766929239201,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,2,FLEET-CV-0003,6,68586.441653107,68.586441653107,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,3,FLEET-CV-0004,8,78730.205270704,78.730205270704,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,4,FLEET-CV-0005,8,78872.328133891,78.872328133891,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,5,FLEET-CV-0006,7,92152.25820707499,92.152258207075,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,6,FLEET-CV-0007,7,69460.06462341899,69.46006462341899,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,7,FLEET-CV-0008,6,71101.830943648,71.10183094364801,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,8,FLEET-CV-0009,9,90215.716289464,90.21571628946401,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,9,FLEET-CV-0010,8,69668.603157299,69.668603157299,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,10,FLEET-CV-0011,8,93571.726507035,93.571726507035,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,11,FLEET-CV-0012,7,90352.338800834,90.35233880083399,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,12,FLEET-CV-0013,7,65978.907058588,65.97890705858799,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,13,FLEET-CV-0014,2,52583.701663264,52.583701663264,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,14,FLEET-CV-0015,7,125778.169177103,125.778169177103,95.0,True,30.778169177102995,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,15,FLEET-CV-0016,8,137849.22907695,137.84922907695,95.0,True,42.849229076949996,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,16,FLEET-CV-0017,7,117045.245990903,117.045245990903,95.0,True,22.045245990903,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,17,FLEET-CV-0018,7,94465.69670031201,94.46569670031201,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,18,FLEET-CV-0019,8,123474.023215148,123.474023215148,95.0,True,28.474023215147994,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,19,FLEET-CV-0020,7,142507.005631321,142.507005631321,95.0,True,47.50700563132099,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,20,FLEET-CV-0021,7,102639.538588493,102.639538588493,95.0,True,7.6395385884929965,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,21,FLEET-CV-0022,7,145658.615875066,145.658615875066,95.0,True,50.658615875066005,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,22,FLEET-CV-0023,7,120662.120783786,120.662120783786,95.0,True,25.662120783785994,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,23,FLEET-CV-0024,7,120048.415376088,120.048415376088,95.0,True,25.048415376088002,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,24,FLEET-CV-0025,8,141055.860893263,141.05586089326297,95.0,True,46.055860893262974,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,25,FLEET-CV-0026,7,104658.843219691,104.658843219691,95.0,True,9.658843219690993,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,26,FLEET-CV-0027,6,106309.381563862,106.309381563862,95.0,True,11.309381563862004,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,27,FLEET-CV-0028,6,91955.577045334,91.955577045334,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,28,FLEET-CV-0029,6,96872.364594267,96.872364594267,95.0,True,1.8723645942669975,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,29,FLEET-CV-0030,7,113040.329126336,113.040329126336,95.0,True,18.040329126336005,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,30,FLEET-CV-0031,9,126525.31358982701,126.52531358982701,95.0,True,31.525313589827007,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,31,FLEET-CV-0032,7,95696.802918122,95.696802918122,95.0,True,0.6968029181220032,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,32,FLEET-CV-0033,6,94535.67946567401,94.53567946567401,95.0,False,0.0,False
cn-cy-200c-01-V2-LOCATIONS,cy,200,1,33,FLEET-CV-0034,2,70111.528159383,70.111528159383,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,0,FLEET-CV-0001,7,85166.074029991,85.166074029991,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,1,FLEET-CV-0002,7,80652.98577628,80.65298577627999,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,2,FLEET-CV-0003,7,70594.941797935,70.594941797935,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,3,FLEET-CV-0004,10,85403.204213914,85.403204213914,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,4,FLEET-CV-0005,8,79968.200398968,79.968200398968,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,5,FLEET-CV-0006,8,89597.692810139,89.597692810139,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,6,FLEET-CV-0007,7,80038.55777063,80.03855777062999,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,7,FLEET-CV-0008,7,75627.436763463,75.62743676346301,95.0,False,0.0,False
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,8,FLEET-CV-0009,7,73347.802599392,73.347802599392,95.0,False,0.0,False
