alns_best_cost,alns_ev_routes,alns_routes,clean,eval_budget,profile,sa_best_cost,sa_ev_routes,sa_minus_alns,sa_routes,seed,start
1190.2974444899996,8,8,True,400,DEFAULT_ALPHA_UCB,1722.7036678219943,1,532.4062233319946,8,1,CV_ONLY
1318.8043658048873,6,8,True,400,BALANCED_COVERAGE,1722.7036678219943,1,403.89930201710695,8,1,CV_ONLY
1262.1926981143624,7,8,True,400,MINIMUM_COVERAGE,1722.7036678219943,1,460.51096970763183,8,1,CV_ONLY
1334.822453989313,1,8,True,400,DEFAULT_ALPHA_UCB,1698.1255627252087,1,363.30310873589565,8,2,CV_ONLY
1124.8470945585916,7,7,True,400,BALANCED_COVERAGE,1698.1255627252087,1,573.2784681666171,8,2,CV_ONLY
1291.4034784006415,8,8,True,400,MINIMUM_COVERAGE,1698.1255627252087,1,406.7220843245673,8,2,CV_ONLY
1272.1614629212127,1,7,True,400,DEFAULT_ALPHA_UCB,1655.384740421701,3,383.2232775004884,8,3,CV_ONLY
1245.2920036864946,5,7,True,400,BALANCED_COVERAGE,1655.384740421701,3,410.0927367352065,8,3,CV_ONLY
1305.0683970733062,7,8,True,400,MINIMUM_COVERAGE,1655.384740421701,3,350.31634334839487,8,3,CV_ONLY
1115.8317691417785,7,7,True,400,DEFAULT_ALPHA_UCB,1711.7150745288814,1,595.8833053871028,8,4,CV_ONLY
1274.2327573571758,6,8,True,400,BALANCED_COVERAGE,1711.7150745288814,1,437.4823171717055,8,4,CV_ONLY
1264.650629905057,8,8,True,400,MINIMUM_COVERAGE,1711.7150745288814,1,447.06444462382433,8,4,CV_ONLY
1377.7716780150404,1,8,True,400,DEFAULT_ALPHA_UCB,1680.9342658920887,2,303.1625878770483,8,5,CV_ONLY
1173.2535002441603,6,7,True,400,BALANCED_COVERAGE,1680.9342658920887,2,507.6807656479284,8,5,CV_ONLY
1172.7228812008877,8,8,True,400,MINIMUM_COVERAGE,1680.9342658920887,2,508.2113846912009,8,5,CV_ONLY
1373.4648580020153,1,8,True,400,DEFAULT_ALPHA_UCB,1804.1504263664074,2,430.6855683643921,9,1,SHARED_ONE_EV
1187.2425592844786,8,8,True,400,BALANCED_COVERAGE,1804.1504263664074,2,616.9078670819288,9,1,SHARED_ONE_EV
1316.4441128512776,7,8,True,400,MINIMUM_COVERAGE,1804.1504263664074,2,487.70631351512975,9,1,SHARED_ONE_EV
1358.241961455138,1,8,True,400,DEFAULT_ALPHA_UCB,1779.5723212696219,2,421.3303598144839,9,2,SHARED_ONE_EV
1133.7113523331486,7,7,True,400,BALANCED_COVERAGE,1779.5723212696219,2,645.8609689364732,9,2,SHARED_ONE_EV
1216.414238229307,8,8,True,400,MINIMUM_COVERAGE,1779.5723212696219,2,563.1580830403148,9,2,SHARED_ONE_EV
1345.2160907792017,1,8,True,400,DEFAULT_ALPHA_UCB,1747.1244547622102,4,401.9083639830085,9,3,SHARED_ONE_EV
1148.99720621653,6,7,True,400,BALANCED_COVERAGE,1747.1244547622102,4,598.1272485456802,9,3,SHARED_ONE_EV
1259.7439831344493,8,8,True,400,MINIMUM_COVERAGE,1747.1244547622102,4,487.3804716277609,9,3,SHARED_ONE_EV
1343.039541507247,1,8,True,400,DEFAULT_ALPHA_UCB,1792.9321074179663,1,449.89256591071944,9,4,SHARED_ONE_EV
1189.9707289378368,6,7,True,400,BALANCED_COVERAGE,1792.9321074179663,1,602.9613784801295,9,4,SHARED_ONE_EV
1241.5386968317139,7,8,True,400,MINIMUM_COVERAGE,1792.9321074179663,1,551.3934105862525,9,4,SHARED_ONE_EV
1347.2496524571625,1,7,True,400,DEFAULT_ALPHA_UCB,1773.133587633816,3,425.8839351766535,9,5,SHARED_ONE_EV
1212.9228925486448,8,8,True,400,BALANCED_COVERAGE,1773.133587633816,3,560.2106950851712,9,5,SHARED_ONE_EV
1534.3634798033388,5,8,True,400,MINIMUM_COVERAGE,1773.133587633816,3,238.77010783047717,9,5,SHARED_ONE_EV
