actual_evaluations,best_cost,best_ev_routes,best_routes,best_solution_path,best_updates,candidate_accepted,candidate_changed,cost_improvement,dominant_operator,dominant_operator_share,eval_budget,feasible,initial_cost,operator_calls,seed,selected_operator_count,start,violation_count
400,1722.7036678219943,1,8,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__CV_ONLY__seed1.json,1,110,311,7.6870503529569305,vehicle_type_flip,0.29,400,True,1730.3907181749512,400,1,4,CV_ONLY,0
400,1698.1255627252087,1,8,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__CV_ONLY__seed2.json,1,95,316,32.26515544974245,vehicle_type_flip,0.28,400,True,1730.3907181749512,400,2,4,CV_ONLY,0
400,1655.384740421701,3,8,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__CV_ONLY__seed3.json,3,111,320,75.00597775325014,two_opt_route,0.27,400,True,1730.3907181749512,400,3,4,CV_ONLY,0
400,1711.7150745288814,1,8,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__CV_ONLY__seed4.json,1,105,331,18.67564364606983,two_opt_route,0.2925,400,True,1730.3907181749512,400,4,4,CV_ONLY,0
400,1680.9342658920887,2,8,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__CV_ONLY__seed5.json,3,116,317,49.45645228286253,swap_customers,0.285,400,True,1730.3907181749512,400,5,4,CV_ONLY,0
400,1804.1504263664074,2,9,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__SHARED_ONE_EV__seed1.json,1,118,321,7.6870503529569305,vehicle_type_flip,0.2925,400,True,1811.8374767193643,400,1,4,SHARED_ONE_EV,0
400,1779.5723212696219,2,9,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__SHARED_ONE_EV__seed2.json,1,130,320,32.26515544974245,vehicle_type_flip,0.2775,400,True,1811.8374767193643,400,2,4,SHARED_ONE_EV,0
400,1747.1244547622102,4,9,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__SHARED_ONE_EV__seed3.json,4,134,328,64.71302195715407,two_opt_route,0.2825,400,True,1811.8374767193643,400,3,4,SHARED_ONE_EV,0
400,1792.9321074179663,1,9,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__SHARED_ONE_EV__seed4.json,2,148,350,18.90536930139797,two_opt_route,0.2975,400,True,1811.8374767193643,400,4,4,SHARED_ONE_EV,0
400,1773.133587633816,3,9,baselines/e2_alns/m1_fair_sa_recheck_20260710/solutions/SA__SHARED_ONE_EV__seed5.json,2,143,327,38.703889085548326,vehicle_type_flip,0.2975,400,True,1811.8374767193643,400,5,4,SHARED_ONE_EV,0
