actual_customer_count,actual_evaluations,algorithm,best_joint_cost,best_joint_ev_routes,best_joint_label,best_joint_routes,best_repack_cost,clean,elapsed_seconds,eval_budget,fleet_only_accepted_flips,fleet_only_cost,fleet_only_gain,initial_cost,instance,joint_beyond_separate,joint_solution_path,joint_total_gain,repack_candidate_count,repack_only_gain,run_id,scale,seed,source_cost,source_ev_routes,source_routes,source_solution_path,status,violation_count
45,400,ALNS_T3,1209.510970062769,3,fleet_only,6,1209.510970062769,True,4.2520847500018135,400,0,1209.510970062769,0.0,1800.6676271939593,L-main-threeshift-20c-01,0.0,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/small__L-main-threeshift-20c-01__ALNS_T3__seed2.json,0.0,16,0.0,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2,1209.510970062769,3,6,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/small__L-main-threeshift-20c-01__ALNS_T3__seed2.json,OK,0
45,400,LNS,1207.5420696325014,4,fleet_only,6,1207.5420696325014,True,6.535312750002049,400,0,1207.5420696325014,0.0,1800.6676271939593,L-main-threeshift-20c-01,0.0,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/small__L-main-threeshift-20c-01__LNS__seed2.json,0.0,16,0.0,small__L-main-threeshift-20c-01__LNS__seed2,small,2,1207.5420696325014,4,6,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/small__L-main-threeshift-20c-01__LNS__seed2.json,OK,0
45,400,SA,1556.1225229060274,6,trial1:depot_group_shuffle_order,7,1722.545381565285,True,0.38780879199839546,400,3,1613.5513513742192,108.9940301910658,1800.6676271939593,L-main-threeshift-20c-01,57.428828468191796,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/small__L-main-threeshift-20c-01__SA__seed2.json,166.4228586592576,16,0.0,small__L-main-threeshift-20c-01__SA__seed2,small,2,1722.545381565285,2,7,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/small__L-main-threeshift-20c-01__SA__seed2.json,OK,0
45,400,ALNS_T3,1153.0189693450504,5,fleet_only,6,1153.0189693450504,True,5.135570209000434,400,0,1153.0189693450504,0.0,1800.6676271939593,L-main-threeshift-20c-01,0.0,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/small__L-main-threeshift-20c-01__ALNS_T3__seed3.json,0.0,16,0.0,small__L-main-threeshift-20c-01__ALNS_T3__seed3,small,3,1153.0189693450504,5,6,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/small__L-main-threeshift-20c-01__ALNS_T3__seed3.json,OK,0
45,400,LNS,1200.2551469360028,4,fleet_only,6,1200.2551469360028,True,5.521837542000867,400,0,1200.2551469360028,0.0,1800.6676271939593,L-main-threeshift-20c-01,0.0,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/small__L-main-threeshift-20c-01__LNS__seed3.json,0.0,16,0.0,small__L-main-threeshift-20c-01__LNS__seed3,small,3,1200.2551469360028,4,6,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/small__L-main-threeshift-20c-01__LNS__seed3.json,OK,0
45,400,SA,1610.362875498457,5,trial1:double_bridge_order,7,1689.7261072712522,True,0.3510879589994147,400,0,1689.7261072712522,0.0,1800.6676271939593,L-main-threeshift-20c-01,79.36323177279519,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/small__L-main-threeshift-20c-01__SA__seed3.json,79.36323177279519,16,0.0,small__L-main-threeshift-20c-01__SA__seed3,small,3,1689.7261072712522,5,7,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/small__L-main-threeshift-20c-01__SA__seed3.json,OK,0
114,400,ALNS_T3,2628.683968777116,12,fleet_only,16,2870.6320443796703,True,10.374406333001389,400,9,2628.683968777116,241.94807560255413,4088.2257659851743,L-main-threeshift-50c-01,0.0,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/medium__L-main-threeshift-50c-01__ALNS_T3__seed2.json,241.94807560255413,16,0.0,medium__L-main-threeshift-50c-01__ALNS_T3__seed2,medium,2,2870.6320443796703,3,16,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/medium__L-main-threeshift-50c-01__ALNS_T3__seed2.json,OK,0
114,400,LNS,2849.042118851412,13,trial1:double_bridge_order,17,2899.5832575588283,True,14.168508708000445,400,0,2899.5832575588283,0.0,4088.2257659851743,L-main-threeshift-50c-01,50.541138707416394,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/medium__L-main-threeshift-50c-01__LNS__seed2.json,50.541138707416394,16,0.0,medium__L-main-threeshift-50c-01__LNS__seed2,medium,2,2899.5832575588283,12,17,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/medium__L-main-threeshift-50c-01__LNS__seed2.json,OK,0
114,400,SA,3614.5566726071356,8,trial1:depot_group_shuffle_order,15,3975.5331396697884,True,0.5885424580010294,400,6,3777.8403242820737,264.9704334121616,4088.2257659851743,L-main-threeshift-50c-01,163.28365167493803,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/medium__L-main-threeshift-50c-01__SA__seed2.json,428.2540850870996,16,67.27761802444684,medium__L-main-threeshift-50c-01__SA__seed2,medium,2,4042.8107576942352,1,15,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/medium__L-main-threeshift-50c-01__SA__seed2.json,OK,0
114,400,ALNS_T3,2537.7945856212655,11,fleet_only,15,2537.7945856212655,True,28.015957208001055,400,0,2537.7945856212655,0.0,4088.2257659851743,L-main-threeshift-50c-01,0.0,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/joint_solutions/medium__L-main-threeshift-50c-01__ALNS_T3__seed3.json,0.0,16,0.0,medium__L-main-threeshift-50c-01__ALNS_T3__seed3,medium,3,2537.7945856212655,11,15,baselines/e2_alns/m1_joint_repack_fleet_headroom_seeds2_3_20260710/sources/medium__L-main-threeshift-50c-01__ALNS_T3__seed3.json,OK,0
