algorithm,candidate,closure_accepted_flips,closure_attempts,instance,joint_cost,joint_ev_routes,joint_routes,repack_cost,repack_ev_routes,repack_feasible,repack_routes,run_id,scale,seed
ALNS_T3,trial1:current_order,2,18,L-main-threeshift-20c-01,1210.2148256856426,3,6,1285.8255019266232,1,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial1:two_opt_order,2,21,L-main-threeshift-20c-01,1435.5603177458472,3,7,1495.8931338339078,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial1:double_bridge_order,3,28,L-main-threeshift-20c-01,1396.5372507246695,4,7,1542.6039119001935,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial1:depot_group_shuffle_order,4,35,L-main-threeshift-20c-01,1302.4049673456686,5,7,1440.3524842336835,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial2:current_order,2,18,L-main-threeshift-20c-01,1210.2148256856426,3,6,1285.8255019266232,1,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial2:two_opt_order,2,18,L-main-threeshift-20c-01,1450.2205317048115,3,6,1546.6114117566253,1,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial2:double_bridge_order,3,28,L-main-threeshift-20c-01,1396.5372507246695,4,7,1542.6039119001935,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial2:depot_group_shuffle_order,4,35,L-main-threeshift-20c-01,1302.4049673456686,5,7,1440.3524842336835,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial3:current_order,2,18,L-main-threeshift-20c-01,1210.2148256856426,3,6,1285.8255019266232,1,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial3:two_opt_order,6,49,L-main-threeshift-20c-01,1480.6767024215492,6,7,1747.0413487899264,0,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial3:double_bridge_order,3,28,L-main-threeshift-20c-01,1396.5372507246695,4,7,1542.6039119001935,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial3:depot_group_shuffle_order,4,35,L-main-threeshift-20c-01,1302.4049673456686,5,7,1440.3524842336835,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial4:current_order,2,18,L-main-threeshift-20c-01,1210.2148256856426,3,6,1285.8255019266232,1,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial4:two_opt_order,2,21,L-main-threeshift-20c-01,1406.031939026933,3,7,1437.9077903164186,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial4:double_bridge_order,3,28,L-main-threeshift-20c-01,1396.5372507246695,4,7,1542.6039119001935,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
ALNS_T3,trial4:depot_group_shuffle_order,4,35,L-main-threeshift-20c-01,1302.4049673456686,5,7,1440.3524842336835,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed2,small,2
LNS,trial1:current_order,4,30,L-main-threeshift-20c-01,1207.5420696325014,4,6,1351.708535006673,0,True,6,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial1:two_opt_order,4,35,L-main-threeshift-20c-01,1416.8095843014582,5,7,1554.1578023226266,1,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial1:double_bridge_order,4,35,L-main-threeshift-20c-01,1584.571118763187,4,7,1772.8191234309868,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial1:depot_group_shuffle_order,3,28,L-main-threeshift-20c-01,1641.2425645856063,3,7,1730.6311015718172,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial2:current_order,4,30,L-main-threeshift-20c-01,1207.5420696325014,4,6,1351.708535006673,0,True,6,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial2:two_opt_order,4,35,L-main-threeshift-20c-01,1503.9069631777545,4,7,1624.876046289787,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial2:double_bridge_order,4,35,L-main-threeshift-20c-01,1584.571118763187,4,7,1772.8191234309868,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial2:depot_group_shuffle_order,5,42,L-main-threeshift-20c-01,1406.2996326684922,5,7,1606.7231322864222,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial3:current_order,4,30,L-main-threeshift-20c-01,1207.5420696325014,4,6,1351.708535006673,0,True,6,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial3:two_opt_order,4,35,L-main-threeshift-20c-01,1624.6414861781418,4,7,1787.2642473452809,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial3:double_bridge_order,4,35,L-main-threeshift-20c-01,1584.571118763187,4,7,1772.8191234309868,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial3:depot_group_shuffle_order,3,28,L-main-threeshift-20c-01,1641.2425645856063,3,7,1730.6311015718172,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial4:current_order,4,30,L-main-threeshift-20c-01,1207.5420696325014,4,6,1351.708535006673,0,True,6,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial4:two_opt_order,5,48,L-main-threeshift-20c-01,1555.5401428547902,6,8,1714.0577572335335,1,True,8,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial4:double_bridge_order,4,35,L-main-threeshift-20c-01,1584.571118763187,4,7,1772.8191234309868,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
LNS,trial4:depot_group_shuffle_order,5,42,L-main-threeshift-20c-01,1406.2996326684922,5,7,1606.7231322864222,0,True,7,small__L-main-threeshift-20c-01__LNS__seed2,small,2
SA,trial1:current_order,4,35,L-main-threeshift-20c-01,1599.6949578713272,5,7,1768.1316737618527,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial1:two_opt_order,4,35,L-main-threeshift-20c-01,1700.8247381475214,4,7,1856.447634739612,0,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial1:double_bridge_order,4,35,L-main-threeshift-20c-01,1599.813896956146,5,7,1779.855857509753,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial1:depot_group_shuffle_order,6,49,L-main-threeshift-20c-01,1556.1225229060274,6,7,1794.5813778812856,0,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial2:current_order,4,35,L-main-threeshift-20c-01,1599.6949578713272,5,7,1768.1316737618527,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial2:two_opt_order,5,48,L-main-threeshift-20c-01,1756.5160858553888,6,8,1979.6971829769818,1,True,8,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial2:double_bridge_order,4,35,L-main-threeshift-20c-01,1599.813896956146,5,7,1779.855857509753,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial2:depot_group_shuffle_order,4,35,L-main-threeshift-20c-01,1599.6949578713272,5,7,1768.1316737618527,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial3:current_order,4,35,L-main-threeshift-20c-01,1599.6949578713272,5,7,1768.1316737618527,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial3:two_opt_order,4,40,L-main-threeshift-20c-01,2063.676623817453,5,8,2281.3704932407195,1,True,8,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial3:double_bridge_order,4,35,L-main-threeshift-20c-01,1599.813896956146,5,7,1779.855857509753,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial3:depot_group_shuffle_order,6,49,L-main-threeshift-20c-01,1556.1225229060274,6,7,1794.5813778812856,0,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial4:current_order,4,35,L-main-threeshift-20c-01,1599.6949578713272,5,7,1768.1316737618527,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial4:two_opt_order,4,35,L-main-threeshift-20c-01,1610.187483213301,5,7,1757.285879481144,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial4:double_bridge_order,4,35,L-main-threeshift-20c-01,1599.813896956146,5,7,1779.855857509753,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
SA,trial4:depot_group_shuffle_order,4,35,L-main-threeshift-20c-01,1599.6949578713272,5,7,1768.1316737618527,1,True,7,small__L-main-threeshift-20c-01__SA__seed2,small,2
ALNS_T3,trial1:current_order,4,30,L-main-threeshift-20c-01,1153.0189693450504,5,6,1282.3846775524203,1,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed3,small,3
ALNS_T3,trial1:two_opt_order,2,18,L-main-threeshift-20c-01,1648.8586637172773,2,6,1707.6727376966526,0,True,6,small__L-main-threeshift-20c-01__ALNS_T3__seed3,small,3
ALNS_T3,trial1:double_bridge_order,4,35,L-main-threeshift-20c-01,1570.7305776182168,5,7,1654.8558326843697,1,True,7,small__L-main-threeshift-20c-01__ALNS_T3__seed3,small,3
