pair_id,instance,source_scale,condition,seed,start_sha256,contract_sha256
L-main-threeshift-10c-01__geographic__seed1,L-main-threeshift-10c-01,10,geographic,1,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-10c-01__geographic__seed2,L-main-threeshift-10c-01,10,geographic,2,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01,10,geographic,3,bd790d5bcdab9fdd8581362d3fb6070089850efcdef8744190bdf5776db188bf,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01,10,mixed,1,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01,10,mixed,2,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01,10,mixed,3,f97ea8bb46c7532bdf054b99b0765cd74e89b3f006f15bc0de9e20375fb596a4,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-20c-01__geographic__seed1,L-main-threeshift-20c-01,20,geographic,1,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-20c-01__geographic__seed2,L-main-threeshift-20c-01,20,geographic,2,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-20c-01__geographic__seed3,L-main-threeshift-20c-01,20,geographic,3,c20870a26965b8bc4f9e094533f86dd83f634f4a23159f124b50c01c725ff91c,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
L-main-threeshift-20c-01__mixed__seed1,L-main-threeshift-20c-01,20,mixed,1,c6dba61627448fc1722189a166875b0a83e0e630c8fdb612b19d84f42ecf1118,0791c080a886255a11f7d0eca0a1fcd7516da43266d81ff06b043045e7264d7a
