HGS-E_cost,HGS-E_cpu_seconds,HGS-E_curve_points,HGS-E_emissions_kg,HGS-E_strict_decreases,HGS-F_cost,HGS-F_cpu_seconds,HGS-F_curve_points,HGS-F_emissions_kg,HGS-F_strict_decreases,HGS-M_cost,HGS-M_cpu_seconds,HGS-M_curve_points,HGS-M_emissions_kg,HGS-M_strict_decreases,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,MV-HGS-SP_curve_points,MV-HGS-SP_emissions_kg,MV-HGS-SP_strict_decreases,all_charging_on_registered_date,all_depot_charging_finishes_before_departure,all_depot_fleet_caps_respected,all_independently_feasible,base_mip_dual_bound,base_mip_gap,base_mip_incumbent_available,base_mip_objective,base_mip_status,base_route_pool_size,base_source,best_current_single_view_cost,budget_padding_rechecks,budget_padding_reference_arm,complete_candidate_attempts,expanded_mip_dual_bound,expanded_mip_gap,expanded_mip_incumbent_available,expanded_mip_objective,expanded_mip_status,expanded_route_pool_size,historical_archive_selection_complete,historical_capacity_exhausted_stage_count,historical_diversity_selected_count,historical_population_candidate_references,historical_population_snapshot_count,historical_quality_selected_count,historical_selected_count,history_archive_ledger_complete,improvement_over_protected_stage_1,input_manifest_sha256,instance_id,mip_time_limit_seconds_per_stage,protected_stage_1_cost,region,responsibility_map_sha256,route_fusion_incremental_improvement,search_complete_candidate_attempts,seed,selected_source,stage_1_iterations_per_view,stage_2_iterations_per_view,status,task_id,tier,total_iterations_per_view,trajectory_sha256,wallclock_safety_triggered,warm_route_types_preserved,witness_sha256
5175.207397764388,148.99265262499102,13,394.75122443607387,12,5285.201519052848,125.78675862500677,8,430.7372877216446,7,5176.793270565394,159.47141904203454,16,394.98374075960464,15,5175.207397764388,437.72447770799045,18,394.75122443607387,17,True,True,True,True,5175.458124198396,0.0,True,5175.458124198396,OPTIMAL,173,stage_1_base_pool_mip,5175.207397764388,0,HGS-F,280,5175.207397764392,0.0,True,5175.207397764392,OPTIMAL,346,True,0,72,5162,120,72,144,True,0.2507264340083566,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,cn-cy-100c-01-V2-LOCATIONS,30.0,5175.458124198396,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0,280,1,two_stage_best_parent,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,100,25000,987368949c7e36f09008fbb3db7ae608bfe996b645910539fa11d2c211ef716d,False,True,a4128c0fd29bae679961b7ea536848d8d6a4aaa81a03ab55f70e5a56dc34aa16
5176.750571430537,154.07243712598574,14,397.5710005491723,13,5285.201519052848,125.00805045900051,12,430.7372877216446,11,5180.764540254748,152.4881806659978,17,395.9099474208016,16,5174.707566129893,434.2902772920206,29,393.8615216322663,28,True,True,True,True,5183.08173082605,0.0,True,5183.08173082605,OPTIMAL,141,stage_1_base_pool_mip,5176.750571430537,0,HGS-F,280,5174.707566129148,0.0,True,5174.707566129148,OPTIMAL,291,True,0,72,5480,120,72,144,True,8.374164696157095,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,cn-cy-100c-01-V2-LOCATIONS,30.0,5183.08173082605,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,2.0430053006439266,280,2,two_stage_expanded_pool_mip,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,100,25000,5127e58900bfcb251127b6f7bafbc57d26d133383a7fb9de6380beac23740d4e,False,True,9b2f48af4f9eaf9236b4902dea4b42ed4f2b9e82a0f53d9219e210407b9ffe2a
5175.070810721165,149.19477620901307,17,394.4351883258143,16,5285.201519052848,123.78021070797695,11,430.7372877216446,10,5173.898398604519,154.5420352910005,17,394.0920484921447,16,5173.897533382516,431.4059905000031,24,394.0917438867645,23,True,True,True,True,5175.070810721165,0.0,True,5175.070810721165,OPTIMAL,175,stage_1_base_pool_mip,5173.898398604519,0,HGS-F,280,5173.7833035874955,2.207809379245687e-05,True,5173.89753338251,OPTIMAL,372,True,0,72,5213,120,72,144,True,1.1732773386493136,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,cn-cy-100c-01-V2-LOCATIONS,30.0,5175.070810721165,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0008652220030853641,280,3,two_stage_expanded_pool_mip,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed3,100,25000,98966f3d8e8351450098e712b10c6c54b07ac263f922ba155873fd0ab48f70eb,False,True,db45849807d5abc049b40b0b836c3966a52aacad239cdc34346e904c895e6b19
5176.15253750226,151.64516058401205,20,397.4727404486562,19,5285.201519052848,123.07011179102119,10,430.7372877216446,9,5177.534147483097,159.45026537400554,17,394.89871657331764,16,5174.298709932326,437.9667906249815,30,394.3370313548324,29,True,True,True,True,5180.844325460429,0.0,True,5180.844325460429,OPTIMAL,203,stage_1_base_pool_mip,5176.15253750226,0,HGS-F,280,5174.002693715055,5.720895933199786e-05,True,5174.298709959525,OPTIMAL,388,True,0,72,5270,120,72,144,True,6.54561552814539,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,cn-cy-100c-01-V2-LOCATIONS,30.0,5180.844325460472,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,1.8538275699338556,280,4,two_stage_expanded_pool_mip,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed4,100,25000,587086b588eadc3a44643e5ca151490705ff0a94d579c918c315ade243978950,False,True,31e754275d5d58860ee4596bbb81feb1977c35cecf75aa1f6e5c268afa04c1e2
5176.15253750226,158.07008725000196,15,397.4727404486562,14,5285.201519052848,121.08052654302446,9,430.7372877216446,8,5177.781058117841,158.2395525840111,23,395.8047574765126,22,5174.298709932326,440.58063970899093,22,394.3370313548324,21,True,True,True,True,5182.716295403131,0.0,True,5182.716295403131,OPTIMAL,170,stage_1_base_pool_mip,5176.15253750226,0,HGS-F,280,5174.298709932327,0.0,True,5174.298709932326,OPTIMAL,413,True,0,72,5250,120,72,144,True,8.417585470805534,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,cn-cy-100c-01-V2-LOCATIONS,30.0,5182.716295403132,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,1.8538275699338556,280,5,two_stage_expanded_pool_mip,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed5,100,25000,591b64359c867e5dd8625c8af5e1ab05fb28c5d79cb19558cca73e2896f95ed7,False,True,8ab1a2eff20149414e8e0346e011cf3d4f88e43d06f81d6c6ed2c6ac2158a398
4908.635560767924,129.8733800839982,19,435.2791771882972,18,4908.635560767924,117.35591991597903,9,435.2791771882972,8,4941.406590347537,136.26298758402118,15,441.30521145716716,14,4908.635560767924,386.2890756659908,20,435.2791771882972,19,True,True,True,True,4929.892531543206,0.0,True,4929.892531543205,OPTIMAL,185,stage_1_base_pool_mip,4908.635560767924,0,HGS-F,280,4908.6355607679,0.0,True,4908.6355607679,OPTIMAL,369,True,0,72,5260,120,72,144,True,21.256970775281843,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,cn-cy-100c-02-V2-LOCATIONS,30.0,4929.892531543206,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0,280,1,two_stage_best_parent,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-02-V2-LOCATIONS__seed1,100,25000,7868e1baad6948aedb6c455fabfe2ab726e9b1b2088842f95f129d633c16f9aa,False,True,f8cf06b1a50f137ae17997161a05c21022baff96fe13854c69ef8162ba8dc619
4923.260904831302,127.42169812499196,8,438.2260924697423,7,4950.84364040729,118.00752262503374,12,443.27302268902446,11,4908.635560767924,130.97545566601912,22,435.2791771882972,21,4908.635560767924,379.03149512500386,20,435.2791771882972,19,True,True,True,True,4927.8307606572525,0.0,True,4927.8307606572525,OPTIMAL,196,stage_1_base_pool_mip,4908.635560767924,0,HGS-F,280,4908.635560767922,0.0,True,4908.635560767922,OPTIMAL,366,True,0,72,5052,120,72,144,True,19.19519988932734,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,cn-cy-100c-02-V2-LOCATIONS,30.0,4927.830760657252,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0,280,2,two_stage_best_parent,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-02-V2-LOCATIONS__seed2,100,25000,17fa5f756b7920bf6ab7a4235927b8de2054572b1771ac99baa5b87c8fb885fe,False,True,a75133535fd8689e1e39b5f06dfe85b922dab58e6b34c978ae13fb577548c10c
4908.635560767924,132.787261208985,20,435.2791771882972,19,4908.635560767924,114.09491208396503,15,435.2791771882972,14,4908.635560767924,130.20317670801887,21,435.2791771882972,20,4908.635560767924,379.50569004099816,15,435.2791771882972,14,True,True,True,True,4920.525004291545,0.0,True,4920.525004291545,OPTIMAL,184,stage_1_parent,4908.635560767924,0,HGS-F,280,4908.635560767923,0.0,True,4908.635560767923,OPTIMAL,376,True,0,72,5021,120,72,144,True,11.889443523620685,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,cn-cy-100c-02-V2-LOCATIONS,30.0,4920.525004291545,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0,280,3,two_stage_best_parent,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-02-V2-LOCATIONS__seed3,100,25000,c016bb6ea68bfb5b3c0d31605ea965d1a8bce69edcfb965afd60ddd884797686,False,True,c62cfde6b8111e8faeb0d18f6ff0c490ad86de3b6567dc5669390b32416f0832
4915.886988646323,125.110394874966,16,436.73757353411264,15,4908.635560767924,119.68618779099779,13,435.2791771882972,12,4915.840966647817,136.6598438330111,22,436.7093866367605,21,4908.635560767924,384.03102037499775,22,435.2791771882972,21,True,True,True,True,4916.798708359253,0.0,True,4916.798708359253,OPTIMAL,158,stage_1_base_pool_mip,4908.635560767924,0,HGS-F,280,4908.635560767923,0.0,True,4908.635560767923,OPTIMAL,349,True,0,72,5083,120,72,144,True,8.163147591330016,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,cn-cy-100c-02-V2-LOCATIONS,30.0,4916.798708359254,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0,280,4,two_stage_best_parent,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-02-V2-LOCATIONS__seed4,100,25000,4a13863b9d403ce14b313a6efd0e4db84faeb9c4a9dc2d1fa2f69805b1cff3ab,False,True,5f6845e4df57c60bb3becebe0e3fa7d226e0aa4b33422ca68318a6d8479db322
4908.635560767924,123.28967495801044,13,435.2791771882972,12,4908.635560767924,116.00873920798767,14,435.2791771882972,13,5017.52204084595,140.91591600101674,18,404.06316366040664,17,4908.635560767924,382.14749683300033,18,435.2791771882972,17,True,True,True,True,4909.446401649948,0.0,True,4909.446401649949,OPTIMAL,172,stage_1_base_pool_mip,4908.635560767924,0,HGS-F,280,4908.635560767915,0.0,True,4908.635560767915,OPTIMAL,336,True,0,72,5268,120,72,144,True,0.8108408820235127,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,cn-cy-100c-02-V2-LOCATIONS,30.0,4909.446401649948,cy,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,0.0,280,5,two_stage_best_parent,5000,20000,PASS,D6-E2-STAGED__cn-cy-100c-02-V2-LOCATIONS__seed5,100,25000,eff17b0dff4e5af0777a602c04415696e5d6d6ef947d34b75a951efd99850148,False,True,63864629adfab039c24ee904f352483ec3d8e3863ea9a548871349a70f41c874
