check,detail,passed,search_evaluations
five_piece_present,baselines/algorithm_prototypes/hgs_adaptive_elite_alns_20260719/public_bks_microgate,True,0
artifact_hash_manifest,all recorded artifact hashes,True,0
row_scope,rows=12,True,0
solution_scope,solutions=12,True,0
C106::pyvrp_0_12_2_hgs.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
C106::pyvrp_0_12_2_hgs.route_count,recorded=10; recomputed=10,True,0
C106::pyvrp_0_12_2_hgs.distance,recorded=828.9368669428342; recomputed=828.9368669428342,True,0
C106::pyvrp_0_12_2_hgs.solution_sha,700da1dbca84617fc16ac0d7209a9833b05e7eadd60a3ad4b792ed71f26b0786,True,0
RC205::pyvrp_0_12_2_hgs.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
RC205::pyvrp_0_12_2_hgs.route_count,recorded=4; recomputed=4,True,0
RC205::pyvrp_0_12_2_hgs.distance,recorded=1333.3811557884374; recomputed=1333.3811557884374,True,0
RC205::pyvrp_0_12_2_hgs.solution_sha,63787d5f7fedc223f7197d8f54315d746db7c34a9d9cb2460f08bf837a3534ea,True,0
RC105::pyvrp_0_12_2_hgs.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
RC105::pyvrp_0_12_2_hgs.route_count,recorded=15; recomputed=15,True,0
RC105::pyvrp_0_12_2_hgs.distance,recorded=1673.4672690519164; recomputed=1673.4672690519164,True,0
RC105::pyvrp_0_12_2_hgs.solution_sha,639d71dc4c3bd640e34b4a0f4c3867905a644c1e54c49180cf23f5d55a7263fe,True,0
RC205::hgs_adaptive_elite_alns_03.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
RC205::hgs_adaptive_elite_alns_03.route_count,recorded=4; recomputed=4,True,0
RC205::hgs_adaptive_elite_alns_03.distance,recorded=1335.3301921631291; recomputed=1335.3301921631291,True,0
RC205::hgs_adaptive_elite_alns_03.solution_sha,58e57da805137cd72546ec677a1d359f07e7d8ce01e081fb9882b9bbed78d691,True,0
R109::pyvrp_0_12_2_hgs.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
R109::pyvrp_0_12_2_hgs.route_count,recorded=12; recomputed=12,True,0
R109::pyvrp_0_12_2_hgs.distance,recorded=1298.2690725776745; recomputed=1298.2690725776745,True,0
R109::pyvrp_0_12_2_hgs.solution_sha,828bd618d6b3623e9f9c200a806b9d57596ff48fe43f49f045f8e67c50b351a4,True,0
RC105::hgs_adaptive_elite_alns_03.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
RC105::hgs_adaptive_elite_alns_03.route_count,recorded=23; recomputed=23,True,0
RC105::hgs_adaptive_elite_alns_03.distance,recorded=2944.977688043856; recomputed=2944.977688043856,True,0
RC105::hgs_adaptive_elite_alns_03.solution_sha,b1dae2f455c4940f8b58bd375d284e12fe8d1d832923edc81bc2a3b11e941382,True,0
R109::hgs_adaptive_elite_alns_03.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
R109::hgs_adaptive_elite_alns_03.route_count,recorded=12; recomputed=12,True,0
R109::hgs_adaptive_elite_alns_03.distance,recorded=1270.5296135201793; recomputed=1270.5296135201793,True,0
R109::hgs_adaptive_elite_alns_03.solution_sha,f630b4d24dd38014d5101e9644b6130b07f7da1d7ec7b31b589696bbb1870ff0,True,0
C205::pyvrp_0_12_2_hgs.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
C205::pyvrp_0_12_2_hgs.route_count,recorded=3; recomputed=3,True,0
C205::pyvrp_0_12_2_hgs.distance,recorded=588.8759626534238; recomputed=588.8759626534238,True,0
C205::pyvrp_0_12_2_hgs.solution_sha,da6ce7efac8e9a8809064c22f1bf8b4dac7d204efe6e32e2f115487f0cb47de4,True,0
R208::pyvrp_0_12_2_hgs.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
R208::pyvrp_0_12_2_hgs.route_count,recorded=2; recomputed=2,True,0
R208::pyvrp_0_12_2_hgs.distance,recorded=773.1152736921472; recomputed=773.1152736921472,True,0
R208::pyvrp_0_12_2_hgs.solution_sha,dba5c049b6f95c79fe92170e44b3060f95fecb034171627819074daf6f8d515d,True,0
