instance,clients,own_cost,baseline_cost,delta_own_minus_baseline,delta_pct,own_iterations,baseline_iterations,own_runtime_seconds,baseline_runtime_seconds,own_stop,baseline_stop,own_exact_cost,baseline_exact_cost,own_exact_feasible,baseline_exact_feasible,own_exact_time_warp,baseline_exact_time_warp,current_verified_bks
PR11A,360,6671,6757,-86,-1.272754,16374,11648,450.193557,176.853919,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,6675.997,6761.111,false,true,3.909,0.000,6655.548
PR11B,360,4808,4845,-37,-0.763674,22242,24135,699.073807,333.316901,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,4817.761,4848.565,false,false,1.518,0.930,4814.803
PR12A,480,8184,8185,-1,-0.012217,23452,19850,1200.013868,468.009956,MAX_RUNTIME,CONVERGED_NO_IMPROVEMENT,8197.098,8194.350,false,false,1.721,4.158,8148.107
PR12B,480,6053,6045,8,0.132341,26322,13970,1200.185827,291.304971,MAX_RUNTIME,CONVERGED_NO_IMPROVEMENT,6067.672,6057.700,false,false,0.506,1.663,6004.834
PR13A,600,9623,9680,-57,-0.588843,17675,21983,1200.004749,732.470763,MAX_RUNTIME,CONVERGED_NO_IMPROVEMENT,9645.447,9689.117,false,false,3.422,1.165,9501.934
PR13B,600,7240,7327,-87,-1.187389,11441,14988,689.594730,411.651281,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,7256.097,7344.640,false,false,0.726,1.289,7201.765
PR14A,720,11089,11138,-49,-0.439935,10242,24850,1200.393177,1049.505463,MAX_RUNTIME,CONVERGED_NO_IMPROVEMENT,11113.554,11170.922,false,false,3.209,3.773,10925.670
PR14B,720,8751,8740,11,0.125858,9798,29488,1200.241513,1200.026611,MAX_RUNTIME,MAX_RUNTIME,8784.555,8768.879,false,false,2.252,0.218,8656.335
PR15A,840,12885,12784,101,0.790050,7604,18695,1200.170844,1200.034291,MAX_RUNTIME,MAX_RUNTIME,12911.664,12827.675,false,false,6.229,8.567,12714.063
PR15B,840,10433,10316,117,1.134161,7482,23438,1200.372097,1200.012246,MAX_RUNTIME,MAX_RUNTIME,10474.429,10370.412,false,false,6.564,4.305,10223.105
PR16A,960,14640,14207,433,3.047793,2705,16014,1200.079556,1200.009040,MAX_RUNTIME,MAX_RUNTIME,14675.497,14236.484,false,false,4.133,5.649,13992.681
PR16B,960,11546,11462,84,0.732856,4543,17060,1202.530735,1200.009093,MAX_RUNTIME,MAX_RUNTIME,11598.680,11531.476,false,false,5.105,8.659,11225.795
PR17A,360,6282,6286,-4,-0.063633,12335,14368,342.139084,222.448752,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,6294.949,6300.908,false,false,3.623,5.794,6292.594
PR17B,360,4778,4811,-33,-0.685928,16333,10979,462.355397,172.421319,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,4785.402,4811.923,false,false,1.578,1.564,4771.155
PR18A,520,8202,8242,-40,-0.485319,21438,20084,1142.563790,509.329840,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,8214.031,8253.789,false,false,2.362,0.383,8183.231
PR18B,520,6454,6508,-54,-0.829748,18893,14515,1046.851889,352.001733,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,6481.637,6530.445,false,false,3.105,5.057,6443.442
