record_type,record_id,experiment,instance_id,seed,variant,source_path,source_sha256,selection_index,population_count,route_count,physical_vehicle_count,old_fixed_cost,predicted_new_fixed_cost,actual_new_fixed_cost,fixed_cost_delta,prediction_bitwise_equal,old_new_bitwise_equal,target_ev_share,before_feasibility_status,before_reason,after_feasibility_status,old_depot_capacity,new_depot_capacity,public_station_semantics_unchanged,route_search_executed,search_evaluations,status,failure,evidence_note
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_01/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,1,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed1_cost_only.json,059725ba60ef2e042e78793392efbc65d60affe784eb57d32a1b8c13e0d1609d,0,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_02/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,2,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed2_cost_only.json,5e66567570d8b3ca577ee6c68737b98fd8cc8f2037bda67e65c2ccb0ed589567,3,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_03/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,3,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed3_cost_only.json,7f6227e28b0c916c964c027a2372261f96b736851a15bea62d9a40df396616f9,6,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_04/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,4,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed4_cost_only.json,03a3015f62b37b4af0cf3b5d7fa273d74075fb3d49949e2e6c0f3ef3aea92022,9,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_05/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,5,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed5_cost_only.json,26a0f6f7517799f64b73139a8057649441cb494de0c7085dcf466082bc5c3d23,12,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_06/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,6,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed6_cost_only.json,b47713000075330888f5db1b765312cf5743a8d725cc5a0fdee2c74ac6319fc3,15,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_07/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,7,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed7_cost_only.json,af21f5728cf1c38a74530261b4cf94259e0ac3f13f5924d865380b3f3829c04d,18,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_08/COST_ONLY,E4,cn-prd-50c-01-V2-LOCATIONS,8,COST_ONLY,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed8_cost_only.json,e10091e5556af472343fb48b78c889cbe6c96c15fb960a60652adfda7157f3c3,21,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_09/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,9,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed9_cost_plus_carbon.json,42d35be671cc6a44d9a6c7d18cc7f8bbe7d78b47d5fe3409c02e5d1985313455,25,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-01-V2-LOCATIONS/seed_10/COST_PLUS_CARBON,E4,cn-prd-50c-01-V2-LOCATIONS,10,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-01-V2-LOCATIONS/solutions/seed10_cost_plus_carbon.json,c3664664d95e678367997f174d90bd9206b737d8b437bee70b432a0d5f47c7d1,28,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-02-V2-LOCATIONS/seed_01/COST_PLUS_CARBON,E4,cn-prd-50c-02-V2-LOCATIONS,1,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-02-V2-LOCATIONS/solutions/seed1_cost_plus_carbon.json,9ed9f5ebc7ea5c7cbfcf35bd2a3927f14bcbf5f5f48ddcbc3bc821a25d9fe0fb,31,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
single_trip_invariant,E4/cn-prd-50c-02-V2-LOCATIONS/seed_02/COST_PLUS_CARBON,E4,cn-prd-50c-02-V2-LOCATIONS,2,COST_PLUS_CARBON,baselines/china_e3_e7/e4_joint_routing_20260801/formal_panel_20260801/cn-prd-50c-02-V2-LOCATIONS/solutions/seed2_cost_plus_carbon.json,f8bcd0976ce49254cf2aeb350afc95606d050fe71010535047ebdff3df70a15d,34,90,9,9,1530.0,1530.0,1530.0,0.0,True,True,,,,,,,,False,0,PASS,,binary64 old route bill versus current physical-vehicle bill
