task_id,instance_id,region,customer_size,map_index,seed,grid_date,action_index,vehicle_id,station_id,station_type,station_city,station_capacity,energy_kwh,occupancy_minutes,start_energy_kwh,end_energy_kwh,charging_curve_id,earliest_start_second,latest_start_second,candidate_count,asap_start_second,carbon_start_second,start_moved,immovable_reason,asap_predicted_emissions_kg,carbon_predicted_emissions_kg,asap_actual_emissions_kg,carbon_actual_emissions_kg
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-04,0,SP-EV-0001,D_chongqing,d,chongqing,2,39.57644544227043,107.93576029710117,0.0,39.57644544227043,NL90_mild,0.0,33400.38894217393,39,0.0,25200.0,1,,12.20871440430168,1.6805606882783022,12.20871440430168,1.6805606882783022
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-04,1,SP-EV-0005,D_chongqing,d,chongqing,2,26.493055060030823,72.2537865273568,0.0,26.493055060030823,NL90_mild,0.0,42902.349228358595,49,7200.0,42902.349228359,1,,8.749742887374461,5.132618786320192,8.749742887374461,5.132618786320192
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-04,2,SP-EV-0008,D_chongqing,d,chongqing,2,38.557921867300166,105.15796872900046,0.0,38.557921867300166,NL90_mild,0.0,33859.07425625998,39,0.0,25200.0,1,,11.886759102253581,1.6131344276152708,11.886759102253581,1.6131344276152708
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-04,3,SP-EV-0012,D_chengdu,d,chengdu,2,20.08888424010135,54.787866109367314,0.0,20.08888424010135,NL90_mild,0.0,40382.06189343796,47,0.0,36000.0,1,,0.7774398200919221,0.0,0.7774398200919221,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-04,4,SP-EV-0013,D_chengdu,d,chengdu,2,18.92795061512821,51.62168349580421,0.0,18.92795061512821,NL90_mild,0.0,44559.97045025174,51,0.0,36000.0,1,,0.7325116888054617,0.0,0.7325116888054617,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-05,0,SP-EV-0001,D_chongqing,d,chongqing,2,39.57644544227043,107.93576029710117,0.0,39.57644544227043,NL90_mild,0.0,33400.38894217393,39,0.0,33400.388942174,1,,11.878796845253737,9.916591041863946,11.878796845253737,9.916591041863946
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-05,1,SP-EV-0005,D_chongqing,d,chongqing,2,26.493055060030823,72.2537865273568,0.0,26.493055060030823,NL90_mild,0.0,42902.349228358595,49,7200.0,42902.349228359,1,,8.524861642280154,5.16597955989221,8.524861642280154,5.16597955989221
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-05,2,SP-EV-0008,D_chongqing,d,chongqing,2,38.557921867300166,105.15796872900046,0.0,38.557921867300166,NL90_mild,0.0,33859.07425625998,39,0.0,33859.07425626,1,,11.560406375718031,9.478143396647448,11.560406375718031,9.478143396647448
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-05,3,SP-EV-0012,D_chengdu,d,chengdu,2,20.08888424010135,54.787866109367314,0.0,20.08888424010135,NL90_mild,0.0,40382.06189343796,47,0.0,36000.0,1,,1.0164975425491283,0.0,1.0164975425491283,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-05,4,SP-EV-0013,D_chengdu,d,chengdu,2,18.92795061512821,51.62168349580421,0.0,18.92795061512821,NL90_mild,0.0,44559.97045025174,51,0.0,36000.0,1,,0.9577543011254875,0.0,0.9577543011254875,0.0
