instance_id,seed,grid_date,station_id,action_count,solver,variables,mip_status,primary_optimum_predicted_kg,selected_predicted_kg,primary_mip_gap,tie_mip_gap
cn-cy-100c-01-V2-LOCATIONS,1,2025-02-01,D_chengdu,2,scipy.optimize.milp/HiGHS,98,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,1,2025-02-01,D_chongqing,3,scipy.optimize.milp/HiGHS,127,OPTIMAL,17.090382688417748,17.090382688417748,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,2,2025-02-01,D_chengdu,2,scipy.optimize.milp/HiGHS,92,OPTIMAL,0.016311508892394178,0.016311508892394178,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,2,2025-02-01,D_chongqing,3,scipy.optimize.milp/HiGHS,121,OPTIMAL,18.507551077624388,18.507551077624388,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,3,2025-02-01,D_chengdu,2,scipy.optimize.milp/HiGHS,98,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,3,2025-02-01,D_chongqing,3,scipy.optimize.milp/HiGHS,123,OPTIMAL,17.760986211332096,17.760986211332096,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,4,2025-02-01,D_chengdu,2,scipy.optimize.milp/HiGHS,88,OPTIMAL,0.2789924906218534,0.2789924906218534,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,4,2025-02-01,D_chongqing,3,scipy.optimize.milp/HiGHS,123,OPTIMAL,17.760986211332096,17.760986211332096,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,5,2025-02-01,D_chengdu,2,scipy.optimize.milp/HiGHS,92,OPTIMAL,0.016311508892394178,0.016311508892394178,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,5,2025-02-01,D_chongqing,3,scipy.optimize.milp/HiGHS,121,OPTIMAL,17.791524063499466,17.791524063499466,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,1,2025-02-02,D_chengdu,2,scipy.optimize.milp/HiGHS,98,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,1,2025-02-02,D_chongqing,3,scipy.optimize.milp/HiGHS,127,OPTIMAL,22.022458353743918,22.022458353743918,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,2,2025-02-02,D_chengdu,2,scipy.optimize.milp/HiGHS,92,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,2,2025-02-02,D_chongqing,3,scipy.optimize.milp/HiGHS,121,OPTIMAL,25.14819066614412,25.14819066614412,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,3,2025-02-02,D_chengdu,2,scipy.optimize.milp/HiGHS,98,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,3,2025-02-02,D_chongqing,3,scipy.optimize.milp/HiGHS,123,OPTIMAL,23.36336351588378,23.36336351588378,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,4,2025-02-02,D_chengdu,2,scipy.optimize.milp/HiGHS,88,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,4,2025-02-02,D_chongqing,3,scipy.optimize.milp/HiGHS,123,OPTIMAL,23.36336351588378,23.36336351588378,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,5,2025-02-02,D_chengdu,2,scipy.optimize.milp/HiGHS,92,OPTIMAL,0.0,0.0,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,5,2025-02-02,D_chongqing,3,scipy.optimize.milp/HiGHS,121,OPTIMAL,24.13723105233486,24.13723105233486,0.0,0.0
cn-cy-100c-01-V2-LOCATIONS,1,2025-02-03,D_chengdu,2,scipy.optimize.milp/HiGHS,98,OPTIMAL,0.0,0.0,0.0,0.0
