task_id,network,condition,stream,arm,trigger_count,charging_window_count,window_violation_count,window_violations
N114__geographic__stream1__full,N114,geographic,1,full,3,15,0,
N114__geographic__stream2__full,N114,geographic,2,full,3,15,0,
N114__geographic__stream3__full,N114,geographic,3,full,2,16,0,
N114__geographic__stream4__full,N114,geographic,4,full,3,14,0,
N114__geographic__stream5__full,N114,geographic,5,full,1,14,0,
N114__historical_mixed__stream1__full,N114,historical_mixed,1,full,3,13,0,
N114__historical_mixed__stream2__full,N114,historical_mixed,2,full,3,16,0,
N114__historical_mixed__stream3__full,N114,historical_mixed,3,full,2,16,0,
N114__historical_mixed__stream4__full,N114,historical_mixed,4,full,3,17,0,
N114__historical_mixed__stream5__full,N114,historical_mixed,5,full,1,12,0,
N221__geographic__stream1__full,N221,geographic,1,full,3,26,0,
N221__geographic__stream2__full,N221,geographic,2,full,3,27,0,
N221__geographic__stream3__full,N221,geographic,3,full,3,29,0,
N221__geographic__stream4__full,N221,geographic,4,full,3,29,0,
N221__geographic__stream5__full,N221,geographic,5,full,3,26,0,
N221__historical_mixed__stream1__full,N221,historical_mixed,1,full,3,26,0,
N221__historical_mixed__stream2__full,N221,historical_mixed,2,full,3,30,0,
N221__historical_mixed__stream3__full,N221,historical_mixed,3,full,3,27,0,
N221__historical_mixed__stream4__full,N221,historical_mixed,4,full,3,26,0,
N221__historical_mixed__stream5__full,N221,historical_mixed,5,full,3,29,0,
N322__geographic__stream1__full,N322,geographic,1,full,3,45,0,
N322__geographic__stream2__full,N322,geographic,2,full,3,43,0,
N322__geographic__stream3__full,N322,geographic,3,full,3,44,0,
N322__geographic__stream4__full,N322,geographic,4,full,3,47,0,
N322__geographic__stream5__full,N322,geographic,5,full,3,45,0,
N322__historical_mixed__stream1__full,N322,historical_mixed,1,full,3,44,0,
N322__historical_mixed__stream2__full,N322,historical_mixed,2,full,3,52,0,
N322__historical_mixed__stream3__full,N322,historical_mixed,3,full,3,45,0,
N322__historical_mixed__stream4__full,N322,historical_mixed,4,full,3,47,0,
N322__historical_mixed__stream5__full,N322,historical_mixed,5,full,3,48,0,
