algorithm,diff_abs_winner_minus_fair_sa,diff_pct_winner_minus_fair_sa,fair_sa_best,fair_sa_mean,fair_sa_std,instance,n_pairs,p_value_greater,p_value_less,reason,variant,verdict,winner_best,winner_mean,winner_std,winner_std_le_1p25_sa_std,wins_winner_lower
ALNS-Wouda,59.33630827845536,1.0310908261249425,5670.4808069655355,5754.712075312877,55.47609147043493,Scale-150,10,0.0419921875,0.9677734375,winner mean worse by >1pp and paired Wilcoxon greater-side test is significant,winner_kernel_only,失败,5682.49065122564,5814.048383591332,64.62895947288447,True,3
ALNS-Wouda,-56.27598851282801,-0.740287727322652,7461.505018913264,7601.90753348803,105.65229067230214,Scale-200,10,0.919921875,0.0966796875,no significant >1pp winner advantage under the fixed fair-SA baseline,winner_kernel_only,持平,7492.132650042622,7545.631544975202,48.122805651884285,True,6
