actual_customer_count,bundle_dir,capacity_only_ffd_route_count,capacity_only_ffd_total_slack,capacity_route_lower_bound,deleted_customer_count,dynamic_events_tsv_exists,instance,kept_by_shift,kept_customer_count_manifest,requested_customer_count,scenario_id,shift_structure,three_shift_manifest,time_window_width_max_seconds,time_window_width_mean_seconds,time_window_width_median_seconds,time_window_width_min_seconds,total_demand
150,models/data_bundle/generated_instances/E-UK24h-三班-150,45,1757.6000000000058,44,43,False,Scale-150,"{""0"": 64, ""1"": 64, ""2"": 22}",150,150,E-UK24h-三班-150,"0h/9h/18h, third-shift customers with shifted due_time > 86400s deleted",/Volumes/移动硬盘（512G）/ReSETP/models/data_bundle/generated_instances/E-UK24h-三班-150/three_shift_manifest.json,21417.0,19838.28,19882.0,18333.0,70242.4
200,models/data_bundle/generated_instances/E-UK24h-三班-200,57,1178.6000000000058,57,62,False,Scale-200,"{""0"": 87, ""1"": 88, ""2"": 25}",200,200,E-UK24h-三班-200,"0h/9h/18h, third-shift customers with shifted due_time > 86400s deleted",/Volumes/移动硬盘（512G）/ReSETP/models/data_bundle/generated_instances/E-UK24h-三班-200/three_shift_manifest.json,21333.0,19798.25,19776.0,18333.0,90021.4
