algorithm,baseline,greater_method,instance,mean_diff_alg_minus_fair_sa,median_diff_alg_minus_fair_sa,method,missing_fair_sa_seed_pairs,n_pairs,p_value_greater,p_value_less,variant,wins_alg_lower
ALNS-Wouda,fair_scikit-opt-SA_paired_seed,scipy_wilcoxon_greater,Scale-150,59.336308278455455,57.94609963377434,scipy_wilcoxon_less,0,10,0.0419921875,0.9677734375,winner_kernel_only,3
ALNS-Wouda,fair_scikit-opt-SA_paired_seed,scipy_wilcoxon_greater,Scale-200,-56.27598851282819,-53.024386845256686,scipy_wilcoxon_less,0,10,0.919921875,0.0966796875,winner_kernel_only,6
