algorithm,capacity_only_ffd_route_count,capacity_route_lower_bound,instance,mean_route_count,mean_routes_minus_capacity_lb,mean_routes_minus_ffd,median_route_count,variant
scikit-opt-SA,45.0,44.0,Scale-150,49.8,5.799999999999997,4.799999999999997,50.0,fair_sa
scikit-opt-SA,57.0,57.0,Scale-200,61.9,4.899999999999999,4.899999999999999,62.0,fair_sa
ALNS-Wouda,45.0,44.0,Scale-150,49.0,5.0,4.0,49.0,winner_kernel_only
ALNS-Wouda,57.0,57.0,Scale-200,61.0,4.0,4.0,61.0,winner_kernel_only
