split,algorithm,rows,mean,median,best,std,violations,actual_evals_min,actual_evals_max
eval_10001,alpha_ucb_env,10,4878.331796187524,4848.619847811227,4779.053444002934,90.39011736520821,0,16000,16000
eval_10001,ppo_operator_only,10,5457.405672395524,5438.789881851673,5221.149017504192,125.49303122781201,0,16000,16000
eval_10001,random_full,10,4781.121850823597,4788.89040673416,4739.8600246707265,23.251875542053586,0,16000,16000
eval_held_out,alpha_ucb_env,10,3902.509679676566,3951.9634151920627,3471.1647322217887,147.53230445484192,0,16000,16000
eval_held_out,ppo_operator_only,10,4225.421560777203,4231.410094333412,4084.521377229266,70.06030543324964,0,16000,16000
eval_held_out,random_full,10,3538.4815274044795,3543.0153484069533,3454.642942519675,32.90946328987675,0,16000,16000
