actual_evals,algorithm,cost,elapsed_seconds,ev_routes,eval_budget,instance,pair_role,routes,run_id,seed,status,violations
1600,LNS,5970.054667816366,112.0529697919992,26,1600,L-main-threeshift-100c-01,development,31,L-main-threeshift-100c-01__seed2__LNS,2,OK,0
1600,staged,6038.350420394927,19.297557500001858,31,1600,L-main-threeshift-100c-01,development,35,L-main-threeshift-100c-01__seed2__staged,2,OK,0
1600,true_lns_middle,5741.643211950677,59.80654558300739,24,1600,L-main-threeshift-100c-01,development,31,L-main-threeshift-100c-01__seed2__true_lns_middle,2,OK,0
1600,LNS,6250.339500505469,97.7762982090062,22,1600,L-main-threeshift-100c-01,guard,30,L-main-threeshift-100c-01__seed4__LNS,4,OK,0
1600,staged,4755.8218423428325,57.207014958999935,29,1600,L-main-threeshift-100c-01,guard,31,L-main-threeshift-100c-01__seed4__staged,4,OK,0
1600,true_lns_middle,4755.8218423428325,90.02276849999907,29,1600,L-main-threeshift-100c-01,guard,31,L-main-threeshift-100c-01__seed4__true_lns_middle,4,OK,0
1600,LNS,8894.748475288605,168.41792633300065,40,1600,L-main-threeshift-150c-01,development,50,L-main-threeshift-150c-01__seed3__LNS,3,OK,0
1600,staged,9871.117982041302,40.097215166999376,31,1600,L-main-threeshift-150c-01,development,46,L-main-threeshift-150c-01__seed3__staged,3,OK,0
1600,true_lns_middle,9585.76397791031,99.04280754199135,29,1600,L-main-threeshift-150c-01,development,45,L-main-threeshift-150c-01__seed3__true_lns_middle,3,OK,0
1600,LNS,10110.52794427708,154.0595376669953,30,1600,L-main-threeshift-150c-01,guard,45,L-main-threeshift-150c-01__seed4__LNS,4,OK,0
1600,staged,7664.010099262553,51.58010370800912,41,1600,L-main-threeshift-150c-01,guard,49,L-main-threeshift-150c-01__seed4__staged,4,OK,0
1600,true_lns_middle,7756.699034307675,128.94877324999834,39,1600,L-main-threeshift-150c-01,guard,49,L-main-threeshift-150c-01__seed4__true_lns_middle,4,OK,0
1600,LNS,1030.2016122091868,12.886928292005905,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__LNS,2,OK,0
1600,staged,1057.052148183385,4.563901207991876,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__staged,2,OK,0
1600,true_lns_middle,1063.7886084402815,8.923289500002284,0,1600,L-main-threeshift-15c-01,development,5,L-main-threeshift-15c-01__seed2__true_lns_middle,2,OK,0
1600,LNS,1120.9920695142848,25.83024904099875,6,1600,L-main-threeshift-20c-01,development,6,L-main-threeshift-20c-01__seed3__LNS,3,OK,0
1600,staged,1202.478509309506,5.8556092500075465,7,1600,L-main-threeshift-20c-01,development,7,L-main-threeshift-20c-01__seed3__staged,3,OK,0
1600,true_lns_middle,1196.0446903646448,14.35104783299903,7,1600,L-main-threeshift-20c-01,development,7,L-main-threeshift-20c-01__seed3__true_lns_middle,3,OK,0
1600,LNS,2619.2272945298537,60.552973666010075,15,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__LNS,5,OK,0
1600,staged,2983.0605133613635,7.902576917011174,14,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__staged,5,OK,0
1600,true_lns_middle,2767.0989470161,33.65512987499824,15,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__true_lns_middle,5,OK,0
1600,LNS,4338.746816797046,79.87878654099768,25,1600,L-main-threeshift-75c-01,development,27,L-main-threeshift-75c-01__seed1__LNS,1,OK,0
1600,staged,4176.614678972302,14.368447458007722,29,1600,L-main-threeshift-75c-01,development,29,L-main-threeshift-75c-01__seed1__staged,1,OK,0
1600,true_lns_middle,4172.745318377933,47.707792707995395,28,1600,L-main-threeshift-75c-01,development,28,L-main-threeshift-75c-01__seed1__true_lns_middle,1,OK,0
1600,LNS,4262.491163177121,75.47397679199639,21,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__LNS,5,OK,0
1600,staged,3755.2360143305314,22.01269679100369,23,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__staged,5,OK,0
1600,true_lns_middle,3755.2360143305314,52.72741025000869,23,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__true_lns_middle,5,OK,0
