task_id,instance_id,seed,arm,status,recorded_cost,replayed_cost,cost_equal,recorded_emissions_kg,replayed_emissions_kg,emissions_equal,direct_violation_count,exact_violation_count,all_charge_day_offsets_zero,all_charging_within_registered_day,all_depot_charging_finishes_before_departure,all_depot_fleet_caps_respected,input_file_manifest_sha256,path_identity_sha256,settlement_trace_sha256
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-F,PASS,5285.201519052848,5285.201519052848,True,430.7372877216446,430.7372877216446,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,a2aa0dc3be147126adb8185f5e448b52daf6a5eee318713bf39c2d88191c2dc2
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-E,PASS,5175.207397764388,5175.207397764388,True,394.75122443607387,394.75122443607387,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,a5f472c2f6b416957482e583d5e929735731bf50fb9985df033e05ed6ad49b80
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-M,PASS,5176.793270565394,5176.793270565394,True,394.98374075960464,394.98374075960464,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,5aa942a6423f104785b083c8bd1b70041c9a472253d2e71905f21c5f18b45852
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,MV-HGS-SP,PASS,5175.207397764388,5175.207397764388,True,394.75122443607387,394.75122443607387,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,a5f472c2f6b416957482e583d5e929735731bf50fb9985df033e05ed6ad49b80
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-F,PASS,5285.201519052848,5285.201519052848,True,430.7372877216446,430.7372877216446,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,a2aa0dc3be147126adb8185f5e448b52daf6a5eee318713bf39c2d88191c2dc2
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-E,PASS,5176.750571430537,5176.750571430537,True,397.5710005491723,397.5710005491723,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,84e481615cbe50c11dea97db2cc4e045b6d90403ea1871b2afac45a4feb336c3
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-M,PASS,5180.764540254748,5180.764540254748,True,395.9099474208016,395.9099474208016,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,d79fffe53450350e133d2783eab5d9bb83896cc2793b98a9dacc7b77d3b7fd7e
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,MV-HGS-SP,PASS,5174.707566129893,5174.707566129893,True,393.8615216322663,393.8615216322663,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,a398fd7384f8c827b85fd5f3e0f72df95e1325d9db1886a1e6d463d1e0941a6f
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-F,PASS,5285.201519052848,5285.201519052848,True,430.7372877216446,430.7372877216446,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,a2aa0dc3be147126adb8185f5e448b52daf6a5eee318713bf39c2d88191c2dc2
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-E,PASS,5175.070810721165,5175.070810721165,True,394.4351883258143,394.4351883258143,True,0,0,True,True,True,True,3f7edfdca29c7915cedf5668d048b19fbeaa69f4f316a3b5dc529c35ef1a49c5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,ad53832df2261a79543aebbf74021f6ddb648cea105f055fcaf8665ab3d3c837
