instance_id,arm,seed,requested_iterations,actual_iterations,runtime_seconds,initial_cost,best_cost,cost_change_pct,feasible,customers_served,customers_total,demand_served,demand_total,total_emissions_kg,used_cv,used_ev,mechanism_calls,mechanism_improvements,charging_refinement_calls,charging_refinement_improvements,decoded_candidates,rejected_candidates
cn-prd-50c-01-V2-LOCATIONS,ROUTE_ONLY,11,100,100,43.15027379099047,2020.7252944015852,2020.7252944015852,0.0,True,50,50,12223.0,12223.0,212.86777611472763,4,1,0,0,0,0,14,42
cn-prd-50c-01-V2-LOCATIONS,FULL_PROBLEM_COMPONENTS,11,100,100,81.35479320900049,2020.7252944015852,1813.6006621772292,-10.25001432892409,True,50,50,12223.0,12223.0,173.14850836195754,4,1,20,17,7,0,22,38
