budget,profile,normalized_pair_entropy,top1_pair_share,top2_pair_share
4000,A0_MAIN_LOCAL_SEARCH,0.5479450509066646,0.5102399430998055,0.7646329728259733
4000,A4_BALANCED_SELECTOR_LOCAL_SEARCH,0.8227620351716587,0.24319320523414537,0.4628254343482945
4000,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,0.8101206441799167,0.2621221629536659,0.47424432590733184
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,0.9794336406406877,0.11442661186154385,0.21505258258682272
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,0.9516053791941392,0.16274375480449937,0.2946498140952899
4000,LNS_REFERENCE,UNKNOWN,UNKNOWN,UNKNOWN
8000,A0_MAIN_LOCAL_SEARCH,0.6372583821735889,0.42756147728431004,0.6866716672634278
8000,A4_BALANCED_SELECTOR_LOCAL_SEARCH,0.832477154715235,0.23245615181364618,0.44968860012492584
8000,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,0.8321729693100012,0.22776976311442848,0.447116289280562
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,0.9795135456842613,0.1118352457281429,0.21788235048173535
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,0.9694669786602854,0.1296257098133906,0.24044936773364065
8000,LNS_REFERENCE,UNKNOWN,UNKNOWN,UNKNOWN
16000,A0_MAIN_LOCAL_SEARCH,0.7026472219851116,0.3653836602930221,0.5866323369884856
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,0.9761192598643349,0.12271429915629019,0.22831001892335517
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,0.9766890277881463,0.11534485575195216,0.21658313457705752
16000,LNS_REFERENCE,UNKNOWN,UNKNOWN,UNKNOWN
