budget,category,instance,seed,profile,route_count,cv_route_count,ev_route_count,charging_action_count,cost_fix,cost_km,cost_carbon,cost_fuel,cost_elec,cost_occ,cost_transship,route_count_delta_vs_lns,cost_fix_delta_vs_lns,cost_fix_delta_vs_a0
4000,multidepot,e2-multidepot-10c-01,1,LNS_REFERENCE,2,1,1,2,160.0,125.24485940011733,6.131278376960342,65.30007984656478,16.08653090470623,0.7698359175037979,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,2,A0_MAIN_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,2,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,2,LNS_REFERENCE,2,1,1,2,160.0,125.31458584208694,5.998514814644883,63.829899841896854,16.08653090470623,0.7698359175037979,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,3,A0_MAIN_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,3,A4_BALANCED_SELECTOR_LOCAL_SEARCH,2,1,1,2,160.0,125.31458584208694,5.998514814644883,63.829899841896854,16.08653090470623,0.7698359175037979,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,3,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,2,1,1,2,160.0,125.31458584208694,5.998514814644883,63.829899841896854,16.08653090470623,0.7698359175037979,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,3,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,2,1,1,1,160.0,131.62871393867013,7.167311864615222,77.46427899370111,11.640429534967122,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,3,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,2,1,1,2,160.0,125.31458584208694,5.998514814644883,63.829899841896854,16.08653090470623,0.7698359175037979,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-10c-01,3,LNS_REFERENCE,2,1,1,2,160.0,125.31458584208694,5.998514814644883,63.829899841896854,16.08653090470623,0.7698359175037979,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,1,A0_MAIN_LOCAL_SEARCH,22,10,12,14,1760.0,1025.9643810264952,49.71908254136588,528.5973021842083,134.66245024067015,4.06579594571793,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,1,A4_BALANCED_SELECTOR_LOCAL_SEARCH,22,9,13,15,1760.0,1019.2790754094153,45.257080463845085,475.7919050849627,159.82499113575386,9.607623026887481,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,1,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,22,8,14,17,1760.0,997.3620356502691,41.605933269127846,433.1708193822536,181.1272787944814,16.95340062375226,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,1,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,21,11,10,11,1680.0,1030.277752205082,54.24824092345643,582.8270148559843,105.78660134592658,0.5890222086506149,0.0,-1.0,-80.0,-80.0
4000,multidepot,e2-multidepot-150c-01,1,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,22,8,14,17,1760.0,1071.3281781029566,46.181376882708925,483.50971178185955,187.82650246691463,19.934866276218038,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,1,LNS_REFERENCE,22,12,10,11,1760.0,1091.2453642077558,59.46213530933018,641.0194961455924,119.86006049323186,13.944646369829673,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,2,A0_MAIN_LOCAL_SEARCH,21,8,13,17,1680.0,959.2232558771583,41.52918439323958,433.843441522461,178.72936323051863,25.11264982493504,0.0,-1.0,-80.0,0.0
4000,multidepot,e2-multidepot-150c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,22,9,13,16,1760.0,1005.4255981858696,46.02539852507991,485.7371464728855,156.46298021852238,13.355207049437329,0.0,0.0,0.0,80.0
4000,multidepot,e2-multidepot-150c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,22,10,12,14,1760.0,985.7778527881433,47.8067351917252,508.47881752234184,133.33758947276505,8.112904207455983,0.0,0.0,0.0,80.0
4000,multidepot,e2-multidepot-150c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,21,11,10,13,1680.0,1008.010397922106,52.86990676028078,567.7577031562365,109.90013390556977,4.178596306090654,0.0,-1.0,-80.0,0.0
4000,multidepot,e2-multidepot-150c-01,2,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,21,10,11,12,1680.0,986.172538666335,50.925747282555015,545.1827804148401,109.49824530716296,1.5295249530882131,0.0,-1.0,-80.0,0.0
4000,multidepot,e2-multidepot-150c-01,2,LNS_REFERENCE,22,11,11,12,1760.0,1042.0997782660463,54.778742384364584,588.6849467869379,123.64051048622329,12.545492049066665,0.0,0.0,0.0,80.0
4000,multidepot,e2-multidepot-150c-01,3,A0_MAIN_LOCAL_SEARCH,21,12,9,11,1680.0,1008.1078346886829,55.73862306928682,601.6498311736619,90.8891012661656,1.0572673009602305,0.0,0.0,0.0,0.0
