instance,current_verified_bks,vcgp_best_2013,mdfiha_best_2026,mdfiha_etga_best_2026,strongest_known_target,strongest_target_sources,strict_new_bks_target,target_route_certificate_available
PR11A,6655.548,6720.71,6685.36,6683.0,6655.548,current_verified_bks,< 6655.548,true
PR11B,4814.803,4839.44,4832.98,4831.74,4814.803,current_verified_bks,< 4814.803,true
PR12A,8148.107,8179.8,8208.5,8164.72,8148.107,current_verified_bks,< 8148.107,true
PR12B,6004.834,6063.26,6038.38,6033.93,6004.834,current_verified_bks,< 6004.834,true
PR13A,9501.934,9667.2,9602.32,9571.71,9501.934,current_verified_bks,< 9501.934,true
PR13B,7201.765,7254.17,7245.29,7231.95,7201.765,current_verified_bks,< 7201.765,true
PR14A,10925.67,11124.01,11089.24,11062.7,10925.67,current_verified_bks,< 10925.670,true
PR14B,8656.335,8732.29,8772.44,8761.07,8656.335,current_verified_bks,< 8656.335,true
PR15A,12714.063,13013.97,13019.83,12895.63,12714.063,current_verified_bks,< 12714.063,true
PR15B,10223.105,10439.72,10425.82,10417.15,10223.105,current_verified_bks,< 10223.105,true
PR16A,13992.681,14299.87,14450.22,14223.38,13992.681,current_verified_bks,< 13992.681,true
PR16B,11225.795,11483.22,11568.44,11394.5,11225.795,current_verified_bks,< 11225.795,true
PR17A,6292.594,6304.3,6309.2,6314.89,6292.594,current_verified_bks,< 6292.594,true
PR17B,4771.155,4806.01,4790.27,4797.43,4771.155,current_verified_bks,< 4771.155,true
PR18A,8183.231,8308.32,8228.31,8238.25,8183.231,current_verified_bks,< 8183.231,true
PR18B,6443.442,6526.72,6467.78,6484.49,6443.442,current_verified_bks,< 6443.442,true
PR19A,10521.112,10677.61,10679.74,10663.75,10521.112,current_verified_bks,< 10521.112,true
PR19B,8061.518,8227.25,8183.28,8164.09,8061.518,current_verified_bks,< 8061.518,true
PR20A,11686.369,11963.91,11929.23,11839.92,11686.369,current_verified_bks,< 11686.369,true
PR20B,10013.395,10325.8,10274.63,10162.84,10013.395,current_verified_bks,< 10013.395,true
PR21A,6230.046,6260.53,6261.83,6258.84,6230.046,current_verified_bks,< 6230.046,true
PR21B,4822.337,4866.57,4830.9,4834.49,4822.337,current_verified_bks,< 4822.337,true
PR22A,7868.943,7985.37,7919.77,7935.78,7868.943,current_verified_bks,< 7868.943,true
PR22B,6403.374,6488.5,6474.0,6446.58,6403.374,current_verified_bks,< 6403.374,true
PR23A,9726.158,9937.43,9893.39,9870.23,9726.158,current_verified_bks,< 9726.158,true
PR23B,8317.649,8523.41,8491.96,8417.24,8317.649,current_verified_bks,< 8317.649,true
PR24A,11638.608,11923.72,12031.09,11861.22,11638.608,current_verified_bks,< 11638.608,true
PR24B,10486.45,10890.08,10721.4,10665.16,10486.45,current_verified_bks,< 10486.450,true
