algorithm,instance,seed,status,elapsed_seconds,cost,gap_pct,route_count,feasible
official_hgs,X-n110-k13,1,OK,3.170037250034511,14971.0,0.0,13,True
current_alns,X-n110-k13,1,OK,4.251003791985568,16863.0,12.637766348273328,14,True
official_hgs,X-n110-k13,2,OK,3.086713749973569,14971.0,0.0,13,True
current_alns,X-n110-k13,2,OK,4.167957832978573,16650.0,11.215015697014227,14,True
official_hgs,X-n110-k13,3,OK,3.054809083987493,14971.0,0.0,13,True
current_alns,X-n110-k13,3,OK,4.151987207995262,17230.0,15.089172399973283,14,True
official_hgs,X-n157-k13,1,OK,3.224557999987155,16881.0,0.029627873903768667,13,True
current_alns,X-n157-k13,1,OK,7.26997541601304,19216.0,13.865844986963735,15,True
official_hgs,X-n157-k13,2,OK,3.18053641699953,16879.0,0.0177767243422612,13,True
current_alns,X-n157-k13,2,OK,7.142507417011075,18711.0,10.8734297226831,14,True
official_hgs,X-n157-k13,3,OK,3.1657460419810377,16876.0,0.0,13,True
current_alns,X-n157-k13,3,OK,7.079575750045478,19409.0,15.009480919649206,15,True
official_hgs,X-n190-k8,1,OK,3.1687712090206333,17247.0,1.5724381625441697,8,True
current_alns,X-n190-k8,1,OK,15.256852499966044,21021.0,23.79858657243816,8,True
official_hgs,X-n190-k8,2,OK,3.1614613329875283,17136.0,0.9187279151943463,8,True
current_alns,X-n190-k8,2,OK,15.101910166966263,19638.0,15.653710247349823,8,True
official_hgs,X-n190-k8,3,OK,3.165798166010063,17116.0,0.800942285041225,8,True
current_alns,X-n190-k8,3,OK,15.27874412498204,19582.0,15.323910482921084,8,True
