check,git_head,worktree_clean,source_sha256,comparison_passed,verdict
final_replay,79e8d67efad3d9efca6b3f7d364cf434cc53d778,True,f9ab08337a37d1e0eaeaa1921854e029c18e0da0b2c3d8dc64dbcfe301515382,True,CLEAN_COMMIT_REPLAY_MATCH
action_scope_replay,79e8d67efad3d9efca6b3f7d364cf434cc53d778,True,f9ab08337a37d1e0eaeaa1921854e029c18e0da0b2c3d8dc64dbcfe301515382,True,CLEAN_COMMIT_REPLAY_MATCH
repair_replay,79e8d67efad3d9efca6b3f7d364cf434cc53d778,True,f9ab08337a37d1e0eaeaa1921854e029c18e0da0b2c3d8dc64dbcfe301515382,True,CLEAN_COMMIT_REPLAY_MATCH
