figure,series,source_row,x,y,source_path,source_sha256
figure3,Beijing,1,0.00,524.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,2,0.50,524.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,3,1.00,514.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,4,1.50,514.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,5,2.00,519.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,6,2.50,519.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,7,3.00,508.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,8,3.50,508.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,9,4.00,495.500000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,10,4.50,495.500000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,11,5.00,495.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,12,5.50,495.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,13,6.00,504.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,14,6.50,504.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
