instance_id,seed,contractor,standalone_profit_cny,shapley_profit_cny,nucleolus_profit_cny,nucleolus_cost_share_cny,nucleolus_gain_over_standalone_cny,nucleolus_minus_shapley_cny
cn-prd-150c-01-V2-LOCATIONS,1,D_dongguan,5816.605792349326,6345.128877940946,6337.613059330866,1057.3869406691338,521.0072669815399,-7.515818610079805
cn-prd-150c-01-V2-LOCATIONS,1,D_foshan,4546.532044453011,5094.571326275784,4894.675739014844,836.8242609851559,348.1436945618334,-199.89558726093946
cn-prd-150c-01-V2-LOCATIONS,1,D_guangzhou,19304.1653761052,20357.611156164232,20278.561677911694,2746.4383220883064,974.3963018064933,-79.04947825253839
cn-prd-150c-01-V2-LOCATIONS,1,D_shenzhen,20127.728755948,21720.14411576633,22006.60499988989,2158.395000110111,1878.8762439418897,286.4608841235604
cn-prd-150c-01-V2-LOCATIONS,2,D_dongguan,5821.249926130483,6373.282493434453,6379.205339830511,1015.7946601694894,557.9554137000277,5.922846396058048
cn-prd-150c-01-V2-LOCATIONS,2,D_foshan,4546.532044453011,5067.581066538431,4812.5298009232565,918.9701990767435,265.9977564702458,-255.0512656151741
cn-prd-150c-01-V2-LOCATIONS,2,D_guangzhou,19321.964271369194,20374.68183655523,20309.8967304532,2715.1032695467984,987.9324590840079,-64.78510610203011
cn-prd-150c-01-V2-LOCATIONS,2,D_shenzhen,20131.665696900534,21627.614041822893,21941.52756714405,2223.4724328559496,1809.861870243516,313.91352532115707
cn-prd-150c-01-V2-LOCATIONS,3,D_dongguan,5816.605792349326,6354.397242052484,6334.547987588261,1060.452012411739,517.9421952389348,-19.849254464223122
cn-prd-150c-01-V2-LOCATIONS,3,D_foshan,4546.532044453011,5080.33868988685,4860.138504726201,871.3614952737989,313.60646027319035,-220.2001851606492
cn-prd-150c-01-V2-LOCATIONS,3,D_guangzhou,19298.11189746239,20381.688529136547,20301.72049964713,2723.27950035287,1003.6086021847404,-79.96802948941695
cn-prd-150c-01-V2-LOCATIONS,3,D_shenzhen,20124.383353547786,21673.747096302104,21993.764565416415,2171.2354345835847,1869.3812118686292,320.0174691143111
cn-prd-150c-01-V2-LOCATIONS,4,D_dongguan,5816.605792349326,6364.137408009003,6331.637196621085,1063.3628033789146,515.0314042717591,-32.50021138791726
cn-prd-150c-01-V2-LOCATIONS,4,D_foshan,4546.532044453011,5097.921236578293,4849.519447797215,881.9805522027846,302.9874033442047,-248.4017887810778
cn-prd-150c-01-V2-LOCATIONS,4,D_guangzhou,19271.49841846043,20372.040819505466,20323.597807402522,2701.4021925974776,1052.0993889420934,-48.44301210294361
cn-prd-150c-01-V2-LOCATIONS,4,D_shenzhen,20134.514994263212,21657.927303367036,21987.27231563901,2177.7276843609907,1852.757321375797,329.34501227197325
cn-prd-150c-01-V2-LOCATIONS,5,D_dongguan,5825.5700704426745,6343.771254505832,6300.635415584462,1094.364584415538,475.0653451417875,-43.13583892137012
cn-prd-150c-01-V2-LOCATIONS,5,D_foshan,4546.532044453011,5098.395771229737,4899.748023035581,831.7519769644186,353.21597858257064,-198.6477481941556
cn-prd-150c-01-V2-LOCATIONS,5,D_guangzhou,19293.99638238927,20382.75718234767,20327.086719010225,2697.9132809897746,1033.0903366209568,-55.670463337442925
cn-prd-150c-01-V2-LOCATIONS,5,D_shenzhen,20132.166212210755,21650.08101085114,21947.535061304134,2217.4649386958663,1815.3688490933782,297.4540504529941
cn-prd-150c-01-V2-LOCATIONS,6,D_dongguan,5816.605792349326,6340.6797780829775,6290.842897728138,1104.1571022718617,474.237105378812,-49.836880354839195
cn-prd-150c-01-V2-LOCATIONS,6,D_foshan,4546.532044453011,5101.403522779585,4904.932163100339,826.5678368996614,358.4001186473279,-196.47135967924623
cn-prd-150c-01-V2-LOCATIONS,6,D_guangzhou,19304.58495910856,20368.824645335095,20305.24393989932,2719.7560601006808,1000.6589807907585,-63.5807054357756
cn-prd-150c-01-V2-LOCATIONS,6,D_shenzhen,20121.520965667318,21650.400451217174,21960.289396687032,2204.7106033129676,1838.7684310197146,309.8889454698583
cn-prd-150c-01-V2-LOCATIONS,7,D_dongguan,5816.605792349326,6358.892118003115,6355.452903477505,1039.547096522495,538.8471111281788,-3.4392145256097137
cn-prd-150c-01-V2-LOCATIONS,7,D_foshan,4546.532044453011,5086.251087728294,4858.091234083258,873.4087659167417,311.5591896302476,-228.15985364503558
cn-prd-150c-01-V2-LOCATIONS,7,D_guangzhou,19302.272515422188,20402.123206196655,20318.640216959204,2706.359783040796,1016.3677015370158,-83.48298923745097
cn-prd-150c-01-V2-LOCATIONS,7,D_shenzhen,20130.470432376038,21657.778887892302,21972.8609453004,2192.139054699601,1842.3905129243612,315.08205740809717
cn-prd-150c-01-V2-LOCATIONS,8,D_dongguan,5816.605792349326,6348.231262985615,6324.137472800538,1070.8625271994624,507.5316804512113,-24.093790185077523
cn-prd-150c-01-V2-LOCATIONS,8,D_foshan,4546.532044453011,5089.698977057125,4848.211292824257,883.2887071757432,301.6792483712461,-241.48768423286856
cn-prd-150c-01-V2-LOCATIONS,8,D_guangzhou,19306.744138164635,20363.44959723819,20304.247709860796,2720.752290139204,997.5035716961611,-59.20188737739227
cn-prd-150c-01-V2-LOCATIONS,8,D_shenzhen,20131.208604102845,21625.593584315568,21950.376946110886,2214.623053889114,1819.1683420080408,324.78336179531834
cn-prd-150c-01-V2-LOCATIONS,9,D_dongguan,5816.605792349326,6358.885676241171,6336.226375188331,1058.773624811669,519.6205828390048,-22.65930105283951
