instance_id,arm,seed,requested_iterations,actual_iterations,runtime_seconds,initial_cost,best_cost,cost_change_pct,feasible,customers_served,customers_total,demand_served,demand_total,total_emissions_kg,used_cv,used_ev,mechanism_calls,mechanism_improvements,charging_refinement_calls,charging_refinement_improvements,decoded_candidates,rejected_candidates
cn-cy-50c-01-V2-LOCATIONS,ROUTE_ONLY,11,100,100,25.723579708021134,2483.638643547911,2216.325674184568,-10.762957407583377,True,50,50,13266.0,13266.0,184.2033671163329,5,2,0,0,0,0,47,47
cn-cy-50c-01-V2-LOCATIONS,FULL_PROBLEM_COMPONENTS,11,100,100,54.08594558300683,2483.638643547911,2205.1732055915963,-11.211994896267326,True,50,50,13266.0,13266.0,174.07403607698706,5,2,33,22,4,0,35,32
