evaluation,destroy_operator,repair_operator,changed,dynamic_feasible,accepted,candidate_future_cost,current_future_cost,best_future_cost
25,route_segment_removal,regret3_insert_repair,False,False,False,,1303.1215541920792,1303.1215541920792
26,route_segment_removal,regret2_insert_repair,False,False,False,,1303.1215541920792,1303.1215541920792
27,worst_customer_removal,greedy_insert_repair,False,False,False,,1303.1215541920792,1303.1215541920792
28,random_customer_removal,regret2_insert_repair,False,False,False,,1303.1215541920792,1303.1215541920792
29,whole_route_removal,greedy_insert_repair,True,True,False,1441.4632764924227,1303.1215541920792,1303.1215541920792
30,whole_route_removal,regret2_insert_repair,True,True,True,1281.4982313196667,1281.4982313196667,1281.4982313196667
31,whole_route_removal,regret3_insert_repair,True,True,False,1304.680395412861,1281.4982313196667,1281.4982313196667
32,worst_customer_removal,regret2_insert_repair,False,False,False,,1281.4982313196667,1281.4982313196667
33,whole_route_removal,regret2_insert_repair,False,False,False,,1281.4982313196667,1281.4982313196667
34,route_segment_removal,regret2_insert_repair,False,False,False,,1281.4982313196667,1281.4982313196667
35,random_customer_removal,regret3_insert_repair,True,True,True,1280.301751536516,1280.301751536516,1280.301751536516
36,whole_route_removal,greedy_insert_repair,True,True,False,1418.6434738368594,1280.301751536516,1280.301751536516
37,whole_route_removal,regret2_insert_repair,True,True,False,1345.8883845470739,1280.301751536516,1280.301751536516
38,vehicle_type_swap,greedy_insert_repair,True,False,False,,1280.301751536516,1280.301751536516
39,random_customer_removal,regret3_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
40,route_segment_removal,regret3_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
41,worst_customer_removal,regret3_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
42,whole_route_removal,regret3_insert_repair,True,True,False,1329.6152244465882,1280.301751536516,1280.301751536516
43,shaw_related_removal,greedy_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
44,worst_customer_removal,regret2_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
45,shaw_related_removal,regret2_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
46,random_customer_removal,regret2_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
47,route_segment_removal,greedy_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
48,shaw_related_removal,regret2_insert_repair,False,False,False,,1280.301751536516,1280.301751536516
49,whole_route_removal,regret2_insert_repair,True,True,False,1281.4982313196667,1280.301751536516,1280.301751536516
50,shaw_related_removal,greedy_insert_repair,True,True,True,1281.4982313196667,1281.4982313196667,1280.301751536516
51,vehicle_type_swap,regret3_insert_repair,True,False,False,,1281.4982313196667,1280.301751536516
52,random_customer_removal,regret2_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
53,shaw_related_removal,greedy_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
54,shaw_related_removal,regret2_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
55,shaw_related_removal,regret3_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
56,whole_route_removal,greedy_insert_repair,True,True,False,1304.680395412861,1281.4982313196667,1280.301751536516
57,shaw_related_removal,greedy_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
58,shaw_related_removal,regret3_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
59,random_customer_removal,regret2_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
60,worst_customer_removal,regret3_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
61,worst_customer_removal,regret3_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
62,whole_route_removal,regret2_insert_repair,True,True,False,1313.8108872886232,1281.4982313196667,1280.301751536516
63,route_segment_removal,regret3_insert_repair,False,False,False,,1281.4982313196667,1280.301751536516
