algorithm,battery_kwh,comparison_mode,eval_budget,instance,prior_status,queue_action,replicate,runtime_cap_seconds,scenario,seed,size
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,300.0,wc80,1,10
LNS,80.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,300.0,wc80,1,10
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-15c-01,,PENDING,1,300.0,wc80,1,15
LNS,80.0,wallclock,16000,e2-vanilla-15c-01,,PENDING,1,300.0,wc80,1,15
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-20c-01,,PENDING,1,300.0,wc80,1,20
LNS,80.0,wallclock,16000,e2-vanilla-20c-01,,PENDING,1,300.0,wc80,1,20
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-25c-01,,PENDING,1,300.0,wc80,1,25
LNS,80.0,wallclock,16000,e2-vanilla-25c-01,,PENDING,1,300.0,wc80,1,25
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-50c-01,,PENDING,1,600.0,wc80,1,50
LNS,80.0,wallclock,16000,e2-vanilla-50c-01,,PENDING,1,600.0,wc80,1,50
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-75c-01,,PENDING,1,900.0,wc80,1,75
LNS,80.0,wallclock,16000,e2-vanilla-75c-01,,PENDING,1,900.0,wc80,1,75
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-100c-01,,PENDING,1,900.0,wc80,1,100
LNS,80.0,wallclock,16000,e2-vanilla-100c-01,,PENDING,1,900.0,wc80,1,100
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-150c-01,,PENDING,1,900.0,wc80,1,150
LNS,80.0,wallclock,16000,e2-vanilla-150c-01,,PENDING,1,900.0,wc80,1,150
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-200c-01,,PENDING,1,900.0,wc80,1,200
LNS,80.0,wallclock,16000,e2-vanilla-200c-01,,PENDING,1,900.0,wc80,1,200
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-10c-01,,PENDING,1,300.0,wc80,1,10
LNS,80.0,wallclock,16000,e2-multidepot-10c-01,,PENDING,1,300.0,wc80,1,10
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-15c-01,,PENDING,1,300.0,wc80,1,15
LNS,80.0,wallclock,16000,e2-multidepot-15c-01,,PENDING,1,300.0,wc80,1,15
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-20c-01,,PENDING,1,300.0,wc80,1,20
LNS,80.0,wallclock,16000,e2-multidepot-20c-01,,PENDING,1,300.0,wc80,1,20
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-25c-01,,PENDING,1,300.0,wc80,1,25
LNS,80.0,wallclock,16000,e2-multidepot-25c-01,,PENDING,1,300.0,wc80,1,25
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-50c-01,,PENDING,1,600.0,wc80,1,50
LNS,80.0,wallclock,16000,e2-multidepot-50c-01,,PENDING,1,600.0,wc80,1,50
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-75c-01,,PENDING,1,900.0,wc80,1,75
LNS,80.0,wallclock,16000,e2-multidepot-75c-01,,PENDING,1,900.0,wc80,1,75
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,900.0,wc80,1,100
LNS,80.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,900.0,wc80,1,100
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-150c-01,,PENDING,1,900.0,wc80,1,150
LNS,80.0,wallclock,16000,e2-multidepot-150c-01,,PENDING,1,900.0,wc80,1,150
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-200c-01,,PENDING,1,900.0,wc80,1,200
LNS,80.0,wallclock,16000,e2-multidepot-200c-01,,PENDING,1,900.0,wc80,1,200
alns_e2_throughput,80.0,wallclock,16000,e2-threeshift-50c-01,,PENDING,1,600.0,wc80,1,50
LNS,80.0,wallclock,16000,e2-threeshift-50c-01,,PENDING,1,600.0,wc80,1,50
alns_e2_throughput,80.0,wallclock,16000,e2-threeshift-75c-01,,PENDING,1,900.0,wc80,1,75
LNS,80.0,wallclock,16000,e2-threeshift-75c-01,,PENDING,1,900.0,wc80,1,75
alns_e2_throughput,80.0,wallclock,16000,e2-threeshift-100c-01,,PENDING,1,900.0,wc80,1,100
LNS,80.0,wallclock,16000,e2-threeshift-100c-01,,PENDING,1,900.0,wc80,1,100
alns_e2_throughput,80.0,wallclock,16000,e2-threeshift-150c-01,,PENDING,1,900.0,wc80,1,150
LNS,80.0,wallclock,16000,e2-threeshift-150c-01,,PENDING,1,900.0,wc80,1,150
alns_e2_throughput,80.0,wallclock,16000,e2-threeshift-200c-01,,PENDING,1,900.0,wc80,1,200
LNS,80.0,wallclock,16000,e2-threeshift-200c-01,,PENDING,1,900.0,wc80,1,200
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,300.0,wc100,1,10
LNS,100.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,300.0,wc100,1,10
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-15c-01,,PENDING,1,300.0,wc100,1,15
LNS,100.0,wallclock,16000,e2-vanilla-15c-01,,PENDING,1,300.0,wc100,1,15
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-20c-01,,PENDING,1,300.0,wc100,1,20
LNS,100.0,wallclock,16000,e2-vanilla-20c-01,,PENDING,1,300.0,wc100,1,20
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-25c-01,,PENDING,1,300.0,wc100,1,25
LNS,100.0,wallclock,16000,e2-vanilla-25c-01,,PENDING,1,300.0,wc100,1,25
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-50c-01,,PENDING,1,600.0,wc100,1,50
LNS,100.0,wallclock,16000,e2-vanilla-50c-01,,PENDING,1,600.0,wc100,1,50
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-75c-01,,PENDING,1,900.0,wc100,1,75
LNS,100.0,wallclock,16000,e2-vanilla-75c-01,,PENDING,1,900.0,wc100,1,75
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-100c-01,,PENDING,1,900.0,wc100,1,100
LNS,100.0,wallclock,16000,e2-vanilla-100c-01,,PENDING,1,900.0,wc100,1,100
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-150c-01,,PENDING,1,900.0,wc100,1,150
LNS,100.0,wallclock,16000,e2-vanilla-150c-01,,PENDING,1,900.0,wc100,1,150
alns_e2_throughput,100.0,wallclock,16000,e2-vanilla-200c-01,,PENDING,1,900.0,wc100,1,200
LNS,100.0,wallclock,16000,e2-vanilla-200c-01,,PENDING,1,900.0,wc100,1,200
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-10c-01,,PENDING,1,300.0,wc100,1,10
LNS,100.0,wallclock,16000,e2-multidepot-10c-01,,PENDING,1,300.0,wc100,1,10
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-15c-01,,PENDING,1,300.0,wc100,1,15
LNS,100.0,wallclock,16000,e2-multidepot-15c-01,,PENDING,1,300.0,wc100,1,15
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-20c-01,,PENDING,1,300.0,wc100,1,20
LNS,100.0,wallclock,16000,e2-multidepot-20c-01,,PENDING,1,300.0,wc100,1,20
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-25c-01,,PENDING,1,300.0,wc100,1,25
LNS,100.0,wallclock,16000,e2-multidepot-25c-01,,PENDING,1,300.0,wc100,1,25
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-50c-01,,PENDING,1,600.0,wc100,1,50
LNS,100.0,wallclock,16000,e2-multidepot-50c-01,,PENDING,1,600.0,wc100,1,50
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-75c-01,,PENDING,1,900.0,wc100,1,75
LNS,100.0,wallclock,16000,e2-multidepot-75c-01,,PENDING,1,900.0,wc100,1,75
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,900.0,wc100,1,100
LNS,100.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,900.0,wc100,1,100
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-150c-01,,PENDING,1,900.0,wc100,1,150
LNS,100.0,wallclock,16000,e2-multidepot-150c-01,,PENDING,1,900.0,wc100,1,150
alns_e2_throughput,100.0,wallclock,16000,e2-multidepot-200c-01,,PENDING,1,900.0,wc100,1,200
LNS,100.0,wallclock,16000,e2-multidepot-200c-01,,PENDING,1,900.0,wc100,1,200
alns_e2_throughput,100.0,wallclock,16000,e2-threeshift-50c-01,,PENDING,1,600.0,wc100,1,50
LNS,100.0,wallclock,16000,e2-threeshift-50c-01,,PENDING,1,600.0,wc100,1,50
