active_flags,actual_evals,algorithm,battery_kwh,best_cost,category,charging_action_count,checkpoint_operator,checkpoint_path,checkpoint_readable,commit_hash,comparison_mode,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,failure_reason,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,replicate,route_count,runtime_cap_seconds,scenario,scenario_label,seed,size,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share,worker_stderr_tail,worker_stdout_tail
{},16000,LNS,100.0,3960.9142264324673,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-100c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,7,14,571.2153181249996,1,1,16000,28.01045331298119,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,{},0,False,False,0.06666666666666667,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,3960.9142264324673,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,7,14,299.8526834589993,1,1,16000,53.35953580748187,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.004460611948161386}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002467499998601852}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.4792975429954822}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.4839480689388438}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 14.68315967991839}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 8.306276372950379}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.43392369496541505}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.5350195760202041}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003222499999537831}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 9.551177333905798}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0003027079983439762}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00078229199971247}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 89.35129004106784}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 90.33151561511113}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 90.84604740700524}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 11.706565760905505}, ""repair_solution_score"": {""count"": 7213.0, ""seconds"": 1.8753161910008203}, ""route_model_cost"": {""count"": 629819.0, ""seconds"": 15.809087639559948}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.0675468359986553}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.03387020598711388}}",0,False,False,0.06666666666666667,,
{},16000,LNS,100.0,476.14411336859115,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-10c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,1,2,33.39667337500032,1,1,16000,479.08963327997475,,True,OK,e2-multidepot-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,3,300.0,wc100,100kWh same wall-clock,1,10,OK,{},0,False,False,0.3333333333333333,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,387.9007343319535,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-10c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,1,1,10.208561249999548,1,1,16000,1567.3119461374354,,True,OK,e2-multidepot-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,wc100,100kWh same wall-clock,1,10,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.010421385013614781}, ""checkpoint_model_cost"": {""count"": 4.0, ""seconds"": 0.0001577080001879949}, ""destroy:random_customer_removal"": {""count"": 1152.0, ""seconds"": 0.03959765898252954}, ""destroy:route_segment_removal"": {""count"": 9386.0, ""seconds"": 0.24011741589856683}, ""destroy:shaw_related_removal"": {""count"": 1152.0, ""seconds"": 0.06989898896790692}, ""destroy:vehicle_type_swap"": {""count"": 1152.0, ""seconds"": 0.15740387599180394}, ""destroy:whole_route_removal"": {""count"": 1942.0, ""seconds"": 0.03467591405751591}, ""destroy:worst_customer_removal"": {""count"": 1152.0, ""seconds"": 0.02978718903796107}, ""final_check"": {""count"": 1.0, ""seconds"": 8.141699981933925e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.8687976819564938}, ""history_model_cost"": {""count"": 4.0, ""seconds"": 0.00019078999866906088}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00015241700020851567}, ""local_search"": {""count"": 1869.0, ""seconds"": 0.002033965027294471}, ""repair:greedy_insert_repair"": {""count"": 2304.0, ""seconds"": 1.1832378869803506}, ""repair:regret2_insert_repair"": {""count"": 11246.0, ""seconds"": 4.9584884520318155}, ""repair:regret3_insert_repair"": {""count"": 2386.0, ""seconds"": 1.2779585400476208}, ""repair_full_check"": {""count"": 17105.0, ""seconds"": 1.4425732410545606}, ""repair_solution_score"": {""count"": 1155.0, ""seconds"": 0.037570390004475485}, ""route_model_cost"": {""count"": 834.0, ""seconds"": 0.01703813900167006}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.005342372005543439}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.004601291006110841}}",0,False,False,0.5,,
{},15490,LNS,100.0,5488.782859056312,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-150c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,10,21,902.1670656669994,1,1,16000,17.169768870411794,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,1,22,900.0,wc100,100kWh same wall-clock,1,150,OK,{},0,False,False,0.045454545454545456,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,5488.782859056312,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-150c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,10,21,691.5980306670008,1,1,16000,23.134825853348733,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,1,22,900.0,wc100,100kWh same wall-clock,1,150,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.004674143010561238}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00037487500048882794}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7054902410254726}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.7940702860196325}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 40.0460509890363}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 8.875675357014188}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.7168834980366228}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.8420416020017001}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00048225000136881135}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 14.089341623957807}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0004684590003307676}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0009096670000872109}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 204.6248949610308}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 213.1764749479862}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 215.77111499198145}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 18.434069332904983}, ""repair_solution_score"": {""count"": 5674.0, ""seconds"": 2.139981057967816}, ""route_model_cost"": {""count"": 1313829.0, ""seconds"": 34.51258648037765}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.10937895500137529}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.05105608999474498}}",0,False,False,0.045454545454545456,,
{},16000,LNS,100.0,621.371321439464,multidepot,0,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-15c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,2,2,32.47434724999948,0,0,16000,492.69658530242685,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,wc100,100kWh same wall-clock,1,15,OK,{},0,True,False,0.0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,621.371321439464,multidepot,0,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-15c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,2,2,13.860795915999915,0,0,16000,1154.3348662633969,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,wc100,100kWh same wall-clock,1,15,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.005545939065996208}, ""checkpoint_model_cost"": {""count"": 2.0, ""seconds"": 8.870800047589e-05}, ""destroy:random_customer_removal"": {""count"": 2180.0, ""seconds"": 0.07588345101066807}, ""destroy:route_segment_removal"": {""count"": 2319.0, ""seconds"": 0.06509454999832087}, ""destroy:shaw_related_removal"": {""count"": 6284.0, ""seconds"": 0.5510255790795782}, ""destroy:vehicle_type_swap"": {""count"": 1449.0, ""seconds"": 0.3588546190148918}, ""destroy:whole_route_removal"": {""count"": 2255.0, ""seconds"": 0.043909465997785446}, ""destroy:worst_customer_removal"": {""count"": 1449.0, ""seconds"": 0.04206023800179537}, ""final_check"": {""count"": 1.0, ""seconds"": 4.3125000956933945e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.3411265838785766}, ""history_model_cost"": {""count"": 2.0, ""seconds"": 0.00011116699897684157}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00013175000094634015}, ""local_search"": {""count"": 353.0, ""seconds"": 0.00043500699939613696}, ""repair:greedy_insert_repair"": {""count"": 3627.0, ""seconds"": 2.464250081027785}, ""repair:regret2_insert_repair"": {""count"": 3769.0, ""seconds"": 2.17244113498964}, ""repair:regret3_insert_repair"": {""count"": 8540.0, ""seconds"": 6.180718569008604}, ""repair_full_check"": {""count"": 19757.0, ""seconds"": 1.2332818728191342}, ""route_model_cost"": {""count"": 3384.0, ""seconds"": 0.06750784904579632}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.008401038001466077}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.006534040998303681}}",0,True,False,0.0,,
{},10906,LNS,100.0,6608.239546640648,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-200c-01__LNS__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,14,28,905.796574375001,1,1,16000,12.040231006090007,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,29,900.0,wc100,100kWh same wall-clock,1,200,OK,{},0,False,False,0.034482758620689655,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",7396,alns_e2_throughput,100.0,6608.239546640648,multidepot,1,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_stage_a_data/checkpoints/wc100/e2-multidepot-200c-01__alns_e2_throughput__seed1.json,True,7cb71f35c46fbd099747fc0d18c15a95315b746d,wallclock,14,28,907.6776811659984,1,1,16000,8.148266894145875,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,29,900.0,wc100,100kWh same wall-clock,1,200,OK,"{""acceptance"": {""count"": 7366.0, ""seconds"": 0.0022037290891603334}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.000476166998851113}, ""destroy:random_customer_removal"": {""count"": 1230.0, ""seconds"": 0.4627764440356259}, ""destroy:route_segment_removal"": {""count"": 1227.0, ""seconds"": 0.5692568280210253}, ""destroy:shaw_related_removal"": {""count"": 1227.0, ""seconds"": 42.482628037014365}, ""destroy:vehicle_type_swap"": {""count"": 1227.0, ""seconds"": 11.151050952927108}, ""destroy:whole_route_removal"": {""count"": 1227.0, ""seconds"": 0.543975020011203}, ""destroy:worst_customer_removal"": {""count"": 1228.0, ""seconds"": 0.5563843419749901}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0006958750000194414}, ""full_candidate_score"": {""count"": 7366.0, ""seconds"": 8.818901053078662}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0006431250003515743}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.001205833001222345}, ""repair:greedy_insert_repair"": {""count"": 2456.0, ""seconds"": 275.10763745000986}, ""repair:regret2_insert_repair"": {""count"": 2455.0, ""seconds"": 292.6721365789672}, ""repair:regret3_insert_repair"": {""count"": 2455.0, ""seconds"": 275.56883147396366}, ""repair_full_check"": {""count"": 14732.0, ""seconds"": 12.38790678908299}, ""repair_solution_score"": {""count"": 5064.0, ""seconds"": 2.49265079198085}, ""route_model_cost"": {""count"": 1524298.0, ""seconds"": 41.689330265035096}, ""scan_build"": {""count"": 30.0, ""seconds"": 0.07580170900291705}, ""scan_score"": {""count"": 30.0, ""seconds"": 0.03322157900038292}}",0,False,False,0.034482758620689655,,
