task_id,instance_id,replicate,status,elapsed_seconds,peak_rss_mb,detail
cn-cy-150c-03-V2-LOCATIONS__replicate1,cn-cy-150c-03-V2-LOCATIONS,1,PASS,2.9020530830021016,70.34375,
cn-cy-150c-03-V2-LOCATIONS__replicate2,cn-cy-150c-03-V2-LOCATIONS,2,PASS,2.9083292080031242,70.0625,
cn-jjj-25c-02-V2-LOCATIONS__replicate1,cn-jjj-25c-02-V2-LOCATIONS,1,PASS,0.5139023750089109,56.40625,
cn-jjj-25c-02-V2-LOCATIONS__replicate2,cn-jjj-25c-02-V2-LOCATIONS,2,PASS,0.5134623749763705,56.25,
cn-prd-100c-03-V2-LOCATIONS__replicate1,cn-prd-100c-03-V2-LOCATIONS,1,PASS,1.5959759170073085,59.5625,
cn-prd-100c-03-V2-LOCATIONS__replicate2,cn-prd-100c-03-V2-LOCATIONS,2,PASS,1.6287987909745425,59.5625,
