电网日,代表城市,区域,小时序号,时段开始,时段结束,碳强度_kgCO2e每kWh,电价时段,场内电价_元每kWh,ASAP充电量_kWh,碳感知充电量_kWh,碳感知减ASAP_kWh,ASAP前一日分量_kWh,ASAP当日分量_kWh,碳感知前一日分量_kWh,碳感知当日分量_kWh
2025-02-12,beijing,jjj,0,00:00,01:00,0.64330000,valley,0.56328575,103.88715420600921,0.0,-103.88715420600921,103.88715420600921,0.0,0.0,0.0
2025-02-12,beijing,jjj,1,01:00,02:00,0.64390000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,2,02:00,03:00,0.63600000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,3,03:00,04:00,0.62530000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,4,04:00,05:00,0.60020000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,5,05:00,06:00,0.59370000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,6,06:00,07:00,0.58490000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,7,07:00,08:00,0.59440000,flat,0.83644275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,8,08:00,09:00,0.52030000,flat,0.83644275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,9,09:00,10:00,0.31850000,flat,0.83644275,33.746970869989966,0.0,-33.746970869989966,0.0,33.746970869989966,0.0,0.0
2025-02-12,beijing,jjj,10,10:00,11:00,0.23760000,peak,1.14862175,37.097773524908355,0.0,-37.097773524908355,0.0,37.097773524908355,0.0,0.0
2025-02-12,beijing,jjj,11,11:00,12:00,0.17990000,peak,1.14862175,0.0,3.8106372792131347,3.8106372792131347,0.0,0.0,0.0,3.8106372792131347
2025-02-12,beijing,jjj,12,12:00,13:00,0.16460000,peak,1.14862175,0.0,27.352199687199345,27.352199687199345,0.0,0.0,0.0,27.352199687199345
2025-02-12,beijing,jjj,13,13:00,14:00,0.15410000,flat,0.83644275,0.0,143.56906163449506,143.56906163449506,0.0,0.0,103.88715420600924,39.681907428485836
2025-02-12,beijing,jjj,14,14:00,15:00,0.15530000,flat,0.83644275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,15,15:00,16:00,0.18250000,flat,0.83644275,14.546984577019833,14.546984577019833,0.0,0.0,14.546984577019833,0.0,14.546984577019833
2025-02-12,beijing,jjj,16,16:00,17:00,0.26870000,flat,0.83644275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,17,17:00,18:00,0.43090000,peak,1.14862175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,18,18:00,19:00,0.47480000,peak,1.14862175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,19,19:00,20:00,0.47230000,peak,1.14862175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,20,20:00,21:00,0.48580000,peak,1.14862175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,21,21:00,22:00,0.48580000,peak,1.14862175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,22,22:00,23:00,0.47490000,flat,0.83644275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,beijing,jjj,23,23:00,24:00,0.61550000,valley,0.56328575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
