电网日/场景,策略,可移动电量_kWh,充电侧排放_kg,系统全口径排放_kg,电费_元,完整目标_元_碳价0.075,配对变化,配对变化_可移动电量_kWh,配对变化_充电侧排放_kg,配对变化_系统全口径排放_kg,配对变化_电费_元,配对变化_完整目标_元_碳价0.075,完整目标_元_碳价0.20,配对变化_完整目标_元_碳价0.20,完整目标_元_碳价0.60,配对变化_完整目标_元_碳价0.60,完整目标_元_碳价1.10,配对变化_完整目标_元_碳价1.10,完整目标_元_碳价1.50,配对变化_完整目标_元_碳价1.50,完整目标_元_碳价2.10,配对变化_完整目标_元_碳价2.10
"北京代表电网；Li等S1-2025省级逐小时投影；2025-02-12；Figshare v3 DOI 10.6084/m9.figshare.28953545.v3",有空即充（ASAP，当前排程）,0.0,89.04827219764188,189.81554785956337,141.5245920220558,3032.969556704335,"基准行：各项配对变化均为0",0.0,0.0,0.0,0.0,0.0,3056.6965001867807,0.0,3132.622719330606,0.0,3227.5304932603876,0.0,3303.456712404213,0.0,3417.3460411199508,0.0
"北京代表电网；Li等S1-2025省级逐小时投影；2025-02-12；Figshare v3 DOI 10.6084/m9.figshare.28953545.v3",碳感知择时（合法窗口内取最低排放组合）,174.73189860090753,29.966522798225263,130.73379846014674,168.04933284361204,3055.0631663209347,"相对ASAP：可移动电量+174.73189860090753 kWh；充电侧排放-59.081749399416616 kg；系统全口径排放-59.08174939941662 kg；电费+26.524740821556236元；完整目标@0.075 +22.09360961659999元",174.73189860090753,-59.081749399416616,-59.08174939941662,26.524740821556236,22.09360961659999,3071.404891128453,14.70839094167291,3123.698410512512,-8.924308818093735,3189.065309742585,-38.46518351780206,3241.3588291266437,-62.0978832775687,3319.799108202732,-97.54693291721868
