stage,status,observed,required,returncode,manifest_entries,detail
formal_e2,REUSED_PASS,PASS_D6_CORRECTED_CHINA81_E2_STAGED_V7_SMALL_ARCHIVE_LEDGER,PASS_D6_CORRECTED_CHINA81_E2_STAGED_V7_SMALL_ARCHIVE_LEDGER,0,2434,405 tasks and 1620 feasible solutions; no rerun
full_witness_replay,REUSED_PASS,PASS_D6_STAGED_FULL_WITNESS_REPLAY,PASS_D6_STAGED_FULL_WITNESS_REPLAY,0,85,1620 costs reproduced and feasible; no replay rerun
result_strength,HALT,HOLD_E2_STAGED_PORTFOLIO_NOT_PAPER_STRONG,PASS_E2_STAGED_PORTFOLIO_PAPER_STRENGTH,2,7,frozen downstream stage
