baseline_id,available,version,module_origin,compatibility,e7_attestation_exists,tool_freeze_exists,search_evaluations
PyVRP,True,0.13.4,/Users/zhouleixishu/.codex/runtimes/resetp-pyvrp-0.13.4/lib/python3.13/site-packages/pyvrp/__init__.py,REQUIRES_FROZEN_API_AND_OBJECTIVE_ADAPTER,False,False,0
HGS-VRPTW,False,,,OFFICIAL_HGS_CVRP_IS_NOT_A_VRPTW_BASELINE,False,False,0
