algorithm,best_total_cost,instance,mean_route_count,mean_total_cost,median_route_count,median_total_cost,n,std_total_cost,variant,zero_violation_count
ALNS-Wouda,4779.053444002934,100-01-24h,32.3,4878.331796187524,32.0,4848.619847811227,10,95.27954961466529,winner_kernel_only,10
ALNS-Wouda,8138.269146670922,L-main,64.0,8351.639754631946,64.0,8377.076378884069,10,127.30274428251887,winner_kernel_only,10
ALNS-Wouda,4779.051858862264,100-01-24h,32.3,4893.225561782553,32.0,4858.406539244876,10,104.85970112940706,winner_kernel_route_elimination,10
ALNS-Wouda,8225.616335134408,L-main,64.0,8424.043977208074,64.0,8474.907953706854,10,117.56658793754458,winner_kernel_route_elimination,10
